Tick	tick	Tick
tock	tock	tock
.	.	.
America	america	America
will	will	will
now	now	now
wait	wait	wait
until	until	until
conservative	conserv	conservative
news	news	news
sources	sourc	source
release	releas	release
his	his	his
motive	motiv	motive
.	.	.
UPDATE	updat	UPDATE
The	the	The
man	man	man
who	who	who
attempted	attempt	attempted
to	to	to
breach	breach	breach
the	the	the
cockpit	cockpit	cockpit
has	has	ha
been	been	been
identified	identifi	identified
as	as	a
a	a	a
Turkish	turkish	Turkish
man	man	man
.	.	.
Flight	flight	Flight
attendants	attend	attendant
,	,	,
an	an	an
off	off	off
-duty	-duti	-duty
Los	los	Los
Angeles	angel	Angeles
police	polic	police
officer	offic	officer
and	and	and
other	other	other
passengers	passeng	passenger
were	were	were
able	abl	able
to	to	to
stop	stop	stop
the	the	the
man	man	man
and	and	and
secure	secur	secure
him	him	him
in	in	in
a	a	a
seat	seat	seat
.	.	.
It	it	It
was	was	wa
all	all	all
kind	kind	kind
of	of	of
surreal	surreal	surreal
,	,	,
said	said	said
Penny	penni	Penny
Lorenzen	lorenzen	Lorenzen
,	,	,
a	a	a
passenger	passeng	passenger
on	on	on
the	the	the
flight	flight	flight
.	.	.
Her	her	Her
husband	husband	husband
was	was	wa
among	among	among
those	those	those
who	who	who
got	got	got
up	up	up
to	to	to
try	tri	try
to	to	to
stop	stop	stop
the	the	the
man	man	man
.	.	.
It	it	It
took	took	took
seconds	second	second
,	,	,
said	said	said
Lee	lee	Lee
Lorenzen	lorenzen	Lorenzen
,	,	,
of	of	of
Orange	orang	Orange
County	counti	County
,	,	,
Calif	calif	Calif
.	.	.
He	he	He
was	was	wa
pushing	push	pushing
against	against	against
the	the	the
cart	cart	cart
and	and	and
a	a	a
bunch	bunch	bunch
of	of	of
guys	guy	guy
grabbed	grab	grabbed
him	him	him
.	.	.
They	they	They
found	found	found
some	some	some
duct	duct	duct
tape	tape	tape
.	.	.
There	there	There
were	were	were
pillows	pillow	pillow
and	and	and
blankets	blanket	blanket
.	.	.
And	and	And
they	they	they
taped	tape	taped
him	him	him
to	to	to
his	his	his
chair	chair	chair
.	.	.
Hawaii	hawaii	Hawaii
News	news	News
Now	now	Now
A	a	A
man	man	man
was	was	wa
subdued	subdu	subdued
after	after	after
he	he	he
tried	tri	tried
to	to	to
breach	breach	breach
the	the	the
cockpit	cockpit	cockpit
of	of	of
an	an	an
American	american	American
Airlines	airlin	Airlines
flight	flight	flight
to	to	to
Honolulu	honolulu	Honolulu
,	,	,
a	a	a
source	sourc	source
familiar	familiar	familiar
with	with	with
the	the	the
situation	situat	situation
told	told	told
ABC	abc	ABC
News	news	News
.	.	.
American	american	American
Airlines	airlin	Airlines
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
law	law	law
enforcement	enforc	enforcement
met	met	met
the	the	the
plane	plane	plane
upon	upon	upon
landing	land	landing
in	in	in
Honolulu	honolulu	Honolulu
following	follow	following
a	a	a
disturbance	disturb	disturbance
on	on	on
the	the	the
flight	flight	flight
.	.	.
The	the	The
plane	plane	plane
was	was	wa
escorted	escort	escorted
by	by	by
two	two	two
F	f	F
-22	-22	-22
fighter	fighter	fighter
jets	jet	jet
for	for	for
the	the	the
duration	durat	duration
of	of	of
the	the	the
flight	flight	flight
following	follow	following
the	the	the
disturbance	disturb	disturbance
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
Command	command	Command
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
ABC	abc	ABC
NewsA	newsa	NewsA
source	sourc	source
at	at	at
the	the	the
TSA	tsa	TSA
told	told	told
ABC	abc	ABC
News	news	News
that	that	that
the	the	the
man	man	man
was	was	wa
waiting	wait	waiting
for	for	for
the	the	the
bathroom	bathroom	bathroom
near	near	near
the	the	the
cockpit	cockpit	cockpit
when	when	when
a	a	a
flight	flight	flight
attendant	attend	attendant
asked	ask	asked
him	him	him
to	to	to
sit	sit	sit
down	down	down
.	.	.
He	he	He
had	had	had
a	a	a
laptop	laptop	laptop
with	with	with
him	him	him
and	and	and
appeared	appear	appeared
to	to	to
try	tri	try
the	the	the
cockpit	cockpit	cockpit
door	door	door
before	befor	before
he	he	he
was	was	wa
subdued	subdu	subdued
,	,	,
the	the	the
source	sourc	source
said	said	said
.	.	.
The	the	The
man	man	man
,	,	,
whose	whose	whose
identity	ident	identity
was	was	wa
not	not	not
immediately	immedi	immediately
available	avail	available
,	,	,
was	was	wa
escorted	escort	escorted
off	off	off
American	american	American
Airlines	airlin	Airlines
Flight	flight	Flight
31	31	31
,	,	,
after	after	after
it	it	it
landed	land	landed
safely	safe	safely
at	at	at
11	11	11
35	35	35
a	a	a
.	.	.
m	m	m
.	.	.
Hawaii	hawaii	Hawaii
Standard	standard	Standard
Time	time	Time
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
from	from	from
the	the	the
airline	airlin	airline
.	.	.
A	a	A
government	govern	government
source	sourc	source
confirmed	confirm	confirmed
that	that	that
he	he	he
had	had	had
been	been	been
loitering	loiter	loitering
near	near	near
the	the	the
restroom	restroom	restroom
and	and	and
was	was	wa
carrying	carri	carrying
a	a	a
laptop	laptop	laptop
.	.	.
Flight	flight	Flight
attendants	attend	attendant
asked	ask	asked
him	him	him
to	to	to
return	return	return
to	to	to
his	his	his
seat	seat	seat
and	and	and
he	he	he
refused	refus	refused
.	.	.
He	he	He
then	then	then
seemed	seem	seemed
to	to	to
lunge	lung	lunge
towards	toward	towards
the	the	the
cockpit	cockpit	cockpit
door	door	door
.	.	.
That	that	That
s	s	s
when	when	when
several	sever	several
passengers	passeng	passenger
subdued	subdu	subdued
him	him	him
.	.	.
He	he	He
was	was	wa
arrested	arrest	arrested
on	on	on
the	the	the
ground	ground	ground
by	by	by
the	the	the
FBI	fbi	FBI
.	.	.
The	the	The
flight	flight	flight
,	,	,
which	which	which
originated	origin	originated
from	from	from
Los	los	Los
Angeles	angel	Angeles
,	,	,
was	was	wa
to	to	to
arrive	arriv	arrive
in	in	in
Honolulu	honolulu	Honolulu
about	about	about
noon	noon	noon
.	.	.
The	the	The
flight	flight	flight
departed	depart	departed
from	from	from
Los	los	Los
Angeles	angel	Angeles
International	intern	International
Airport	airport	Airport
at	at	at
8	8	8
34	34	34
a	a	a
.	.	.
m	m	m
.	.	.
local	local	local
time	time	time
.	.	.
NBC	nbc	NBC
Los	los	Los
AngelesLATEST	angeleslatest	AngelesLATEST
2	2	2
F	f	F
-22	-22	-22
fighter	fighter	fighter
jets	jet	jet
escorted	escort	escorted
American	american	American
Airlines	airlin	Airlines
Flight	flight	Flight
31	31	31
to	to	to
Honolulu	honolulu	Honolulu
Int	int	Int
l	l	l
Airport	airport	Airport
due	due	due
to	to	to
disturbance	disturb	disturbance
on	on	on
board	board	board
,	,	,
Pacific	pacif	Pacific
Command	command	Command
says	say	say
pic.twitter.com/Ee8zTg4PN3	pic.twitter.com/ee8ztg4pn3	pic.twitter.com/Ee8zTg4PN3
ABC	abc	ABC
News	news	News
@ABC	@abc	@ABC
May	may	May
19	19	19
,	,	,
2017	2017	2017
