Once	onc	Once
again	again	again
,	,	,
the	the	the
left	left	left
eats	eat	eats
its	it	it
own	own	own
Liberal	liber	Liberal
reporters	report	reporter
used	use	used
the	the	the
unexpected	unexpect	unexpected
firing	fire	firing
of	of	of
NBC	nbc	NBC
News	news	News
anchor	anchor	anchor
Matt	matt	Matt
Lauer	lauer	Lauer
for	for	for
unspecified	unspecifi	unspecified
sexual	sexual	sexual
misconduct	misconduct	misconduct
as	as	a
an	an	an
opportunity	opportun	opportunity
to	to	to
mention	mention	mention
how	how	how
hard	hard	hard
he	he	he
was	was	wa
on	on	on
Hillary	hillari	Hillary
Clinton	clinton	Clinton
during	dure	during
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
.	.	.

It	it	It
was	was	wa
a	a	a
liberal	liber	liberal
pile	pile	pile
-on	-on	-on
with	with	with
brutal	brutal	brutal
attacks	attack	attack
on	on	on
twitter	twitter	twitter
from	from	from
journalists	journalist	journalist
who	who	who
actually	actual	actually
called	call	called
Lauer	lauer	Lauer
a	a	a
right	right	right
winger	winger	winger
and	and	and
Trump	trump	Trump
apologist	apologist	apologist
.	.	.
Now	now	Now
that	that	that
s	s	s
funny	funni	funny
!	!	!
Annie	anni	Annie
Karni	karni	Karni
,	,	,
White	white	White
House	hous	House
reporter	report	reporter
for	for	for
Politico	politico	Politico
,	,	,
tweeted	tweet	tweeted
about	about	about
how	how	how
Hillary	hillari	Hillary
Clinton	clinton	Clinton
condemned	condemn	condemned
Matt	matt	Matt
Lauer	lauer	Lauer
s	s	s
performance	perform	performance
during	dure	during
the	the	the
2016	2016	2016
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
forum	forum	forum
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
on	on	on
Matt	matt	Matt
Lauer's	lauer	Lauer's
performance	perform	performance
during	dure	during
the	the	the
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
forum	forum	forum
in	in	in
2016	2016	2016
Trump	trump	Trump
should	should	should
have	have	have
reported	report	reported
his	his	his
performance	perform	performance
as	as	a
an	an	an
in	in	in
-kind	-kind	-kind
contribution	contribut	contribution
.	.	.

I	i	I
can't	can't	can't
say	say	say
I	i	I
didn't	didn't	didn't
fantasize	fantas	fantasize
about	about	about
shaking	shake	shaking
some	some	some
sense	sens	sense
into	into	into
Lauer	lauer	Lauer
while	while	while
I	i	I
was	was	wa
out	out	out
there	there	there
.	.	.
Annie	anni	Annie
Karni	karni	Karni
@anniekarni	@anniekarni	@anniekarni
November	novemb	November
29	29	29
,	,	,
2017BuzzFeed	2017buzzfe	2017BuzzFeed
World	world	World
correspondent	correspond	correspondent
Borzou	borzou	Borzou
Daragahi	daragahi	Daragahi
used	use	used
the	the	the
firing	fire	firing
to	to	to
remind	remind	remind
followers	follow	follower
to	to	to
not	not	not
forget	forget	forget
about	about	about
Lauer	lauer	Lauer
covering	cover	covering
Clinton	clinton	Clinton
s	s	s
email	email	email
controversy	controversi	controversy
.	.	.
Let's	let	Let's
not	not	not
forget	forget	forget
Matt	matt	Matt
Lauer's	lauer	Lauer's
shining	shine	shining
moment	moment	moment
of	of	of
journalistic	journalist	journalistic
glory	glori	glory
last	last	last
year	year	year
when	when	when
he	he	he
bulldozed	bulldoz	bulldozed
over	over	over
Clinton	clinton	Clinton
about	about	about
her	her	her
emails	email	email
while	while	while
letting	let	letting
Trump	trump	Trump
get	get	get
away	away	away
with	with	with
lies	lie	lie
https://t.co/RVl0ZkC3jr	https://t.co/rvl0zkc3jr	https://t.co/RVl0ZkC3jr
Borzou	borzou	Borzou
Daragahi	daragahi	Daragahi
@borzou	@borzou	@borzou
November	novemb	November
29	29	29
,	,	,
2017The	2017the	2017The
left	left	left
attacks	attack	attack
its	it	it
own	own	own
AGAIN	again	AGAIN
!	!	!

Many	mani	Many
on	on	on
twitter	twitter	twitter
are	are	are
blaming	blame	blaming
Hillary	hillari	Hillary
for	for	for
the	the	the
ouster	ouster	ouster
of	of	of
