WHAT	what	WHAT
A	a	A
NUT	nut	NUT
!	!	!

New	new	New
York	york	York
s	s	s
Mayor	mayor	Mayor
DeBlasio	deblasio	DeBlasio
gives	give	give
the	the	the
evil	evil	evil
eye	eye	eye
and	and	and
stares	stare	stare
down	down	down
former	former	former
Mayor	mayor	Mayor
Giuliani	giuliani	Giuliani
or	or	or
criticizing	critic	criticizing
him	him	him
for	for	for
the	the	the
liberal	liber	liberal
policies	polici	policy
that	that	that
have	have	have
lead	lead	lead
to	to	to
a	a	a
surge	surg	surge
of	of	of
homelessness	homeless	homelessness
on	on	on
the	the	the
streets	street	street
.	.	.
Mayor	mayor	Mayor
de	de	de
Blasio	blasio	Blasio
couldn	couldn	couldn
t	t	t
hide	hide	hide
his	his	his
feelings	feel	feeling
about	about	about
nemesis	nemesi	nemesis
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
,	,	,
giving	give	giving
him	him	him
a	a	a
piercing	pierc	piercing
stare	stare	stare
Friday	friday	Friday
during	dure	during
the	the	the
9	9	9
11	11	11
ceremony	ceremoni	ceremony
at	at	at
Ground	ground	Ground
Zero	zero	Zero
.	.	.

Only	onli	Only
hours	hour	hour
before	befor	before
they	they	they
shared	share	shared
the	the	the
stage	stage	stage
at	at	at
the	the	the
solemn	solemn	solemn
event	event	event
,	,	,
Giuliani	giuliani	Giuliani
for	for	for
the	the	the
second	second	second
time	time	time
this	this	this
week	week	week
criticized	critic	criticized
de	de	de
Blasio	blasio	Blasio
for	for	for
misrepresenting	misrepres	misrepresenting
the	the	the
city	citi	city
s	s	s
homeless	homeless	homeless
crisis	crisi	crisis
.	.	.

OK	ok	OK
,	,	,
here	here	here
s	s	s
how	how	how
ignorant	ignor	ignorant
Mayor	mayor	Mayor
de	de	de
Blasio	blasio	Blasio
is	is	is
.	.	.

He	he	He
said	said	said
that	that	that
there	there	there
were	were	were
40	40	40
percent	percent	percent
more	more	more
homeless	homeless	homeless
people	peopl	people
during	dure	during
my	my	my
administration	administr	administration
,	,	,
Giuliani	giuliani	Giuliani
said	said	said
on	on	on
Fox	fox	Fox
5	5	5
,	,	,
adding	ad	adding
the	the	the
mayor	mayor	mayor
misquoted	misquot	misquoted
that	that	that
statistic	statist	statistic
,	,	,
which	which	which
The	the	The
New	new	New
York	york	York
Times	time	Times
put	put	put
at	at	at
32	32	32
percent	percent	percent
.	.	.

Giuliani	giuliani	Giuliani
also	also	also
said	said	said
the	the	the
spike	spike	spike
was	was	wa
only	onli	only
in	in	in
the	the	the
shelter	shelter	shelter
population	popul	population
,	,	,
not	not	not
in	in	in
the	the	the
number	number	number
of	of	of
homeless	homeless	homeless
on	on	on
the	the	the
street	street	street
.	.	.

People	peopl	People
who	who	who
are	are	are
in	in	in
shelters	shelter	shelter
,	,	,
I	i	I
would	would	would
like	like	like
to	to	to
inform	inform	inform
the	the	the
mayor	mayor	mayor
,	,	,
are	are	are
not	not	not
homeless	homeless	homeless
,	,	,
Giuliani	giuliani	Giuliani
sniffed	snif	sniffed
.	.	.

The	the	The
two	two	two
mayors	mayor	mayor
have	have	have
been	been	been
locked	lock	locked
in	in	in
a	a	a
war	war	war
of	of	of
words	word	word
since	sinc	since
Giuliani	giuliani	Giuliani
blasted	blast	blasted
de	de	de
Blasio	blasio	Blasio
and	and	and
his	his	his
progressive	progress	progressive
views	view	view
for	for	for
allowing	allow	allowing
vagrants	vagrant	vagrant
to	to	to
sleep	sleep	sleep
on	on	on
the	the	the
streets	street	street
in	in	in
a	a	a
Post	post	Post
op	op	op
-ed	-ed	-ed
last	last	last
Sunday	sunday	Sunday
.	.	.

De	de	De
Blasio	blasio	Blasio
fired	fire	fired
back	back	back
,	,	,
calling	call	calling
the	the	the
ex	ex	ex
-mayor	-mayor	-mayor
delusional	delusion	delusional
and	and	and
saying	say	saying
homelessness	homeless	homelessness
rose	rose	rose
by	by	by
40	40	40
percent	percent	percent
under	under	under
his	his	his
watch	watch	watch
between	between	between
1994	1994	1994
to	to	to
2001	2001	2001
.	.	.

Giuliani	giuliani	Giuliani
clearly	clear	clearly
doesn	doesn	doesn
t	t	t
remember	rememb	remember
the	the	the
fact	fact	fact
that	that	that
he	he	he
chased	chase	chased
as	as	a
he	he	he
said	said	said
he	he	he
chased	chase	chased
and	and	and
chased	chase	chased
people	peopl	people
,	,	,
but	but	but
he	he	he
also	also	also
deprived	depriv	deprived
families	famili	family
of	of	of
benefits	benefit	benefit
they	they	they
needed	need	needed
and	and	and
health	health	health
care	care	care
they	they	they
needed	need	needed
,	,	,
de	de	de
Blasio	blasio	Blasio
said	said	said
earlier	earlier	earlier
this	this	this
week	week	week
.	.	.

But	but	But
Giuliani	giuliani	Giuliani
patted	pat	patted
himself	himself	himself
and	and	and
his	his	his
successor	successor	successor
,	,	,
ex	ex	ex
-Mayor	-mayor	-Mayor
Mike	mike	Mike
Bloomberg	bloomberg	Bloomberg
,	,	,
on	on	on
the	the	the
back	back	back
for	for	for
cleaning	clean	cleaning
up	up	up
the	the	the
streets	street	street
.	.	.

All	all	All
you	you	you
had	had	had
to	to	to
do	do	do
was	was	wa
live	live	live
in	in	in
this	this	this
city	citi	city
and	and	and
you	you	you
know	know	know
that	that	that
when	when	when
I	i	I
was	was	wa
mayor	mayor	mayor
,	,	,
there	there	there
was	was	wa
very	veri	very
little	littl	little
homelessness	homeless	homelessness
in	in	in
this	this	this
city	citi	city
.	.	.

They	they	They
were	were	were
in	in	in
shelters	shelter	shelter
,	,	,
Giuliani	giuliani	Giuliani
told	told	told
Fox	fox	Fox
5	5	5
on	on	on
Friday	friday	Friday
.	.	.
Read	read	Read
more	more	more
NYP	nyp	NYP

