Next	next	Next
up	up	up
is	is	is
a	a	a
law	law	law
suit	suit	suit
to	to	to
make	make	make
it	it	it
legal	legal	legal
for	for	for
H	h	H
-1B	-1b	-1B
Visa	visa	Visa
holders	holder	holder
,	,	,
felons	felon	felon
and	and	and
illegal	illeg	illegal
aliens	alien	alien
to	to	to
vote	vote	vote
in	in	in
every	everi	every
state	state	state
.	.	.

You	you	You
didn	didn	didn
t	t	t
think	think	think
the	the	the
Democrats	democrat	Democrats
were	were	were
trying	tri	trying
to	to	to
protect	protect	protect
illegals	illeg	illegals
and	and	and
grant	grant	grant
dangerous	danger	dangerous
criminals	crimin	criminal
an	an	an
early	earli	early
release	releas	release
because	becaus	because
they	they	they
cared	care	cared
about	about	about
them	them	them
,	,	,
did	did	did
you	you	you
?	?	?

Bernie	berni	Bernie
Sanders	sander	Sanders
s	s	s
campaign	campaign	campaign
has	has	ha
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
against	against	against
Ohio	ohio	Ohio
s	s	s
secretary	secretari	secretary
of	of	of
state	state	state
to	to	to
allow	allow	allow
17	17	17
-year	-year	-year
olds	old	old
to	to	to
vote	vote	vote
in	in	in
the	the	the
Democratic	democrat	Democratic
primary	primari	primary
on	on	on
March	march	March
15	15	15
,	,	,
according	accord	according
to	to	to
a	a	a
CNN	cnn	CNN
report	report	report
.	.	.
Sanders	sander	Sanders
s	s	s
campaign	campaign	campaign
manager	manag	manager
told	told	told
reporters	report	reporter
in	in	in
Michigan	michigan	Michigan
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
Republican	republican	Republican
Jon	jon	Jon
Husted	hust	Husted
,	,	,
who	who	who
is	is	is
Ohio	ohio	Ohio
s	s	s
secretary	secretari	secretary
of	of	of
State	state	State
,	,	,
has	has	ha
changed	chang	changed
the	the	the
rules	rule	rule
to	to	to
make	make	make
it	it	it
so	so	so
that	that	that
those	those	those
who	who	who
are	are	are
currently	current	currently
17	17	17
,	,	,
but	but	but
will	will	will
be	be	be
18	18	18
by	by	by
the	the	the
time	time	time
of	of	of
the	the	the
November	novemb	November
general	general	general
election	elect	election
,	,	,
cannot	cannot	cannot
vote	vote	vote
in	in	in
the	the	the
state	state	state
s	s	s
primaries	primari	primary
.	.	.

The	the	The
secretary	secretari	secretary
of	of	of
state	state	state
has	has	ha
decided	decid	decided
to	to	to
disenfranchise	disenfranchis	disenfranchise
people	peopl	people
who	who	who
are	are	are
17	17	17
but	but	but
will	will	will
be	be	be
18	18	18
by	by	by
the	the	the
day	day	day
of	of	of
the	the	the
general	general	general
election	elect	election
,	,	,
Weaver	weaver	Weaver
said	said	said
,	,	,
according	accord	according
to	to	to
CNN	cnn	CNN
.	.	.

Those	those	Those
people	peopl	people
have	have	have
been	been	been
allowed	allow	allowed
to	to	to
vote	vote	vote
under	under	under
the	the	the
law	law	law
of	of	of
Ohio	ohio	Ohio
,	,	,
but	but	but
the	the	the
secretary	secretari	secretary
of	of	of
state	state	state
of	of	of
the	the	the
state	state	state
of	of	of
Ohio	ohio	Ohio
has	has	ha
decided	decid	decided
to	to	to
disenfranchise	disenfranchis	disenfranchise
those	those	those
people	peopl	people
to	to	to
forbid	forbid	forbid
them	them	them
from	from	from
voting	vote	voting
in	in	in
the	the	the
primary	primari	primary
that	that	that
is	is	is
coming	come	coming
up	up	up
on	on	on
March	march	March
15	15	15
.	.	.

Sanders	sander	Sanders
has	has	ha
galvanized	galvan	galvanized
the	the	the
support	support	support
of	of	of
many	mani	many
young	young	young
liberal	liber	liberal
voters	voter	voter
,	,	,
and	and	and
routinely	routin	routinely
thumps	thump	thump
Democratic	democrat	Democratic
rival	rival	rival
Hillary	hillari	Hillary
Clinton	clinton	Clinton
among	among	among
voters	voter	voter
under	under	under
the	the	the
age	age	age
of	of	of
40	40	40
.	.	.

Clinton	clinton	Clinton
generally	general	generally
dominates	domin	dominates
Sanders	sander	Sanders
among	among	among
older	older	older
voters	voter	voter
.	.	.
quote_box_center	quote_box_cent	quote_box_center
After	after	After
eight	eight	eight
years	year	year
of	of	of
Obama	obama	Obama
,	,	,
who	who	who
delivered	deliv	delivered
the	the	the
same	same	same
false	fals	false
message	messag	message
of	of	of
hope	hope	hope
via	via	via
free	free	free
sh	sh	sh
t	t	t
to	to	to
America	america	America
s	s	s
youth	youth	youth
,	,	,
Bernie	berni	Bernie
Sanders	sander	Sanders
supporters	support	supporter
are	are	are
ready	readi	ready
to	to	to
cast	cast	cast
their	their	their
vote	vote	vote
for	for	for
another	anoth	another
lying	lie	lying
politician	politician	politician
who	who	who
is	is	is
promising	promis	promising
them	them	them
a	a	a
utopia	utopia	utopia
that	that	that
s	s	s
impossible	imposs	impossible
to	to	to
deliver	deliv	deliver
.	.	.

quote_box_center	quote_box_cent	quote_box_center
Millenials	milleni	Millenials
are	are	are
struggling	struggl	struggling
with	with	with
an	an	an
immense	immens	immense
burden	burden	burden
of	of	of
student	student	student
debt	debt	debt
debt	debt	debt
that	that	that
rose	rose	rose
25	25	25
between	between	between
2008	2008	2008
and	and	and
2012	2012	2012
alone	alon	alone
the	the	the
Obama	obama	Obama
years	year	year
even	even	even
as	as	a
the	the	the
economy	economi	economy
struggled	struggl	struggled
.	.	.

According	accord	According
to	to	to
one	one	one
2014	2014	2014
calculation	calcul	calculation
,	,	,
millennials	millenni	millennials
make	make	make
up	up	up
about	about	about
40	40	40
of	of	of
the	the	the
ranks	rank	rank
of	of	of
the	the	the
unemployed	unemploy	unemployed
;	;	;
when	when	when
they	they	they
have	have	have
jobs	job	job
,	,	,
they	they	they
may	may	may
be	be	be
underemployed	underemploy	underemployed
Starbucks	starbuck	Starbucks
barista	barista	barista
,	,	,
anyone	anyon	anyone
?	?	?
or	or	or
underpaid	underpaid	underpaid
,	,	,
or	or	or
competing	compet	competing
ruthlessly	ruthless	ruthlessly
for	for	for
a	a	a
handful	hand	handful
of	of	of
lucrative	lucrat	lucrative
opportunities	opportun	opportunity
.	.	.

Some	some	Some
studies	studi	study
suggest	suggest	suggest
that	that	that
while	while	while
they	they	they
might	might	might
be	be	be
frugal	frugal	frugal
,	,	,
their	their	their
financial	financi	financial
situations	situat	situation
coupled	coupl	coupled
,	,	,
sometimes	sometim	sometimes
,	,	,
with	with	with
a	a	a
dearth	dearth	dearth
of	of	of
financial	financi	financial
literacy	literaci	literacy
can	can	can
spell	spell	spell
trouble	troubl	trouble
.	.	.
One	one	One
Pricewaterhouse	pricewaterhous	Pricewaterhouse
Coopers	cooper	Coopers
survey	survey	survey
found	found	found
24	24	24
of	of	of
millennial	millenni	millennial
respondents	respond	respondent
were	were	were
familiar	familiar	familiar
with	with	with
basic	basic	basic
financial	financi	financial
concepts	concept	concept
;	;	;
30	30	30
routinely	routin	routinely
overdrew	overdrew	overdrew
their	their	their
checking	check	checking
accounts	account	account
racking	rack	racking
up	up	up
banking	bank	banking
fees	fee	fee
and	and	and
more	more	more
than	than	than
20	20	20
ended	end	ended
up	up	up
dipping	dip	dipping
into	into	into
their	their	their
retirement	retir	retirement
savings	save	saving
incurring	incur	incurring
fees	fee	fee
and	and	and
penalties	penalti	penalty
.	.	.

Nearly	near	Nearly
half	half	half
couldn	couldn	couldn
t	t	t
come	come	come
up	up	up
with	with	with
2	2	2
,	,	,
000	000	000
in	in	in
the	the	the
next	next	next
month	month	month
in	in	in
an	an	an
emergency	emerg	emergency
,	,	,
making	make	making
them	them	them
financially	financi	financially
fragile	fragil	fragile
.	.	.
The	the	The
last	last	last
president	presid	president
elected	elect	elected
with	with	with
a	a	a
platform	platform	platform
of	of	of
hope	hope	hope
and	and	and
change	chang	change
largely	larg	largely
failed	fail	failed
to	to	to
deliver	deliv	deliver
,	,	,
in	in	in
their	their	their
eyes	eye	eye
.	.	.

Oh	oh	Oh
,	,	,
and	and	and
his	his	his
administration	administr	administration
included	includ	included
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
The	the	The
issue	issu	issue
of	of	of
allowing	allow	allowing
17	17	17
year	year	year
olds	old	old
to	to	to
vote	vote	vote
came	came	came
to	to	to
light	light	light
after	after	after
a	a	a
report	report	report
in	in	in
the	the	the
Columbus	columbus	Columbus
Dispatch	dispatch	Dispatch
,	,	,
in	in	in
which	which	which
a	a	a
state	state	state
Democratic	democrat	Democratic
lawmaker	lawmak	lawmaker
accused	accus	accused
Husted	hust	Husted
