An	an	An
undercover	undercov	undercover
operation	oper	operation
conducted	conduct	conducted
by	by	by
the	the	the
Tennessee	tennesse	Tennessee
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
TBI	tbi	TBI
along	along	along
with	with	with
the	the	the
Knoxville	knoxvill	Knoxville
Police	polic	Police
Department	depart	Department
resulted	result	resulted
in	in	in
32	32	32
arrests	arrest	arrest
on	on	on
prostitution	prostitut	prostitution
charges	charg	charge
.	.	.
Two	two	Two
men	men	men
,	,	,
one	one	one
a	a	a
Baptist	baptist	Baptist
children	children	child
s	s	s
minister	minist	minister
and	and	and
the	the	the
other	other	other
a	a	a
creative	creativ	creative
pastor	pastor	pastor
,	,	,
at	at	at
a	a	a
nondenominational	nondenomin	nondenominational
church	church	church
,	,	,
were	were	were
also	also	also
charged	charg	charged
with	with	with
felony	feloni	felony
human	human	human
trafficking	traffick	trafficking
.	.	.
According	accord	According
to	to	to
TBI	tbi	TBI
,	,	,
46	46	46
-year-old	-year-old	-year-old
Jason	jason	Jason
Kennedy	kennedi	Kennedy
was	was	wa
arrested	arrest	arrested
after	after	after
he	he	he
responded	respond	responded
to	to	to
an	an	an
ad	ad	ad
promising	promis	promising
sex	sex	sex
with	with	with
an	an	an
under	under	under
-age	-age	-age
girl	girl	girl
.	.	.
Kennedy	kennedi	Kennedy
showed	show	showed
up	up	up
at	at	at
a	a	a
hotel	hotel	hotel
room	room	room
where	where	where
he	he	he
believed	believ	believed
that	that	that
the	the	the
young	young	young
girl	girl	girl
would	would	would
be	be	be
waiting	wait	waiting
for	for	for
him	him	him
.	.	.
Instead	instead	Instead
he	he	he
was	was	wa
met	met	met
by	by	by
police	polic	police
.	.	.
WBIR	wbir	WBIR
reports	report	report
that	that	that
Kennedy	kennedi	Kennedy
has	has	ha
been	been	been
the	the	the
children	children	child
s	s	s
minister	minist	minister
at	at	at
Grace	grace	Grace
Baptist	baptist	Baptist
Church	church	Church
in	in	in
Karns	karn	Karns
,	,	,
TN	tn	TN
for	for	for
two	two	two
-and-a-half	-and-a-half	-and-a-half
years	year	year
.	.	.
Church	church	Church
officials	offici	official
claim	claim	claim
that	that	that
Kennedy	kennedi	Kennedy
never	never	never
behaved	behav	behaved
suspiciously	suspici	suspiciously
around	around	around
the	the	the
children	children	child
he	he	he
ministered	minist	ministered
to	to	to
.	.	.
Kennedy	kennedi	Kennedy
s	s	s
church	church	church
also	also	also
issued	issu	issued
an	an	an
oddly	odd	oddly
worded	word	worded
statement	statement	statement
after	after	after
his	his	his
arrest	arrest	arrest
.	.	.
The	the	The
choice	choic	choice
of	of	of
wording	word	wording
creates	creat	creates
serious	serious	serious
doubts	doubt	doubt
about	about	about
whether	whether	whether
the	the	the
church	church	church
conducted	conduct	conducted
an	an	an
actual	actual	actual
background	background	background
check	check	check
before	befor	before
hiring	hire	hiring
him	him	him
to	to	to
work	work	work
with	with	with
children	children	child
.	.	.
After	after	After
informing	inform	informing
parents	parent	parent
and	and	and
church	church	church
members	member	member
that	that	that
the	the	the
children	children	child
s	s	s
pastor	pastor	pastor
has	has	ha
been	been	been
arrested	arrest	arrested
for	for	for
attempting	attempt	attempting
to	to	to
have	have	have
sex	sex	sex
with	with	with
a	a	a
child	child	child
,	,	,
the	the	the
statement	statement	statement
continues	continu	continues
The	the	The
church	church	church
s	s	s
background	background	background
check	check	check
turned	turn	turned
up	up	up
no	no	no
issues	issu	issue
that	that	that
indicate	indic	indicate
any	ani	any
previous	previous	previous
problem	problem	problem
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
children	children	child
s	s	s
pastor	pastor	pastor
in	in	in
his	his	his
application	applic	application
affirmed	affirm	affirmed
that	that	that
he	he	he
had	had	had
no	no	no
issues	issu	issue
in	in	in
his	his	his
background	background	background
of	of	of
a	a	a
criminal	crimin	criminal
or	or	or
other	other	other
nature	natur	nature
.	.	.
This	this	This
statement	statement	statement
implies	impli	implies
that	that	that
the	the	the
church	church	church
s	s	s
background	background	background
check	check	check
consists	consist	consists
of	of	of
asking	ask	asking
a	a	a
potential	potenti	potential
employee	employe	employee
to	to	to
check	check	check
the	the	the
yes	yes	yes
box	box	box
if	if	if
you	you	you
re	re	re
a	a	a
child	child	child
predator	predat	predator
.	.	.
The	the	The
