Between	between	Between
Hollywood	hollywood	Hollywood
and	and	and
our	our	our
elected	elect	elected
officials	offici	official
,	,	,
it	it	it
s	s	s
hard	hard	hard
to	to	to
keep	keep	keep
track	track	track
of	of	of
who	who	who
has	has	ha
the	the	the
worst	worst	worst
record	record	record
when	when	when
it	it	it
comes	come	come
to	to	to
being	be	being
a	a	a
disgusting	disgust	disgusting
hypocrite	hypocrit	hypocrite
When	when	When
President	presid	President
Trump	trump	Trump
was	was	wa
running	run	running
for	for	for
office	offic	office
,	,	,
Alabama	alabama	Alabama
s	s	s
Republican	republican	Republican
Governor	governor	Governor
Robert	robert	Robert
Bentley	bentley	Bentley
was	was	wa
one	one	one
of	of	of
the	the	the
first	first	first
politicians	politician	politician
to	to	to
announce	announc	announce
that	that	that
he	he	he
would	would	would
not	not	not
support	support	support
him	him	him
over	over	over
the	the	the
exposed	expos	exposed
private	privat	private
conversation	convers	conversation
he	he	he
had	had	had
with	with	with
a	a	a
guy	guy	guy
on	on	on
a	a	a
bus	bus	bus
about	about	about
a	a	a
woman	woman	woman
.	.	.
He	he	He
proudly	proud	proudly
claimed	claim	claimed
his	his	his
support	support	support
would	would	would
be	be	be
given	given	given
to	to	to
Governor	governor	Governor
Kashich	kashich	Kashich
of	of	of
Ohio	ohio	Ohio
AP	ap	AP
Bentley	bentley	Bentley
comments	comment	comment
came	came	came
as	as	a
state	state	state
Alabama	alabama	Alabama
U	u	U
.	.	.
S	s	S
.	.	.
Reps	rep	Reps
.	.	.
Martha	martha	Martha
Roby	robi	Roby
and	and	and
Bradley	bradley	Bradley
Byrne	byrn	Byrne
,	,	,
on	on	on
Saturday	saturday	Saturday
called	call	called
for	for	for
Trump	trump	Trump
to	to	to
step	step	step
aside	asid	aside
from	from	from
the	the	the
GOP	gop	GOP
ticket	ticket	ticket
.	.	.
Trump	trump	Trump
is	is	is
under	under	under
fire	fire	fire
for	for	for
his	his	his
remarks	remark	remark
about	about	about
him	him	him
groping	grope	groping
women	women	woman
in	in	in
a	a	a
2005	2005	2005
recording	record	recording
.	.	.
Roby	robi	Roby
was	was	wa
one	one	one
of	of	of
the	the	the
first	first	first
Republicans	republican	Republicans
to	to	to
speak	speak	speak
out	out	out
against	against	against
Trump	trump	Trump
on	on	on
Saturday	saturday	Saturday
,	,	,
leading	lead	leading
what	what	what
would	would	would
soon	soon	soon
be	be	be
a	a	a
chorus	chorus	chorus
of	of	of
voices	voic	voice
against	against	against
the	the	the
GOP	gop	GOP
nominee	nomine	nominee
.	.	.
Now	now	Now
,	,	,
it	it	it
is	is	is
abundantly	abund	abundantly
clear	clear	clear
that	that	that
the	the	the
best	best	best
thing	thing	thing
for	for	for
our	our	our
country	countri	country
and	and	and
our	our	our
party	parti	party
is	is	is
for	for	for
Trump	trump	Trump
to	to	to
step	step	step
aside	asid	aside
and	and	and
allow	allow	allow
a	a	a
responsible	respons	responsible
,	,	,
respectable	respect	respectable
Republican	republican	Republican
to	to	to
lead	lead	lead
the	the	the
ticket	ticket	ticket
,	,	,
Roby	robi	Roby
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
must	must	must
not	not	not
be	be	be
president	presid	president
,	,	,
but	but	but
,	,	,
with	with	with
Trump	trump	Trump
leading	lead	leading
the	the	the
ticket	ticket	ticket
she	she	she
will	will	will
be	be	be
.	.	.
But	but	But
that	that	that
was	was	wa
yesterday	yesterday	yesterday
before	befor	before
anyone	anyon	anyone
knew	knew	knew
what	what	what
a	a	a
hypocrite	hypocrit	hypocrite
scumbag	scumbag	scumbag
Governor	governor	Governor
Bentley	bentley	Bentley
was	was	wa
.	.	.
In	in	In
June	june	June
2014	2014	2014
,	,	,
Alabama	alabama	Alabama
Gov	gov	Gov
.	.	.
Robert	robert	Robert
Bentley	bentley	Bentley
and	and	and
first	first	first
lady	ladi	lady
Dianne	diann	Dianne
Bentley	bentley	Bentley
agreed	agre	agreed
to	to	to
a	a	a
divorce	divorc	divorce
settlement	settlement	settlement
,	,	,
ending	end	ending
their	their	their
50	50	50
-year	-year	-year
marriage	marriag	marriage
,	,	,
the	the	the
governor	governor	governor
s	s	s
office	offic	office
said	said	said
Monday	monday	Monday
.	.	.
The	the	The
settlement	settlement	settlement
was	was	wa
filed	file	filed
just	just	just
four	four	four
weeks	week	week
after	after	after
the	the	the
first	first	first
lady	ladi	lady
filed	file	filed
for	for	for
divorce	divorc	divorce
,	,	,
saying	say	saying
their	their	their
marriage	marriag	marriage
had	had	had
suffered	suffer	suffered
an	an	an
irretrievable	irretriev	irretrievable
breakdown	breakdown	breakdown
.	.	.
The	the	The
governor	governor	governor
said	said	said
he	he	he
has	has	ha
asked	ask	asked
a	a	a
judge	judg	judge
to	to	to
unseal	unseal	unseal
the	the	the
case	case	case
file	file	file
so	so	so
the	the	the
public	public	public
and	and	and
media	media	medium
can	can	can
see	see	see
it	it	it
.	.	.
CBS	cbs	CBS
NewsAfter	newsaft	NewsAfter
a	a	a
tumultuous	tumultu	tumultuous
day	day	day
in	in	in
Montgomery	montgomeri	Montgomery
,	,	,
Governor	governor	Governor
Robert	robert	Robert
Bentley	bentley	Bentley
has	has	ha
resigned	resign	resigned
from	from	from
office	offic	office
.	.	.
The	the	The
time	time	time
has	has	ha
come	come	come
for	for	for
me	me	me
to	to	to
look	look	look
at	at	at
new	new	new
ways	way	way
to	to	to
serve	serv	serve
the	the	the
people	peopl	people
of	of	of
our	our	our
great	great	great
state	state	state
.	.	.
I	i	I
have	have	have
decided	decid	decided
it	it	it
is	is	is
time	time	time
for	for	for
me	me	me
to	to	to
step	step	step
down	down	down
as	as	a
Alabama	alabama	Alabama
s	s	s
governor	governor	governor
.	.	.
This	this	This
comes	come	come
hours	hour	hour
after	after	after
a	a	a
House	hous	House
committee	committe	committee
began	began	began
impeachment	impeach	impeachment
hearings	hear	hearing
,	,	,
and	and	and
about	about	about
one	one	one
hour	hour	hour
after	after	after
Bentley	bentley	Bentley
was	was	wa
booked	book	booked
in	in	in
the	the	the
Montgomery	montgomeri	Montgomery
County	counti	County
Jail	jail	Jail
on	on	on
misdemeanor	misdemeanor	misdemeanor
charges	charg	charge
.	.	.
He	he	He
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
the	the	the
charges	charg	charge
.	.	.
