President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
s	s	s
denial	denial	denial
of	of	of
Russia	russia	Russia
s	s	s
involvement	involv	involvement
in	in	in
the	the	the
US	us	US
election	elect	election
is	is	is
disturbing	disturb	disturbing
enough	enough	enough
,	,	,
but	but	but
it	it	it
s	s	s
even	even	even
more	more	more
unfortunate	unfortun	unfortunate
that	that	that
he	he	he
has	has	ha
Republican	republican	Republican
minions	minion	minion
that	that	that
are	are	are
willing	will	willing
to	to	to
back	back	back
him	him	him
up	up	up
and	and	and
spread	spread	spread
his	his	his
lies	lie	lie
.	.	.
Trump	trump	Trump
has	has	ha
recently	recent	recently
been	been	been
protecting	protect	protecting
his	his	his
man	man	man
crush	crush	crush
,	,	,
Russian	russian	Russian
leader	leader	leader
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
by	by	by
dismissing	dismiss	dismissing
the	the	the
multiple	multipl	multiple
,	,	,
legitimate	legitim	legitimate
,	,	,
and	and	and
widely	wide	widely
accepted	accept	accepted
reports	report	report
from	from	from
the	the	the
CIA	cia	CIA
and	and	and
conservative	conserv	conservative
Jeffrey	jeffrey	Jeffrey
Lord	lord	Lord
is	is	is
more	more	more
than	than	than
ready	readi	ready
to	to	to
back	back	back
him	him	him
up	up	up
on	on	on
that	that	that
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
Anderson	anderson	Anderson
Cooper	cooper	Cooper
and	and	and
guest	guest	guest
Robert	robert	Robert
Reich	reich	Reich
,	,	,
Lord	lord	Lord
killed	kill	killed
everyone	everyon	everyone
s	s	s
brain	brain	brain
cells	cell	cell
with	with	with
his	his	his
moronic	moron	moronic
defense	defens	defense
of	of	of
Trump	trump	Trump
.	.	.
Lord	lord	Lord
not	not	not
only	onli	only
tried	tri	tried
to	to	to
convince	convinc	convince
everyone	everyon	everyone
that	that	that
Trump	trump	Trump
hadn	hadn	hadn
t	t	t
been	been	been
dismissive	dismiss	dismissive
to	to	to
the	the	the
intelligence	intellig	intelligence
community	communiti	community
one	one	one
only	onli	only
needs	need	need
to	to	to
look	look	look
through	through	through
Trump	trump	Trump
s	s	s
Twitter	twitter	Twitter
feed	feed	feed
to	to	to
know	know	know
that	that	that
s	s	s
false	fals	false
,	,	,
but	but	but
he	he	he
accused	accus	accused
the	the	the
intelligence	intellig	intelligence
community	communiti	community
of	of	of
attacking	attack	attacking
Trump	trump	Trump
!	!	!
As	as	As
soon	soon	soon
as	as	a
Lord	lord	Lord
stated	state	stated
that	that	that
Trump	trump	Trump
hasn	hasn	hasn
t	t	t
been	been	been
disagreeing	disagre	disagreeing
with	with	with
the	the	the
CIA	cia	CIA
and	and	and
NSA	nsa	NSA
,	,	,
Reich	reich	Reich
jumped	jump	jumped
in	in	in
and	and	and
corrected	correct	corrected
him	him	him
.	.	.
Reich	reich	Reich
said	said	said
I	i	I
mean	mean	mean
,	,	,
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
said	said	said
that	that	that
he	he	he
disagrees	disagre	disagrees
with	with	with
the	the	the
intelligence	intellig	intelligence
agencies	agenc	agency
,	,	,
the	the	the
FBI	fbi	FBI
,	,	,
the	the	the
CIA	cia	CIA
,	,	,
the	the	the
NSA	nsa	NSA
.	.	.
He	he	He
has	has	ha
disparaged	disparag	disparaged
them	them	them
publicly	public	publicly
.	.	.
He	he	He
has	has	ha
also	also	also
disparaged	disparag	disparaged
other	other	other
sources	sourc	source
of	of	of
facts	fact	fact
such	such	such
as	as	a
the	the	the
media	media	medium
and	and	and
science	scienc	science
.	.	.
Scientists	scientist	Scientists
who	who	who
talk	talk	talk
about	about	about
global	global	global
climate	climat	climate
change	chang	change
.	.	.
Donald	donald	Donald
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
hear	hear	hear
anything	anyth	anything
he	he	he
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
hear	hear	hear
.	.	.
And	and	And
to	to	to
disparage	disparag	disparage
the	the	the
intelligence	intellig	intelligence
community	communiti	community
when	when	when
he	he	he
is	is	is
going	go	going
to	to	to
have	have	have
to	to	to
rely	reli	rely
on	on	on
the	the	the
intelligence	intellig	intelligence
community	communiti	community
,	,	,
it	it	it
seems	seem	seems
to	to	to
me	me	me
is	is	is
the	the	the
height	height	height
of	of	of
arrogance	arrog	arrogance
and	and	and
very	veri	very
dangerous	danger	dangerous
.	.	.
Where	where	Where
is	is	is
Donald	donald	Donald
Trump	trump	Trump
getting	get	getting
his	his	his
facts	fact	fact
from	from	from
if	if	if
he	he	he
is	is	is
not	not	not
getting	get	getting
them	them	them
from	from	from
the	the	the
intelligence	intellig	intelligence
community	communiti	community
?	?	?
Does	doe	Does
a	a	a
separate	separ	separate
root	root	root
of	of	of
facts	fact	fact
?	?	?
A	a	A
separate	separ	separate
source	sourc	source
of	of	of
facts	fact	fact
?	?	?
Reich	reich	Reich
then	then	then
pointed	point	pointed
out	out	out
,	,	,
How	how	How
can	can	can
you	you	you
run	run	run
a	a	a
government	govern	government
if	if	if
you	you	you
re	re	re
going	go	going
to	to	to
be	be	be
disparaging	disparag	disparaging
all	all	all
your	your	your
sources	sourc	source
of	of	of
information	inform	information
?	?	?
Lord	lord	Lord
lied	lie	lied
and	and	and
said	said	said
Trump	trump	Trump
was	was	wa
a	a	a
fan	fan	fan
of	of	of
the	the	the
intelligence	intellig	intelligence
community	communiti	community
.	.	.
He	he	He
said	said	said
I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
is	is	is
disparaging	disparag	disparaging
the	the	the
men	men	men
and	and	and
women	women	woman
who	who	who
put	put	put
their	their	their
lives	live	life
on	on	on
the	the	the
line	line	line
to	to	to
do	do	do
this	this	this
.	.	.
That	that	That
s	s	s
not	not	not
Donald	donald	Donald
Trump	trump	Trump
at	at	at
all	all	all
.	.	.
But	but	But
I	i	I
think	think	think
he	he	he
is	is	is
right	right	right
to	to	to
question	question	question
the	the	the
leadership	leadership	leadership
.	.	.
To	to	To
be	be	be
perfectly	perfect	perfectly
candid	candid	candid
.	.	.
Then	then	Then
,	,	,
Lord	lord	Lord
said	said	said
something	someth	something
that	that	that
was	was	wa
so	so	so
foolish	foolish	foolish
,	,	,
Reich	reich	Reich
s	s	s
brain	brain	brain
nearly	near	nearly
melted	melt	melted
when	when	when
he	he	he
heard	heard	heard
it	it	it
.	.	.
Lord	lord	Lord
said	said	said
,	,	,
They	they	They
re	re	re
going	go	going
to	to	to
attack	attack	attack
him	him	him
anonymously	anonym	anonymously
in	in	in
the	the	the
press	press	press
.	.	.
They	they	They
ll	ll	ll
attack	attack	attack
through	through	through
their	their	their
allies	alli	ally
on	on	on
Capitol	capitol	Capitol
Hill	hill	Hill
.	.	.
Reich	reich	Reich
could	could	could
hardly	hard	hardly
find	find	find
the	the	the
words	word	word
.	.	.
He	he	He
tried	tri	tried
to	to	to
compose	compos	compose
himself	himself	himself
as	as	a
he	he	he
asked	ask	asked
The	the	The
CIA	cia	CIA
and	and	and
NSA	nsa	NSA
are	are	are
going	go	going
to	to	to
attack	attack	attack
Donald	donald	Donald
Trump	trump	Trump
?	?	?
Is	is	Is
that	that	that
what	what	what
you	you	you
re	re	re
alleging	alleg	alleging
?	?	?
Wait	wait	Wait
a	a	a
minute	minut	minute
,	,	,
wait	wait	wait
a	a	a
minute	minut	minute
.	.	.
I	i	I
want	want	want
to	to	to
understand	understand	understand
something	someth	something
.	.	.
You	you	You
re	re	re
saying	say	saying
that	that	that
there	there	there
is	is	is
a	a	a
conspiracy	conspiraci	conspiracy
of	of	of
some	some	some
sort	sort	sort
,	,	,
that	that	that
you	you	you
have	have	have
all	all	all
the	the	the
intelligence	intellig	intelligence
agencies	agenc	agency
Congress	congress	Congress
conspiring	conspir	conspiring
and	and	and
they	they	they
ll	ll	ll
try	tri	try
to	to	to
bring	bring	bring
Donald	donald	Donald
Trump	trump	Trump
down	down	down
?	?	?
Is	is	Is
this	this	this
the	the	the
assumption	assumpt	assumption
here	here	here
?	?	?
Lord	lord	Lord
failed	fail	failed
to	to	to
provide	provid	provide
a	a	a
suitable	suitabl	suitable
answer	answer	answer
,	,	,
and	and	and
Reid	reid	Reid
continued	continu	continued
to	to	to
ask	ask	ask
,	,	,
But	but	But
why	whi	why
is	is	is
it	it	it
appropriate	appropri	appropriate
for	for	for
somebody	somebodi	somebody
who	who	who
is	is	is
president	presid	president
-elect	-elect	-elect
to	to	to
undercut	undercut	undercut
,	,	,
disparage	disparag	disparage
,	,	,
demean	demean	demean
the	the	the
intelligence	intellig	intelligence
agencies	agenc	agency
,	,	,
just	just	just
as	as	a
he	he	he
does	doe	doe
the	the	the
media	media	medium
,	,	,
just	just	just
as	as	a
he	he	he
does	doe	doe
independent	independ	independent
scientists	scientist	scientist
and	and	and
government	govern	government
scientists	scientist	scientist
?	?	?
Once	onc	Once
again	again	again
,	,	,
Lord	lord	Lord
was	was	wa
out	out	out
of	of	of
answers	answer	answer
.	.	.
He	he	He
tried	tri	tried
to	to	to
change	chang	change
the	the	the
subject	subject	subject
,	,	,
and	and	and
Cooper	cooper	Cooper
put	put	put
an	an	an
end	end	end
to	to	to
the	the	the
interview	interview	interview
.	.	.
You	you	You
can	can	can
watch	watch	watch
Lord	lord	Lord
destroy	destroy	destroy
everyone	everyon	everyone
s	s	s
brain	brain	brain
cells	cell	cell
with	with	with
his	his	his
