WOULDN	wouldn	WOULDN
T	t	T
YOU	you	YOU
LIKE	like	LIKE
TO	to	TO
KNOW	know	KNOW
THE	the	THE
GRAND	grand	GRAND
TOTAL	total	TOTAL
AND	and	AND
NOT	not	NOT
JUST	just	JUST
THE	the	THE
TRANSPORTATION	transport	TRANSPORTATION
EXPENSES	expens	EXPENSES
ALONE	alon	ALONE
?	?	?
First	first	First
Lady	ladi	Lady
s	s	s
round	round	round
-trip	-trip	-trip
flight	flight	flight
to	to	to
Aspen	aspen	Aspen
,	,	,
Colorado	colorado	Colorado
,	,	,
with	with	with
her	her	her
daughters	daughter	daughter
cost	cost	cost
taxpayers	taxpay	taxpayer
7	7	7
,	,	,
712	712	712
an	an	an
hour	hour	hour
Washington	washington	Washington
,	,	,
DC	dc	DC
Judicial	judici	Judicial
Watch	watch	Watch
announced	announc	announced
today	today	today
that	that	that
it	it	it
has	has	ha
obtained	obtain	obtained
records	record	record
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
the	the	the
Air	air	Air
Force	forc	Force
revealing	reveal	revealing
that	that	that
Michelle	michell	Michelle
Obama	obama	Obama
s	s	s
weekend	weekend	weekend
trip	trip	trip
to	to	to
Aspen	aspen	Aspen
,	,	,
Colorado	colorado	Colorado
,	,	,
in	in	in
February	februari	February
cost	cost	cost
American	american	American
taxpayers	taxpay	taxpayer
57	57	57
,	,	,
068	068	068
.	.	.
80	80	80
in	in	in
travel	travel	travel
expenses	expens	expense
alone	alon	alone
for	for	for
the	the	the
7	7	7
.	.	.
4	4	4
-hour	-hour	-hour
round	round	round
-trip	-trip	-trip
flight	flight	flight
.	.	.

While	while	While
President	presid	President
Obama	obama	Obama
flew	flew	flew
to	to	to
California	california	California
to	to	to
play	play	play
golf	golf	golf
,	,	,
speak	speak	speak
at	at	at
a	a	a
cyber	cyber	cyber
-security	-secur	-security
summit	summit	summit
,	,	,
and	and	and
headline	headlin	headline
a	a	a
fundraiser	fundrais	fundraiser
for	for	for
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
,	,	,
the	the	the
First	first	First
Lady	ladi	Lady
and	and	and
her	her	her
daughters	daughter	daughter
spent	spent	spent
Valentine	valentin	Valentine
s	s	s
Day	day	Day
weekend	weekend	weekend
