They	they	They
wouldn	wouldn	wouldn
t	t	t
want	want	want
to	to	to
remind	remind	remind
anyone	anyon	anyone
the	the	the
actual	actual	actual
reason	reason	reason
for	for	for
the	the	the
holiday	holiday	holiday
season	season	season
or	or	or
God	god	God
forbid	forbid	forbid
,	,	,
give	give	give
some	some	some
crazy	crazi	crazy
Muslim	muslim	Muslim
terrorist	terrorist	terrorist
an	an	an
excuse	excus	excuse
to	to	to
come	come	come
in	in	in
and	and	and
shoot	shoot	shoot
the	the	the
place	place	place
up	up	up
The	the	The
University	univers	University
of	of	of
Tennessee	tennesse	Tennessee
,	,	,
Knoxville	knoxvill	Knoxville
Office	offic	Office
of	of	of
Diversity	divers	Diversity
and	and	and
Inclusion	inclus	Inclusion
has	has	ha
come	come	come
up	up	up
with	with	with
a	a	a
list	list	list
of	of	of
best	best	best
practices	practic	practice
in	in	in
order	order	order
to	to	to
ensure	ensur	ensure
your	your	your
inclusive	inclus	inclusive
workplace	workplac	workplace
holiday	holiday	holiday
party	parti	party
is	is	is
not	not	not
a	a	a
Christmas	christma	Christmas
party	parti	party
in	in	in
disguise	disguis	disguise
and	and	and
that	that	that
it	it	it
refrains	refrain	refrain
from	from	from
being	be	being
perceived	perceiv	perceived
as	as	a
endorsing	endors	endorsing
religion	religion	religion
generally	general	generally
.	.	.

The	the	The
Best	best	Best
Practices	practic	Practices
for	for	for
Inclusive	inclus	Inclusive
Holiday	holiday	Holiday
Celebrations	celebr	Celebrations
in	in	in
the	the	the
Workplace	workplac	Workplace
holiday	holiday	holiday
resource	resourc	resource
guide	guid	guide
states	state	state
that	that	that
the	the	the
public	public	public
university	univers	university
does	doe	doe
not	not	not
have	have	have
an	an	an
official	offici	official
policy	polici	policy
regarding	regard	regarding
religious	religi	religious
and	and	and
cultural	cultur	cultural
d	d	d
cor	cor	cor
and	and	and
celebration	celebr	celebration
in	in	in
the	the	the
workplace	workplac	workplace
,	,	,
however	howev	however
,	,	,
we	we	we
are	are	are
fully	fulli	fully
committed	commit	committed
to	to	to
a	a	a
diverse	divers	diverse
,	,	,
welcoming	welcom	welcoming
,	,	,
and	and	and
inclusive	inclus	inclusive
environment	environ	environment
.	.	.

In	in	In
order	order	order
to	to	to
ensure	ensur	ensure
your	your	your
holiday	holiday	holiday
party	parti	party
is	is	is
not	not	not
a	a	a
Christmas	christma	Christmas
party	parti	party
in	in	in
disguise	disguis	disguise
,	,	,
the	the	the
Office	offic	Office
of	of	of
Diversity	divers	Diversity
and	and	and
Inclusion	inclus	Inclusion
has	has	ha
come	come	come
up	up	up
with	with	with
a	a	a
list	list	list
of	of	of
ways	way	way
for	for	for
supervisors	supervisor	supervisor
to	to	to
encourage	encourag	encourage
individuals	individu	individual
to	to	to
celebrate	celebr	celebrate
their	their	their
own	own	own
religions	religion	religion
and	and	and
cultures	cultur	culture
without	without	without
allegedly	alleg	allegedly
excluding	exclud	excluding
anyone	anyon	anyone
or	or	or
even	even	even
being	be	being
seen	seen	seen
as	as	a
endorsing	endors	endorsing
religion	religion	religion
Holiday	holiday	Holiday
parties	parti	party
and	and	and
celebrations	celebr	celebration
should	should	should
celebrate	celebr	celebrate
and	and	and
build	build	build
upon	upon	upon
workplace	workplac	workplace
relationships	relationship	relationship
and	and	and
team	team	team
morale	moral	morale
with	with	with
no	no	no
emphasis	emphasi	emphasis
on	on	on
religion	religion	religion
or	or	or
culture	cultur	culture
.	.	.

Ensure	ensur	Ensure
your	your	your
holiday	holiday	holiday
party	parti	party
is	is	is
not	not	not
a	a	a
Christmas	christma	Christmas
party	parti	party
in	in	in
disguise	disguis	disguise
.	.	.
Consider	consid	Consider
having	have	having
a	a	a
New	new	New
Year	year	Year
s	s	s
party	parti	party
and	and	and
include	includ	include
d	d	d
cor	cor	cor
and	and	and
food	food	food
from	from	from
multiple	multipl	multiple
religions	religion	religion
and	and	and
cultures	cultur	culture
.	.	.

Use	use	Use
it	it	it
as	as	a
an	an	an
opportunity	opportun	opportunity
to	to	to
reinvigorate	reinvigor	reinvigorate
individuals	individu	individual
for	for	for
the	the	the
New	new	New
Year	year	Year
s	s	s
goals	goal	goal
and	and	and
priorities	prioriti	priority
.	.	.

Supervisors	supervisor	Supervisors
and	and	and
managers	manag	manager
should	should	should
not	not	not
as	as	a
well	well	well
as	as	a
,	,	,
not	not	not
be	be	be
perceived	perceiv	perceived
as	as	a
endorsing	endors	endorsing
religion	religion	religion
generally	general	generally
or	or	or
a	a	a
specific	specif	specific
religion	religion	religion
.	.	.
If	if	If
an	an	an
individual	individu	individual
chooses	choos	chooses
not	not	not
to	to	to
participate	particip	participate
in	in	in
a	a	a
holiday	holiday	holiday
party	parti	party
or	or	or
celebration	celebr	celebration
,	,	,
do	do	do
not	not	not
pressure	pressur	pressure
the	the	the
person	person	person
to	to	to
participate	particip	participate
.	.	.

Participation	particip	Participation
should	should	should
be	be	be
voluntary	voluntari	voluntary
.	.	.
If	if	If
a	a	a
potluck	potluck	potluck
-style	-style	-style
party	parti	party
or	or	or
celebration	celebr	celebration
is	is	is
planned	plan	planned
,	,	,
encourage	encourag	encourage
employees	employe	employee
to	to	to
bring	bring	bring
food	food	food
items	item	item
that	that	that
reflect	reflect	reflect
their	their	their
personal	person	personal
religions	religion	religion
,	,	,
cultures	cultur	culture
,	,	,
and	and	and
celebrations	celebr	celebration
.	.	.

Use	use	Use
this	this	this
as	as	a
an	an	an
opportunity	opportun	opportunity
for	for	for
individuals	individu	individual
to	to	to
share	share	share
what	what	what
they	they	they
brought	brought	brought
and	and	and
why	whi	why
it	it	it
is	is	is
meaningful	meaning	meaningful
to	to	to
them	them	them
.	.	.
If	if	If
sending	send	sending
holiday	holiday	holiday
cards	card	card
to	to	to
campus	campus	campus
and	and	and
community	communiti	community
partners	partner	partner
,	,	,
send	send	send
a	a	a
non	non	non
-denominational	-denomin	-denominational
card	card	card
or	or	or
token	token	token
of	of	of
your	your	your
gratitude	gratitud	gratitude
.	.	.
Holiday	holiday	Holiday
parties	parti	party
and	and	and
celebrations	celebr	celebration
should	should	should
not	not	not
play	play	play
games	game	game
with	with	with
religious	religi	religious
and	and	and
cultural	cultur	cultural
themes	theme	theme
.	.	.

For	for	For
example	exampl	example
,	,	,
Dreidel	dreidel	Dreidel
or	or	or
Secret	secret	Secret
Santa	santa	Santa
.	.	.

If	if	If
you	you	you
want	want	want
to	to	to
exchange	exchang	exchange
gifts	gift	gift
,	,	,
then	then	then
refer	refer	refer
to	to	to
it	it	it
in	in	in
a	a	a
general	general	general
way	way	way
,	,	,
such	such	such
as	as	a
a	a	a
practical	practic	practical
joke	joke	joke
gift	gift	gift
exchange	exchang	exchange
or	or	or
secret	secret	secret
gift	gift	gift
exchange	exchang	exchange
.	.	.
D	d	D
cor	cor	cor
selection	select	selection
should	should	should
be	be	be
general	general	general
,	,	,
not	not	not
specific	specif	specific
to	to	to
any	ani	any
religion	religion	religion
or	or	or
culture	cultur	culture
.	.	.

Identify	identifi	Identify
specific	specif	specific
dates	date	date
when	when	when
d	d	d
cor	cor	cor
can	can	can
be	be	be
put	put	put
up	up	up
and	and	and
when	when	when
it	it	it
must	must	must
come	come	come
down	down	down
.	.	.
Refreshment	refresh	Refreshment
selection	select	selection
should	should	should
be	be	be
general	general	general
,	,	,
not	not	not
specific	specif	specific
to	to	to
any	ani	any
religion	religion	religion
or	or	or
culture	cultur	culture
.	.	.
Most	most	Most
importantly	import	importantly
,	,	,
celebrate	celebr	celebrate
your	your	your
religious	religi	religious
and	and	and
cultural	cultur	cultural
holidays	holiday	holiday
in	in	in
ways	way	way
that	that	that
are	are	are
respectful	respect	respectful
and	and	and
inclusive	inclus	inclusive
of	of	of
our	our	our
students	student	student
,	,	,
your	your	your
colleagues	colleagu	colleague
,	,	,
and	and	and
our	our	our
university	univers	university
.	.	.

Via	via	Via
MRCTV	mrctv	MRCTV

