Apparently	appar	Apparently
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
leader	leader	leader
has	has	ha
attitude	attitud	attitude
issues	issu	issue
.	.	.

President	presid	President
Barack	barack	Barack
Obama	obama	Obama
has	has	ha
been	been	been
slated	slate	slated
by	by	by
his	his	his
own	own	own
brother	brother	brother
and	and	and
revealed	reveal	revealed
he	he	he
will	will	will
back	back	back
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
in	in	in
the	the	the
Presidential	presidenti	Presidential
race	race	race
.	.	.

Speaking	speak	Speaking
live	live	live
from	from	from
Kenya	kenya	Kenya
on	on	on
British	british	British
TV	tv	TV
,	,	,
Malik	malik	Malik
Obama	obama	Obama
also	also	also
spoke	spoke	spoke
about	about	about
his	his	his
relationship	relationship	relationship
with	with	with
Barack	barack	Barack
and	and	and
claimed	claim	claimed
he	he	he
has	has	ha
to	to	to
make	make	make
appointments	appoint	appointment
to	to	to
see	see	see
him	him	him
.	.	.

And	and	And
he	he	he
told	told	told
Good	good	Good
Morning	morn	Morning
Britain	britain	Britain
hosts	host	host
Piers	pier	Piers
Morgan	morgan	Morgan
and	and	and
Susanna	susanna	Susanna
Reid	reid	Reid
that	that	that
the	the	the
US	us	US
leader	leader	leader
has	has	ha
issues	issu	issue
with	with	with
attitude	attitud	attitude
.	.	.

He	he	He
said	said	said
Barack	barack	Barack
has	has	ha
this	this	this
attitude	attitud	attitude
like	like	like
I	i	I
m	m	m
the	the	the
president	presid	president
,	,	,
I	i	I
ve	ve	ve
made	made	made
it	it	it
,	,	,
I	i	I
m	m	m
the	the	the
star	star	star
here	here	here
.	.	.

I	i	I
do	do	do
understand	understand	understand
that	that	that
but	but	but
I	i	I
m	m	m
just	just	just
expressing	express	expressing
my	my	my
opinion	opinion	opinion
and	and	and
how	how	how
I	i	I
feel	feel	feel
.	.	.

In	in	In
a	a	a
swipe	swipe	swipe
at	at	at
his	his	his
sibling	sibl	sibling
s	s	s
incredible	incred	incredible
political	polit	political
career	career	career
,	,	,
Malik	malik	Malik
added	ad	added
Looking	look	Looking
back	back	back
,	,	,
he	he	he
made	made	made
so	so	so
many	mani	many
promises	promis	promise
when	when	when
he	he	he
was	was	wa
running	run	running
for	for	for
president	presid	president
.	.	.

He	he	He
was	was	wa
riding	ride	riding
on	on	on
the	the	the
promise	promis	promise
of	of	of
hope	hope	hope
.	.	.

There	there	There
was	was	wa
so	so	so
much	much	much
excitement	excit	excitement
and	and	and
we	we	we
thought	thought	thought
he	he	he
would	would	would
do	do	do
so	so	so
many	mani	many
things	thing	thing
.	.	.

But	but	But
look	look	look
at	at	at
the	the	the
Middle	middl	Middle
East	east	East
right	right	right
now	now	now
.	.	.

It	it	It
s	s	s
a	a	a
mess	mess	mess
.	.	.

People	peopl	People
are	are	are
being	be	being
killed	kill	killed
all	all	all
over	over	over
the	the	the
place	place	place
;	;	;
Berlin	berlin	Berlin
,	,	,
Florida	florida	Florida
,	,	,
France	franc	France
,	,	,
Brussels	brussel	Brussels
.	.	.

And	and	And
look	look	look
at	at	at
the	the	the
situation	situat	situation
in	in	in
Iraq	iraq	Iraq
right	right	right
now	now	now
.	.	.

Malik	malik	Malik
also	also	also
sounded	sound	sounded
pretty	pretti	pretty
miffed	mif	miffed
when	when	when
he	he	he
revealed	reveal	revealed
he	he	he
has	has	ha
to	to	to
request	request	request
an	an	an
appointment	appoint	appointment
when	when	when
he	he	he
wants	want	want
to	to	to
see	see	see
his	his	his
brother	brother	brother
.	.	.

I	i	I
have	have	have
to	to	to
go	go	go
through	through	through
this	this	this
woman	woman	woman
and	and	and
make	make	make
a	a	a
request	request	request
,	,	,
saying	say	saying
I	i	I
would	would	would
like	like	like
to	to	to
see	see	see
him	him	him
,	,	,
Malik	malik	Malik
added	ad	added
.	.	.

Then	then	Then
I	i	I
just	just	just
have	have	have
to	to	to
wait	wait	wait
.	.	.

The	the	The
last	last	last
time	time	time
I	i	I
requested	request	requested
to	to	to
see	see	see
him	him	him
was	was	wa
June	june	June
15th	15th	15th
and	and	and
I	i	I
ve	ve	ve
only	onli	only
just	just	just
got	got	got
a	a	a
response	respons	response
.	.	.

And	and	And
that	that	that
s	s	s
how	how	how
it	it	it
usually	usual	usually
works	work	work
.	.	.

It	it	It
all	all	all
depends	depend	depends
on	on	on
whether	whether	whether
there	there	there
s	s	s
an	an	an
opening	open	opening
in	in	in
his	his	his
diary	diari	diary
.	.	.

The	the	The
most	most	most
shocking	shock	shocking
point	point	point
Malik	malik	Malik
made	made	made
during	dure	during
the	the	the
interview	interview	interview
was	was	wa
that	that	that
he	he	he
plans	plan	plan
to	to	to
vote	vote	vote
for	for	for
Barack	barack	Barack
s	s	s
rival	rival	rival
Donald	donald	Donald
Trump	trump	Trump
in	in	in
the	the	the
upcoming	upcom	upcoming
U	u	U
.	.	.
S	s	S
.	.	.
elections	elect	election
.	.	.
Although	although	Although
the	the	the
president	presid	president
is	is	is
backing	back	backing
his	his	his
friend	friend	friend
Hilary	hilari	Hilary
Clinton	clinton	Clinton
for	for	for
the	the	the
job	job	job
and	and	and
has	has	ha
made	made	made
no	no	no
secret	secret	secret
of	of	of
his	his	his
feelings	feel	feeling
towards	toward	towards
Donald	donald	Donald
,	,	,
Malik	malik	Malik
was	was	wa
more	more	more
than	than	than
happy	happi	happy
to	to	to
explain	explain	explain
why	whi	why
he	he	he
isn	isn	isn
t	t	t
supporting	support	supporting
his	his	his
brother	brother	brother
.	.	.

Something	someth	Something
is	is	is
going	go	going
on	on	on
with	with	with
Hilary	hilari	Hilary
that	that	that
I	i	I
don	don	don
t	t	t
like	like	like
,	,	,
he	he	he
explained	explain	explained
.	.	.

Donald	donald	Donald
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
he	he	he
speaks	speak	speaks
his	his	his
mind	mind	mind
and	and	and
is	is	is
straight	straight	straight
forward	forward	forward
.	.	.

And	and	And
remember	rememb	remember
,	,	,
the	the	the
Republican	republican	Republican
party	parti	party
is	is	is
the	the	the
party	parti	party
of	of	of
Abraham	abraham	Abraham
Lincoln	lincoln	Lincoln
who	who	who
freed	freed	freed
slaves	slave	slave
and	and	and
freed	freed	freed
the	the	the
black	black	black
man	man	man
.	.	.

