What	what	What
in	in	in
the	the	the
world	world	world
has	has	ha
become	becom	become
of	of	of
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
?	?	?
Hillary	hillari	Hillary
snubs	snub	snub
the	the	the
largest	largest	largest
police	polic	police
union	union	union
in	in	in
America	america	America
and	and	and
then	then	then
her	her	her
VP	vp	VP
candidate	candid	candidate
promotes	promot	promotes
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
in	in	in
his	his	his
speech	speech	speech
to	to	to
the	the	the
Urban	urban	Urban
League	leagu	League
.	.	.
Is	is	Is
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
the	the	the
new	new	new
party	parti	party
of	of	of
lawlessness	lawless	lawlessness
?	?	?
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
weighs	weigh	weighs
in	in	in
on	on	on
this	this	this
and	and	and
jumps	jump	jump
all	all	all
over	over	over
Hillary	hillari	Hillary
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
joined	join	joined
the	the	the
Fox	fox	Fox
and	and	and
Friends	friend	Friends
Weekend	weekend	Weekend
co	co	co
-hosts	-host	-hosts
today	today	today
to	to	to
react	react	react
to	to	to
the	the	the
revelation	revel	revelation
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
has	has	ha
snubbed	snub	snubbed
the	the	the
largest	largest	largest
police	polic	police
union	union	union
in	in	in
the	the	the
country	countri	country
.	.	.
Giuliani	giuliani	Giuliani
said	said	said
the	the	the
fact	fact	fact
that	that	that
Clinton	clinton	Clinton
isn	isn	isn
t	t	t
seeking	seek	seeking
the	the	the
endorsement	endors	endorsement
of	of	of
the	the	the
National	nation	National
Fraternal	fratern	Fraternal
Order	order	Order
of	of	of
Police	polic	Police
is	is	is
indicative	indic	indicative
of	of	of
a	a	a
shift	shift	shift
among	among	among
Democrats	democrat	Democrats
.	.	.
The	the	The
Democratic	democrat	Democratic
Party	parti	Party
has	has	ha
become	becom	become
an	an	an
anti	anti	anti
-law	-law	-law
enforcement	enforc	enforcement
party	parti	party
,	,	,
Giuliani	giuliani	Giuliani
said	said	said
.	.	.
And	and	And
this	this	this
is	is	is
the	the	the
best	best	best
demonstration	demonstr	demonstration
of	of	of
it	it	it
.	.	.
He	he	He
accused	accus	accused
the	the	the
Democrats	democrat	Democrats
of	of	of
stoking	stoke	stoking
the	the	the
flames	flame	flame
of	of	of
anti	anti	anti
-police	-polic	-police
sentiment	sentiment	sentiment
across	across	across
the	the	the
country	countri	country
,	,	,
leading	lead	leading
to	to	to
the	the	the
rise	rise	rise
of	of	of
groups	group	group
like	like	like
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
and	and	and
an	an	an
increase	increas	increase
in	in	in
violence	violenc	violence
against	against	against
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
.	.	.
It	it	It
comes	come	come
right	right	right
from	from	from
the	the	the
top	top	top
,	,	,
it	it	it
includes	includ	includes
Hillary	hillari	Hillary
,	,	,
Giuliani	giuliani	Giuliani
said	said	said
.	.	.
You	you	You
don	don	don
t	t	t
even	even	even
go	go	go
talk	talk	talk
to	to	to
and	and	and
seek	seek	seek
the	the	the
endorsement	endors	endorsement
of	of	of
one	one	one
of	of	of
the	the	the
major	major	major
police	polic	police
unions	union	union
in	in	in
the	the	the
country	countri	country
?	?	?
He	he	He
noted	note	noted
that	that	that
Democrats	democrat	Democrats
didn	didn	didn
t	t	t
allow	allow	allow
uniformed	uniform	uniformed
police	polic	police
officers	offic	officer
on	on	on
the	the	the
floor	floor	floor
of	of	of
the	the	the
DNC	dnc	DNC
,	,	,
calling	call	calling
the	the	the
party	parti	party
s	s	s
treatment	treatment	treatment
of	of	of
law	law	law
enforcement	enforc	enforcement
outrageous	outrag	outrageous
.	.	.
