Trump	trump	Trump
s	s	s
newly	newli	newly
confirmed	confirm	confirmed
Secretary	secretari	Secretary
of	of	of
Housing	hous	Housing
and	and	and
Urban	urban	Urban
Development	develop	Development
just	just	just
dropped	drop	dropped
a	a	a
doozy	doozi	doozy
on	on	on
us	us	u
.	.	.
No	no	No
,	,	,
not	not	not
the	the	the
one	one	one
about	about	about
Harriet	harriet	Harriet
Tubman	tubman	Tubman
.	.	.
This	this	This
is	is	is
a	a	a
new	new	new
WTF	wtf	WTF
moment	moment	moment
for	for	for
the	the	the
sleepy	sleepi	sleepy
-eyed	-ey	-eyed
Ben	ben	Ben
Carson	carson	Carson
.	.	.
In	in	In
a	a	a
talk	talk	talk
with	with	with
department	depart	department
employees	employe	employee
,	,	,
Carson	carson	Carson
referred	refer	referred
to	to	to
slaves	slave	slave
as	as	a
immigrants	immigr	immigrant
dreaming	dream	dreaming
of	of	of
a	a	a
better	better	better
life	life	life
,	,	,
The	the	The
Hill	hill	Hill
reports	report	report
.	.	.
Sure	sure	Sure
,	,	,
except	except	except
slaves	slave	slave
didn	didn	didn
t	t	t
want	want	want
to	to	to
come	come	come
to	to	to
this	this	this
country	countri	country
.	.	.
They	they	They
had	had	had
families	famili	family
,	,	,
homes	home	home
,	,	,
a	a	a
life	life	life
and	and	and
a	a	a
country	countri	country
.	.	.
Slaves	slave	Slaves
were	were	were
shackled	shackl	shackled
and	and	and
brought	brought	brought
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
in	in	in
deplorable	deplor	deplorable
circumstances	circumst	circumstance
,	,	,
beaten	beaten	beaten
within	within	within
an	an	an
inch	inch	inch
of	of	of
their	their	their
lives	live	life
.	.	.
That	that	That
s	s	s
what	what	what
America	america	America
is	is	is
about	about	about
.	.	.
A	a	A
land	land	land
of	of	of
dreams	dream	dream
and	and	and
opportunity	opportun	opportunity
,	,	,
Carson	carson	Carson
said	said	said
,	,	,
while	while	while
inadvertently	inadvert	inadvertently
touting	tout	touting
the	the	the
very	veri	very
reason	reason	reason
we	we	we
should	should	should
allow	allow	allow
refugees	refuge	refugee
to	to	to
enter	enter	enter
our	our	our
borders	border	border
.	.	.
There	there	There
were	were	were
other	other	other
immigrants	immigr	immigrant
who	who	who
came	came	came
here	here	here
in	in	in
the	the	the
bottom	bottom	bottom
of	of	of
slave	slave	slave
ships	ship	ship
,	,	,
worked	work	worked
even	even	even
longer	longer	longer
,	,	,
even	even	even
harder	harder	harder
for	for	for
less	less	le
.	.	.
Ben	ben	Ben
Carson	carson	Carson
at	at	at
HUD	hud	HUD
There	there	There
were	were	were
other	other	other
immigrants	immigr	immigrant
who	who	who
came	came	came
here	here	here
in	in	in
the	the	the
bottom	bottom	bottom
of	of	of
slave	slave	slave
ships	ship	ship
,	,	,
worked	work	worked
even	even	even
longer	longer	longer
,	,	,
even	even	even
harder	harder	harder
for	for	for
less	less	le
.	.	.
pic.twitter.com/VfH9YCbleM	pic.twitter.com/vfh9ycblem	pic.twitter.com/VfH9YCbleM
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
March	march	March
6	6	6
,	,	,
2017	2017	2017
But	but	But
they	they	they
,	,	,
too	too	too
,	,	,
had	had	had
a	a	a
dream	dream	dream
that	that	that
one	one	one
day	day	day
their	their	their
sons	son	son
,	,	,
daughters	daughter	daughter
,	,	,
grandsons	grandson	grandson
,	,	,
granddaughters	granddaught	granddaughter
,	,	,
great	great	great
-granddaughters	-granddaught	-granddaughters
might	might	might
pursue	pursu	pursue
prosperity	prosper	prosperity
and	and	and
happiness	happi	happiness
in	in	in
this	this	this
land	land	land
,	,	,
Carson	carson	Carson
added	ad	added
.	.	.
Watch	watch	Watch
Samuel	samuel	Samuel
Jackson	jackson	Jackson
weighed	weigh	weighed
in	in	in
on	on	on
Carson	carson	Carson
s	s	s
comparison	comparison	comparison
OK	ok	OK
!	!	!
!	!	!
Ben	ben	Ben
Carson	carson	Carson
.	.	.
I	i	I
can't	can't	can't
!	!	!
Immigrants	immigr	Immigrants
?	?	?
In	in	In
the	the	the
bottom	bottom	bottom
of	of	of
SLAVE	slave	SLAVE
SHIPS	ship	SHIPS
?	?	?
?	?	?
!	!	!
!	!	!
MUTHAFUKKA	muthafukka	MUTHAFUKKA
PLEASE	pleas	PLEASE
!	!	!
!	!	!
!	!	!
#dickheadedtom	#dickheadedtom	#dickheadedtom
Samuel	samuel	Samuel
L	l	L
.	.	.
Jackson	jackson	Jackson
@SamuelLJackson	@samuelljackson	@SamuelLJackson
March	march	March
6	6	6
,	,	,
2017During	2017dure	2017During
his	his	his
bid	bid	bid
for	for	for
the	the	the
GOP	gop	GOP
nomination	nomin	nomination
for	for	for
president	presid	president
,	,	,
Carson	carson	Carson
compared	compar	compared
abortion	abort	abortion
to	to	to
slavery	slaveri	slavery
.	.	.
During	dure	During
slavery	slaveri	slavery
and	and	and
I	i	I
know	know	know
that	that	that
s	s	s
one	one	one
of	of	of
those	those	those
words	word	word
you	you	you
re	re	re
not	not	not
supposed	suppos	supposed
to	to	to
say	say	say
,	,	,
but	but	but
I	i	I
m	m	m
saying	say	saying
it	it	it
during	dure	during
slavery	slaveri	slavery
,	,	,
a	a	a
lot	lot	lot
of	of	of
the	the	the
slave	slave	slave
owners	owner	owner
thought	thought	thought
that	that	that
they	they	they
