Appearing	appear	Appearing
on	on	on
Face	face	Face
the	the	the
Nation	nation	Nation
this	this	this
past	past	past
Sunday	sunday	Sunday
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
posed	pose	posed
a	a	a
question	question	question
by	by	by
host	host	host
John	john	John
Dickerson	dickerson	Dickerson
surrounding	surround	surrounding
voters	voter	voter
and	and	and
how	how	how
many	mani	many
want	want	want
what	what	what
they	they	they
want	want	want
,	,	,
even	even	even
when	when	when
it	it	it
comes	come	come
to	to	to
their	their	their
candidate	candid	candidate
of	of	of
choice	choic	choice
.	.	.
Dickerson	dickerson	Dickerson
insinuated	insinu	insinuated
that	that	that
Hillary	hillari	Hillary
may	may	may
be	be	be
trying	tri	trying
to	to	to
get	get	get
Bernie	berni	Bernie
Sanders	sander	Sanders
out	out	out
of	of	of
the	the	the
race	race	race
.	.	.
However	howev	However
,	,	,
when	when	when
it	it	it
comes	come	come
down	down	down
to	to	to
who	who	who
is	is	is
going	go	going
to	to	to
win	win	win
the	the	the
nomination	nomin	nomination
,	,	,
many	mani	many
voters	voter	voter
are	are	are
undoubtedly	undoubt	undoubtedly
going	go	going
to	to	to
be	be	be
disappointed	disappoint	disappointed
,	,	,
because	becaus	because
their	their	their
candidate	candid	candidate
was	was	wa
not	not	not
the	the	the
one	one	one
chosen	chosen	chosen
.	.	.
Yet	yet	Yet
,	,	,
those	those	those
voters	voter	voter
will	will	will
still	still	still
have	have	have
a	a	a
voice	voic	voice
,	,	,
a	a	a
voice	voic	voice
that	that	that
needs	need	need
to	to	to
be	be	be
heard	heard	heard
,	,	,
and	and	and
a	a	a
message	messag	message
that	that	that
needs	need	need
to	to	to
be	be	be
spread	spread	spread
far	far	far
and	and	and
wide	wide	wide
.	.	.
Hillary	hillari	Hillary
s	s	s
response	respons	response
was	was	wa
honest	honest	honest
,	,	,
clear	clear	clear
,	,	,
to	to	to
the	the	the
point	point	point
,	,	,
and	and	and
one	one	one
that	that	that
needs	need	need
to	to	to
be	be	be
heard	heard	heard
by	by	by
every	everi	every
progressive	progress	progressive
everywhere	everywher	everywhere
who	who	who
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
see	see	see
the	the	the
nation	nation	nation
fall	fall	fall
into	into	into
the	the	the
hands	hand	hand
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
She	she	She
said	said	said
I	i	I
m	m	m
three	three	three
million	million	million
votes	vote	vote
ahead	ahead	ahead
of	of	of
Senator	senat	Senator
Sanders	sander	Sanders
,	,	,
nearly	near	nearly
300	300	300
pledged	pledg	pledged
delegates	deleg	delegate
ahead	ahead	ahead
of	of	of
him	him	him
.	.	.
He	he	He
has	has	ha
to	to	to
make	make	make
his	his	his
own	own	own
mind	mind	mind
up	up	up
.	.	.
But	but	But
I	i	I
was	was	wa
very	veri	very
heartened	hearten	heartened
to	to	to
hear	hear	hear
him	him	him
say	say	say
last	last	last
