Many	mani	Many
people	peopl	people
were	were	were
wondering	wonder	wondering
why	whi	why
the	the	the
White	white	White
House	hous	House
was	was	wa
holding	hold	holding
back	back	back
on	on	on
calling	call	calling
out	out	out
the	the	the
congressional	congression	congressional
intelligence	intellig	intelligence
oversight	oversight	oversight
gang	gang	gang
-of-eight	-of-eight	-of-eight
regarding	regard	regarding
their	their	their
political	polit	political
unwillingness	unwilling	unwillingness
to	to	to
review	review	review
the	the	the
same	same	same
executive	execut	executive
intelligence	intellig	intelligence
previously	previous	previously
reviewed	review	reviewed
by	by	by
House	hous	House
Intelligence	intellig	Intelligence
Chairman	chairman	Chairman
Devin	devin	Devin
Nunes	nune	Nunes
.	.	.
Today	today	Today
,	,	,
you	you	you
just	just	just
got	got	got
the	the	the
answer	answer	answer
.	.	.
White	white	White
House	hous	House
Deputy	deputi	Deputy
Chief	chief	Chief
-of-Staff	-of-staff	-of-Staff
Katie	kati	Katie
Walsh	walsh	Walsh
was	was	wa
fired	fire	fired
today	today	today
immediately	immedi	immediately
following	follow	following
a	a	a
New	new	New
York	york	York
Times	time	Times
report	report	report
which	which	which
outed	out	outed
two	two	two
National	nation	National
Security	secur	Security
Council	council	Council
members	member	member
as	as	a
the	the	the
source	sourc	source
for	for	for
Devin	devin	Devin
Nunes	nune	Nunes
tip	tip	tip
to	to	to
review	review	review
a	a	a
specific	specif	specific
batch	batch	batch
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
executive	execut	executive
intelligence	intellig	intelligence
.	.	.

The	the	The
transparent	transpar	transparent
sequence	sequenc	sequence
of	of	of
events	event	event
reveals	reveal	reveals
that	that	that
Walsh	walsh	Walsh
was	was	wa
the	the	the
source	sourc	source
of	of	of
NYT	nyt	NYT
reporter	report	reporter
Maggie	maggi	Maggie
Haberman	haberman	Haberman
s	s	s
article	articl	article
;	;	;
Walsh	walsh	Walsh
and	and	and
Haberman	haberman	Haberman
are	are	are
friends	friend	friend
.	.	.
Breitbart	breitbart	Breitbart
Walsh	walsh	Walsh
is	is	is
a	a	a
close	close	close
ally	alli	ally
of	of	of
chief	chief	chief
of	of	of
staff	staff	staff
Reince	reinc	Reince
Priebus	priebus	Priebus
,	,	,
having	have	having
served	serv	served
as	as	a
his	his	his
chief	chief	chief
of	of	of
staff	staff	staff
at	at	at
the	the	the
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
.	.	.
Walsh	walsh	Walsh
previously	previous	previously
told	told	told
Breitbart	breitbart	Breitbart
News	news	News
in	in	in
an	an	an
exclusive	exclus	exclusive
interview	interview	interview
ahead	ahead	ahead
of	of	of
President	presid	President
Trump	trump	Trump
s	s	s
exclusive	exclus	exclusive
interview	interview	interview
with	with	with
Breitbart	breitbart	Breitbart
News	news	News
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
that	that	that
she	she	she
was	was	wa
in	in	in
charge	charg	charge
of	of	of
the	the	the
president	presid	president
s	s	s
schedule	schedul	schedule
,	,	,
and	and	and
coordinating	coordin	coordinating
the	the	the
activities	activ	activity
of	of	of
Trump	trump	Trump
s	s	s
unusual	unusu	unusual
circuit	circuit	circuit
of	of	of
senior	senior	senior
aides	aid	aide
like	like	like
Priebus	priebus	Priebus
,	,	,
chief	chief	chief
strategist	strategist	strategist
and	and	and
former	former	former
Breitbart	breitbart	Breitbart
News	news	News
executive	execut	executive
chairman	chairman	chairman
Stephen	stephen	Stephen
K	k	K
.	.	.

Bannon	bannon	Bannon
,	,	,
and	and	and
Trump	trump	Trump
son	son	son
-in-law	-in-law	-in-law
and	and	and
senior	senior	senior
adviser	advis	adviser
to	to	to
the	the	the
president	presid	president
Jared	jare	Jared
Kushner	kushner	Kushner
.	.	.
Walsh	walsh	Walsh
said	said	said
in	in	in
the	the	the
exclusive	exclus	exclusive
interview	interview	interview
with	with	with
Breitbart	breitbart	Breitbart
News	news	News
last	last	last
month	month	month
As	as	As
you	you	you
know	know	know
,	,	,
we	we	we
ve	ve	ve
got	got	got
a	a	a
lot	lot	lot
of	of	of
senior	senior	senior
folks	folk	folk
in	in	in
the	the	the
White	white	White
House	hous	House
who	who	who
have	have	have
a	a	a
great	great	great
ability	abil	ability
to	to	to
help	help	help
push	push	push
the	the	the
president	presid	president
s	s	s
agenda	agenda	agenda
and	and	and
message	messag	message
and	and	and
that	that	that
s	s	s
Reince	reinc	Reince
Priebus	priebus	Priebus
,	,	,
Steve	steve	Steve
Bannon	bannon	Bannon
,	,	,
Jared	jare	Jared
Kushner	kushner	Kushner
,	,	,
KellyAnne	kellyann	KellyAnne
Conway	conway	Conway
,	,	,
and	and	and
others	other	others
,	,	,
but	but	but
there	there	there
is	is	is
a	a	a
logistical	logist	logistical
piece	piec	piece
of	of	of
that	that	that
that	that	that
has	has	ha
to	to	to
get	get	get
implemented	implement	implemented
and	and	and
so	so	so
I	i	I
try	tri	try
and	and	and
help	help	help
with	with	with
that	that	that
.	.	.

So	so	So
I	i	I
try	tri	try
and	and	and
do	do	do
what	what	what
I	i	I
can	can	can
to	to	to
make	make	make
sure	sure	sure
the	the	the
right	right	right
hand	hand	hand
is	is	is
talking	talk	talking
to	to	to
the	the	the
left	left	left
hand	hand	hand
and	and	and
everyone	everyon	everyone
knows	know	know
what	what	what
everyone	everyon	everyone
is	is	is
doing	do	doing
,	,	,
and	and	and
there	there	there
is	is	is
a	a	a
cohesive	cohes	cohesive
operation	oper	operation
or	or	or
effort	effort	effort
to	to	to
make	make	make
sure	sure	sure
,	,	,
whatever	whatev	whatever
we	we	we
re	re	re
doing	do	doing
,	,	,
that	that	that
nothing	noth	nothing
happens	happen	happens
in	in	in
a	a	a
silo	silo	silo
if	if	if
you	you	you
will	will	will
.	.	.

So	so	So
even	even	even
if	if	if
Reince	reinc	Reince
is	is	is
with	with	with
the	the	the
president	presid	president
working	work	working
on	on	on
something	someth	something
,	,	,
and	and	and
Jared	jare	Jared
is	is	is
working	work	working
on	on	on
an	an	an
issue	issu	issue
related	relat	related
to	to	to
trade	trade	trade
,	,	,
and	and	and
Steve	steve	Steve
is	is	is
working	work	working
on	on	on
an	an	an
issue	issu	issue
related	relat	related
to	to	to
immigration	immigr	immigration
or	or	or
something	someth	something
,	,	,
we	we	we
try	tri	try
and	and	and
make	make	make
sure	sure	sure
everyone	everyon	everyone
is	is	is
still	still	still
on	on	on
the	the	the
same	same	same
page	page	page
and	and	and
working	work	working
together	togeth	together
and	and	and
moving	move	moving
together	togeth	together
as	as	a
fast	fast	fast
as	as	a
we	we	we
can	can	can
.	.	.
But	but	But
rumors	rumor	rumor
surfaced	surfac	surfaced
online	onlin	online
that	that	that
Walsh	walsh	Walsh
was	was	wa
leaking	leak	leaking
information	inform	information
about	about	about
the	the	the
White	white	White
House	hous	House
.	.	.

Everyone	everyon	Everyone
knows	know	know
not	not	not
to	to	to
talk	talk	talk
to	to	to
her	her	her
in	in	in
the	the	the
White	white	White
House	hous	House
unless	unless	unless
you	you	you
want	want	want
to	to	to
see	see	see
it	it	it
in	in	in
the	the	the
press	press	press
,	,	,
Got	got	Got
News	news	News
editor	editor	editor
Charles	charl	Charles
Johnson	johnson	Johnson
quoted	quot	quoted
a	a	a
source	sourc	source
close	close	close
to	to	to
the	the	the
president	presid	president
as	as	a
saying	say	saying
in	in	in
February	februari	February
.	.	.

The	the	The
only	onli	only
question	question	question
is	is	is
whether	whether	whether
or	or	or
not	not	not
she	she	she
s	s	s
doing	do	doing
it	it	it
at	at	at
the	the	the
behest	behest	behest
of	of	of
White	white	White
House	hous	House
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Reince	reinc	Reince
Priebus	priebus	Priebus
or	or	or
if	if	if
she	she	she
s	s	s
doing	do	doing
it	it	it
to	to	to
advance	advanc	advance
herself	herself	herself
in	in	in
DC	dc	DC
media	media	medium
circles	circl	circle
.	.	.

And	and	And
with	with	with
the	the	the
White	white	White
House	hous	House
Leaker	leaker	Leaker
now	now	now
identified	identifi	identified
and	and	and
fired	fire	fired
,	,	,
the	the	the
White	white	White
House	hous	House
challenges	challeng	challenge
the	the	the
congressional	congression	congressional
intelligence	intellig	intelligence
committee	committe	committee
leaders	leader	leader
,	,	,
four	four	four
members	member	member
of	of	of
the	the	the
oversight	oversight	oversight
gang	gang	gang
-of-eight	-of-eight	-of-eight
,	,	,
to	to	to
come	come	come
and	and	and
review	review	review
the	the	the
Obama	obama	Obama
intelligence	intellig	intelligence
report	report	report
.	.	.

That	that	That
review	review	review
request	request	request
paints	paint	paint
Intel	intel	Intel
Committee	committe	Committee
Ranking	rank	Ranking
Member	member	Member
Adam	adam	Adam
Schiff	schiff	Schiff
,	,	,
and	and	and
Senate	senat	Senate
Intelligence	intellig	Intelligence
Committee	committe	Committee
Vice	vice	Vice
-Chair	-chair	-Chair
Senator	senat	Senator
Mark	mark	Mark
Warner	warner	Warner
into	into	into
a	a	a
corner	corner	corner
.	.	.
President	presid	President
Trump	trump	Trump
is	is	is
now	now	now
