Mark	mark	Mark
Wahlberg	wahlberg	Wahlberg
has	has	ha
been	been	been
a	a	a
rapper	rapper	rapper
.	.	.
He	he	He
appeared	appear	appeared
shirtless	shirtless	shirtless
and	and	and
grinning	grin	grinning
on	on	on
a	a	a
40	40	40
-foot	-foot	-foot
billboard	billboard	billboard
in	in	in
Times	time	Times
Square	squar	Square
.	.	.
He	he	He
launched	launch	launched
his	his	his
own	own	own
burger	burger	burger
chain	chain	chain
.	.	.
And	and	And
he	he	he
starred	star	starred
in	in	in
some	some	some
of	of	of
the	the	the
greatest	greatest	greatest
movies	movi	movie
ever	ever	ever
made	made	made
,	,	,
including	includ	including
Boogie	boogi	Boogie
Nights	night	Nights
,	,	,
Three	three	Three
Kings	king	Kings
,	,	,
The	the	The
Departed	depart	Departed
,	,	,
and	and	and
Lone	lone	Lone
Survivor	survivor	Survivor
.	.	.
Wahlberg	wahlberg	Wahlberg
went	went	went
on	on	on
an	an	an
emotional	emot	emotional
tear	tear	tear
,	,	,
evincing	evinc	evincing
a	a	a
raw	raw	raw
and	and	and
heartfelt	heartfelt	heartfelt
respect	respect	respect
for	for	for
the	the	the
real	real	real
sacrifice	sacrific	sacrifice
he	he	he
d	d	d
portrayed	portray	portrayed
in	in	in
Lone	lone	Lone
Survivor	survivor	Survivor
.	.	.
He	he	He
said	said	said
he	he	he
had	had	had
no	no	no
respect	respect	respect
for	for	for
anyone	anyon	anyone
who	who	who
might	might	might
suggest	suggest	suggest
that	that	that
filmmaking	filmmak	filmmaking
comes	come	come
close	close	close
to	to	to
its	it	it
degree	degre	degree
of	of	of
difficulty	difficulti	difficulty
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
it	it	it
just	just	just
hit	hit	hit
me	me	me
in	in	in
a	a	a
way	way	way
that	that	that
uh	uh	uh
I	i	I
don	don	don
t	t	t
know	know	know
,	,	,
it	it	it
just	just	just
really	realli	really
upset	upset	upset
me	me	me
that	that	that
those	those	those
guys	guy	guy
were	were	were
never	never	never
gonna	gonna	gonna
see	see	see
their	their	their
families	famili	family
again	again	again
.	.	.
For	for	For
actors	actor	actor
to	to	to
sit	sit	sit
there	there	there
and	and	and
talk	talk	talk
about	about	about
Oh	oh	Oh
I	i	I
went	went	went
to	to	to
SEAL	seal	SEAL
training	train	training
,	,	,
and	and	and
I	i	I
slept	slept	slept
on	on	on
the	the	the
I	i	I
don	don	don
t	t	t
give	give	give
a	a	a
fuck	fuck	fuck
what	what	what
you	you	you
did	did	did
.	.	.
You	you	You
don	don	don
t	t	t
do	do	do
what	what	what
these	these	these
guys	guy	guy
did	did	did
.	.	.
For	for	For
somebody	somebodi	somebody
to	to	to
sit	sit	sit
there	there	there
and	and	and
say	say	say
my	my	my
job	job	job
was	was	wa
as	as	a
difficult	difficult	difficult
as	as	a
somebody	somebodi	somebody
in	in	in
the	the	the
military	militari	military
s	s	s
.	.	.
How	how	How
fucking	fuck	fucking
dare	dare	dare
you	you	you
.	.	.
While	while	While
you	you	you
sit	sit	sit
in	in	in
a	a	a
makeup	makeup	makeup
chair	chair	chair
for	for	for
two	two	two
hours	hour	hour
.	.	.
Don	don	Don
t	t	t
expect	expect	expect
Wahlberg	wahlberg	Wahlberg
to	to	to
opine	opin	opine
on	on	on
politics	polit	politics
.	.	.
A	a	A
lot	lot	lot
of	of	of
celebrities	celebr	celebrity
did	did	did
,	,	,
do	do	do
,	,	,
and	and	and
shouldn	shouldn	shouldn
t	t	t
,	,	,
he	he	he
told	told	told
Task	task	Task
Purpose	purpos	Purpose
last	last	last
week	week	week
,	,	,
at	at	at
a	a	a
swanky	swanki	swanky
luncheon	luncheon	luncheon
in	in	in
New	new	New
York	york	York
,	,	,
held	held	held
on	on	on
behalf	behalf	behalf
of	of	of
his	his	his
upcoming	upcom	upcoming
film	film	film
Patriots	patriot	Patriots
Day	day	Day
.	.	.
We	we	We
were	were	were
talking	talk	talking
about	about	about
the	the	the
parade	parad	parade
of	of	of
actors	actor	actor
and	and	and
musicians	musician	musician
who	who	who
lined	line	lined
up	up	up
to	to	to
denounce	denounc	denounce
Donald	donald	Donald
Trump	trump	Trump
in	in	in
the	the	the
months	month	month
and	and	and
weeks	week	week
leading	lead	leading
up	up	up
to	to	to
Election	elect	Election
Day	day	Day
.	.	.
A	a	A
lot	lot	lot
of	of	of
Hollywood	hollywood	Hollywood
is	is	is
living	live	living
in	in	in
a	a	a
bubble	bubbl	bubble
.	.	.
They	they	They
re	re	re
pretty	pretti	pretty
out	out	out
of	of	of
touch	touch	touch
with	with	with
the	the	the
common	common	common
person	person	person
,	,	,
the	the	the
everyday	everyday	everyday
guy	guy	guy
out	out	out
there	there	there
providing	provid	providing
for	for	for
their	their	their
family	famili	family
.	.	.
You	you	You
know	know	know
,	,	,
it	it	it
just	just	just
goes	goe	go
to	to	to
show	show	show
you	you	you
that	that	that
people	peopl	people
aren	aren	aren
t	t	t
listening	listen	listening
to	to	to
that	that	that
anyway	anyway	anyway
,	,	,
he	he	he
continued	continu	continued
.	.	.
They	they	They
might	might	might
buy	buy	buy
your	your	your
CD	cd	CD
or	or	or
watch	watch	watch
your	your	your
movie	movi	movie
,	,	,
but	but	but
you	you	you
don	don	don
t	t	t
put	put	put
food	food	food
on	on	on
their	their	their
table	tabl	table
.	.	.
You	you	You
don	don	don
t	t	t
pay	pay	pay
their	their	their
bills	bill	bill
.	.	.
A	a	A
lot	lot	lot
of	of	of
Hollywood	hollywood	Hollywood
is	is	is
living	live	living
in	in	in
a	a	a
bubble	bubbl	bubble
.	.	.
They	they	They
re	re	re
pretty	pretti	pretty
out	out	out
of	of	of
touch	touch	touch
with	with	with
the	the	the
common	common	common
person	person	person
,	,	,
the	the	the
everyday	everyday	everyday
guy	guy	guy
out	out	out
there	there	there
providing	provid	providing
for	for	for
their	their	their
family	famili	family
.	.	.
Read	read	Read
more	more	more
Task	task	Task
and	and	and
Purpose	purpos	Purpose
