Using	use	Using
a	a	a
pimp	pimp	pimp
for	for	for
pedophiles	pedophil	pedophile
as	as	a
a	a	a
witness	wit	witness
is	is	is
something	someth	something
only	onli	only
a	a	a
sleazy	sleazi	sleazy
and	and	and
desperate	desper	desperate
lawyer	lawyer	lawyer
would	would	would
do	do	do
.	.	.
But	but	But
former	former	former
NYC	nyc	NYC
mayor	mayor	mayor
and	and	and
Trump	trump	Trump
supporter	support	supporter
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
did	did	did
it	it	it
anyway	anyway	anyway
during	dure	during
an	an	an
appearance	appear	appearance
on	on	on
CNN	cnn	CNN
to	to	to
defend	defend	defend
Donald	donald	Donald
Trump	trump	Trump
against	against	against
accusations	accus	accusation
of	of	of
sexual	sexual	sexual
assault	assault	assault
and	and	and
Jake	jake	Jake
Tapper	tapper	Tapper
was	was	wa
quick	quick	quick
to	to	to
burn	burn	burn
him	him	him
for	for	for
it	it	it
.	.	.
From	from	From
the	the	the
start	start	start
,	,	,
it	it	it
was	was	wa
clear	clear	clear
that	that	that
Giuliani	giuliani	Giuliani
is	is	is
a	a	a
hypocrite	hypocrit	hypocrite
because	becaus	because
while	while	while
he	he	he
absolutely	absolut	absolutely
believes	believ	belief
the	the	the
women	women	woman
who	who	who
have	have	have
accused	accus	accused
Bill	bill	Bill
Clinton	clinton	Clinton
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
,	,	,
he	he	he
refuses	refus	refuse
to	to	to
believe	believ	believe
the	the	the
women	women	woman
who	who	who
have	have	have
come	come	come
forward	forward	forward
to	to	to
say	say	say
the	the	the
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
sexually	sexual	sexually
assaulted	assault	assaulted
them	them	them
.	.	.
So	so	So
far	far	far
,	,	,
nine	nine	nine
women	women	woman
made	made	made
such	such	such
claims	claim	claim
about	about	about
Trump	trump	Trump
.	.	.
But	but	But
Giuliani	giuliani	Giuliani
thinks	think	think
they	they	they
are	are	are
all	all	all
liars	liar	liar
.	.	.
Do	do	Do
you	you	you
believe	believ	believe
every	everi	every
one	one	one
of	of	of
these	these	these
women	women	woman
is	is	is
lying	lie	lying
?	?	?
Tapper	tapper	Tapper
asked	ask	asked
.	.	.
No	no	No
,	,	,
I	i	I
believe	believ	believe
my	my	my
friend	friend	friend
Donald	donald	Donald
Trump	trump	Trump
when	when	when
he	he	he
tells	tell	tell
me	me	me
he	he	he
didn	didn	didn
t	t	t
do	do	do
it	it	it
,	,	,
Giuliani	giuliani	Giuliani
replied	repli	replied
.	.	.
I	i	I
ve	ve	ve
never	never	never
seen	seen	seen
him	him	him
do	do	do
anything	anyth	anything
like	like	like
that	that	that
.	.	.
Well	well	Well
,	,	,
of	of	of
course	cours	course
you	you	you
haven	haven	haven
t	t	t
,	,	,
Rudy	rudi	Rudy
.	.	.
You	you	You
ve	ve	ve
only	onli	only
been	been	been
kissing	kiss	kissing
Trump	trump	Trump
s	s	s
ass	ass	as
since	sinc	since
April	april	April
.	.	.
Trump	trump	Trump
has	has	ha
been	been	been
groping	grope	groping
women	women	woman
for	for	for
decades	decad	decade
as	as	a
a	a	a
private	privat	private
citizen	citizen	citizen
.	.	.
Giuliani	giuliani	Giuliani
then	then	then
conceded	conced	conceded
that	that	that
he	he	he
hasn	hasn	hasn
t	t	t
investigated	investig	investigated
the	the	the
women	women	woman
s	s	s
claims	claim	claim
but	but	but
he	he	he
attacked	attack	attacked
Jessica	jessica	Jessica
Leeds	leed	Leeds
in	in	in
particularly	particular	particularly
by	by	by
bringing	bring	bringing
up	up	up
an	an	an
alleged	alleg	alleged
witness	wit	witness
to	to	to
the	the	the
alleged	alleg	alleged
groping	grope	groping
on	on	on
an	an	an
airplane	airplan	airplane
in	in	in
the	the	the
1980s	1980s	1980s
.	.	.
There	there	There
is	is	is
an	an	an
independent	independ	independent
witness	wit	witness
who	who	who
says	say	say
it	it	it
s	s	s
not	not	not
true	true	true
,	,	,
Giuliani	giuliani	Giuliani
declared	declar	declared
triumphantly	triumphant	triumphantly
.	.	.
