Usually	usual	Usually
,	,	,
Donald	donald	Donald
Trump	trump	Trump
spokesperson	spokesperson	spokesperson
Katrina	katrina	Katrina
Pierson	pierson	Pierson
can	can	can
find	find	find
sanctuary	sanctuari	sanctuary
with	with	with
the	the	the
ever	ever	ever
-conservative	-conserv	-conservative
leaning	lean	leaning
Fox	fox	Fox
News	news	News
,	,	,
but	but	but
that	that	that
didn	didn	didn
t	t	t
seem	seem	seem
to	to	to
be	be	be
the	the	the
case	case	case
for	for	for
her	her	her
on	on	on
Sunday	sunday	Sunday
while	while	while
being	be	being
interviewed	interview	interviewed
by	by	by
Arthel	arthel	Arthel
Neville	nevill	Neville
.	.	.
Shortly	short	Shortly
after	after	after
claiming	claim	claiming
that	that	that
it	it	it
was	was	wa
President	presid	President
Obama	obama	Obama
who	who	who
went	went	went
into	into	into
Afghanistan	afghanistan	Afghanistan
with	with	with
her	her	her
own	own	own
make	make	make
-believe	-believ	-believe
version	version	version
of	of	of
facts	fact	fact
and	and	and
history	histori	history
,	,	,
Pierson	pierson	Pierson
went	went	went
on	on	on
Fox	fox	Fox
News	news	News
to	to	to
talk	talk	talk
about	about	about
Trump	trump	Trump
s	s	s
lack	lack	lack
of	of	of
tax	tax	tax
returns	return	return
.	.	.
Something	someth	Something
that	that	that
s	s	s
been	been	been
asked	ask	asked
of	of	of
every	everi	every
presidential	presidenti	presidential
candidate	candid	candidate
for	for	for
decades	decad	decade
.	.	.
Neville	nevill	Neville
said	said	said
As	as	As
you	you	you
know	know	know
,	,	,
Katrina	katrina	Katrina
,	,	,
presidential	presidenti	presidential
candidates	candid	candidate
have	have	have
consistently	consist	consistently
released	releas	released
their	their	their
tax	tax	tax
returns	return	return
since	sinc	since
the	the	the
70s	70s	70
.	.	.
And	and	And
you	you	you
also	also	also
know	know	know
there	there	there
is	is	is
no	no	no
existing	exist	existing
law	law	law
barring	bar	barring
people	peopl	people
from	from	from
releasing	releas	releasing
their	their	their
tax	tax	tax
returns	return	return
during	dure	during
an	an	an
audit	audit	audit
.	.	.
So	so	So
the	the	the
question	question	question
is	is	is
that	that	that
everyone	everyon	everyone
wants	want	want
to	to	to
know	know	know
,	,	,
why	whi	why
won	won	won
t	t	t
Mr	mr	Mr
.	.	.
Trump	trump	Trump
release	releas	release
his	his	his
tax	tax	tax
returns	return	return
?	?	?
And	and	And
can	can	can
you	you	you
answer	answer	answer
the	the	the
implications	implic	implication
that	that	that
he	he	he
s	s	s
hiding	hide	hiding
something	someth	something
?	?	?
All	all	All
very	veri	very
good	good	good
questions	question	question
.	.	.
Yet	yet	Yet
,	,	,
cue	cue	cue
the	the	the
denial	denial	denial
and	and	and
excuses	excus	excuse
from	from	from
Pierson	pierson	Pierson
,	,	,
who	who	who
replied	repli	replied
This	this	This
really	realli	really
has	has	ha
become	becom	become
much	much	much
of	of	of
a	a	a
novelty	novelti	novelty
in	in	in
presidential	presidenti	presidential
campaigns	campaign	campaign
.	.	.
A	a	A
novelty	novelti	novelty
?	?	?
!	!	!
Even	even	Even
a	a	a
Fox	fox	Fox
News	news	News
host	host	host
couldn	couldn	couldn
t	t	t
let	let	let
Pierson	pierson	Pierson
get	get	get
away	away	away
with	with	with
such	such	such
a	a	a
ludicrous	ludicr	ludicrous
statement	statement	statement
as	as	a
that	that	that
.	.	.
All	all	All
candidates	candid	candidate
have	have	have
been	been	been
releasing	releas	releasing
their	their	their
returns	return	return
,	,	,
no	no	no
matter	matter	matter
the	the	the
party	parti	party
.	.	.
Trump	trump	Trump
not	not	not
releasing	releas	releasing
his	his	his
returns	return	return
is	is	is
clearly	clear	clearly
indicative	indic	indicative
that	that	that
he	he	he
has	has	ha
something	someth	something
in	in	in
which	which	which
he	he	he
is	is	is
trying	tri	trying
to	to	to
prevent	prevent	prevent
the	the	the
public	public	public
from	from	from
seeing	see	seeing
.	.	.
Pierson	pierson	Pierson
keeps	keep	keep
going	go	going
back	back	back
and	and	and
forth	forth	forth
with	with	with
Neville	nevill	Neville
even	even	even
trying	tri	trying
to	to	to
say	say	say
that	that	that
the	the	the
media	media	medium
is	is	is
bullying	bulli	bullying
poor	poor	poor
tiny	tini	tiny
-handed	-hand	-handed
Trump	trump	Trump
into	into	into
releasing	releas	releasing
his	his	his
returns	return	return
.	.	.
However	howev	However
,	,	,
the	the	the
Fox	fox	Fox
host	host	host
wasn	wasn	wasn
t	t	t
having	have	having
it	it	it
,	,	,
and	and	and
told	told	told
her	her	her
Katrina	katrina	Katrina
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
keep	keep	keep
going	go	going
on	on	on
this	this	this
because	becaus	because
people	peopl	people
want	want	want
to	to	to
know	know	know
.	.	.
It	it	It
s	s	s
not	not	not
about	about	about
a	a	a
gotcha	gotcha	gotcha
with	with	with
Mr	mr	Mr
.	.	.
Trump	trump	Trump
.	.	.
Again	again	Again
,	,	,
he	he	he
is	is	is
a	a	a
successful	success	successful
businessman	businessman	businessman
that	that	that
he	he	he
been	been	been
touting	tout	touting
to	to	to
us	us	u
this	this	this
entire	entir	entire
campaign	campaign	campaign
.	.	.
That	that	That
is	is	is
why	whi	why
they	they	they
want	want	want
to	to	to
see	see	see
.	.	.
Why	whi	Why
are	are	are
you	you	you
saying	say	saying
that	that	that
it	it	it
s	s	s
some	some	some
sort	sort	sort
of	of	of
corruption	corrupt	corruption
or	or	or
some	some	some
sort	sort	sort
of	of	of
campaign	campaign	campaign
that	that	that
people	peopl	people
are	are	are
including	includ	including
the	the	the
media	media	medium
are	are	are
out	out	out
to	to	to
get	get	get
him	him	him
?	?	?
That	that	That
is	is	is
not	not	not
the	the	the
case	case	case
.	.	.
He	he	He
s	s	s
running	run	running
for	for	for
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
.	.	.
Show	show	Show
your	your	your
tax	tax	tax
returns	return	return
.	.	.
It	it	It
s	s	s
that	that	that
simple	simpl	simple
.	.	.
And	and	And
BOOM	boom	BOOM
went	went	went
the	the	the
dynamite	dynamit	dynamite
.	.	.
Well	well	Well
done	done	done
,	,	,
Neville	nevill	Neville
.	.	.
Well	well	Well
done	done	done
.	.	.
Pierson	pierson	Pierson
then	then	then
flounders	flounder	flounder
for	for	for
a	a	a
few	few	few
more	more	more
minutes	minut	minute
,	,	,
but	but	but
there	there	there
s	s	s
no	no	no
trying	tri	trying
to	to	to
convince	convinc	convince
people	peopl	people
at	at	at
this	this	this
point	point	point
that	that	that
Trump	trump	Trump
should	should	should
get	get	get
a	a	a
free	free	free
pass	pass	pas
on	on	on
not	not	not
releasing	releas	releasing
his	his	his
returns	return	return
just	just	just
like	like	like
everyone	everyon	everyone
else	els	else
to	to	to
show	show	show
true	true	true
transparency	transpar	transparency
.	.	.
Watch	watch	Watch
the	the	the
segment	segment	segment
here	here	here
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
HT	ht	HT
Raw	raw	Raw
Story	stori	Story
