Dear	dear	Dear
EU	eu	EU
government	govern	government
Yes	yes	Yes
The	the	The
majority	major	majority
of	of	of
Americans	american	Americans
would	would	would
agree	agre	agree
,	,	,
Obama	obama	Obama
is	is	is
mentally	mental	mentally
unstable	unstabl	unstable
and	and	and
yes	yes	yes
,	,	,
he	he	he
needs	need	need
to	to	to
be	be	be
impeached	impeach	impeached
and	and	and
removed	remov	removed
from	from	from
office	offic	office
A	a	A
senior	senior	senior
diplomat	diplomat	diplomat
with	with	with
a	a	a
European	european	European
Union	union	Union
government	govern	government
allegedly	alleg	allegedly
told	told	told
former	former	former
NSA	nsa	NSA
intelligence	intellig	intelligence
analyst	analyst	analyst
and	and	and
counterintelligence	counterintellig	counterintelligence
officer	offic	officer
and	and	and
Daily	daili	Daily
Beast	beast	Beast
columnist	columnist	columnist
John	john	John
Schindler	schindler	Schindler
that	that	that
his	his	his
her	her	her
government	govern	government
believes	believ	belief
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
is	is	is
quite	quit	quite
mentally	mental	mentally
unwell	unwel	unwell
and	and	and
inquired	inquir	inquired
about	about	about
impeachment	impeach	impeachment
an	an	an
apparent	appar	apparent
suggestion	suggest	suggestion
that	that	that
his	his	his
her	her	her
government	govern	government
believes	believ	belief
Obama	obama	Obama
is	is	is
unfit	unfit	unfit
to	to	to
serve	serv	serve
as	as	a
president	presid	president
and	and	and
should	should	should
be	be	be
removed	remov	removed
from	from	from
office	offic	office
according	accord	according
to	to	to
a	a	a
tweet	tweet	tweet
by	by	by
Schindler	schindler	Schindler
posted	post	posted
Monday	monday	Monday
.	.	.
Had	had	Had
a	a	a
senior	senior	senior
EU	eu	EU
diplomat	diplomat	diplomat
,	,	,
old	old	old
friend	friend	friend
,	,	,
ask	ask	ask
me	me	me
today	today	today
,	,	,
How	how	How
does	doe	doe
your	your	your
impeachment	impeach	impeachment
work	work	work
?	?	?
My	my	My
government	govern	government
believes	believ	belief
Obama	obama	Obama
is	is	is
quite	quit	quite
mentally	mental	mentally
unwell	unwel	unwell
.	.	.
Had	had	Had
a	a	a
senior	senior	senior
EU	eu	EU
diplomat	diplomat	diplomat
,	,	,
old	old	old
friend	friend	friend
,	,	,
ask	ask	ask
me	me	me
today	today	today
,	,	,
How	how	How
does	doe	doe
your	your	your
impeachment	impeach	impeachment
work	work	work
?	?	?
My	my	My
government	govern	government
believes	believ	belief
Obama	obama	Obama
is	is	is
quite	quit	quite
mentally	mental	mentally
unwell	unwel	unwell
.	.	.
John	john	John
Schindler	schindler	Schindler
@20committee	@20committe	@20committee
October	octob	October
12	12	12
,	,	,
2015What	2015what	2015What
is	is	is
striking	strike	striking
is	is	is
that	that	that
the	the	the
senior	senior	senior
EU	eu	EU
diplomat	diplomat	diplomat
said	said	said
it	it	it
was	was	wa
the	the	the
opinion	opinion	opinion
of	of	of
his	his	his
her	her	her
government	govern	government
,	,	,
not	not	not
his	his	his
her	her	her
personal	person	personal
opinion	opinion	opinion
,	,	,
that	that	that
Obama	obama	Obama
was	was	wa
considered	consid	considered
a	a	a
candidate	candid	candidate
for	for	for
removal	remov	removal
from	from	from
office	offic	office
for	for	for
insanity	insan	insanity
.	.	.
The	the	The
European	european	European
Union	union	Union
Web	web	Web
site	site	site
lists	list	list
the	the	the
following	follow	following
countries	countri	country
as	as	a
members	member	member
.	.	.
One	one	One
of	of	of
these	these	these
nations	nation	nation
apparently	appar	apparently
believes	believ	belief
Obama	obama	Obama
is	is	is
quite	quit	quite
mentally	mental	mentally
unwell	unwel	unwell
Austria	austria	Austria
,	,	,
Belgium	belgium	Belgium
,	,	,
Bulgaria	bulgaria	Bulgaria
,	,	,
Cyprus	cyprus	Cyprus
,	,	,
Croatia	croatia	Croatia
,	,	,
Czech	czech	Czech
Republic	republ	Republic
,	,	,
Denmark	denmark	Denmark
,	,	,
Estonia	estonia	Estonia
,	,	,
Finland	finland	Finland
,	,	,
France	franc	France
,	,	,
Germany	germani	Germany
,	,	,
Greece	greec	Greece
,	,	,
Hungary	hungari	Hungary
,	,	,
Ireland	ireland	Ireland
,	,	,
Italy	itali	Italy
,	,	,
Latvia	latvia	Latvia
,	,	,
Lithuania	lithuania	Lithuania
,	,	,
Luxembourg	luxembourg	Luxembourg
,	,	,
Malta	malta	Malta
,	,	,
Netherlands	netherland	Netherlands
,	,	,
Poland	poland	Poland
,	,	,
Portugal	portug	Portugal
,	,	,
Romania	romania	Romania
,	,	,
Slovakia	slovakia	Slovakia
,	,	,
Slovenia	slovenia	Slovenia
,	,	,
Spain	spain	Spain
,	,	,
Sweden	sweden	Sweden
and	and	and
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
.	.	.
The	the	The
constitutionally	constitut	constitutionally
mandated	mandat	mandated
process	process	process
for	for	for
removing	remov	removing
Obama	obama	Obama
from	from	from
office	offic	office
over	over	over
mental	mental	mental
health	health	health
issues	issu	issue
would	would	would
be	be	be
to	to	to
invoke	invok	invoke
Section	section	Section
4	4	4
of	of	of
the	the	the
Twenty	twenti	Twenty
-Fifth	-fifth	-Fifth
Amendment	amend	Amendment
.	.	.
Whenever	whenev	Whenever
the	the	the
Vice	vice	Vice
President	presid	President
and	and	and
a	a	a
majority	major	majority
of	of	of
either	either	either
the	the	the
principal	princip	principal
officers	offic	officer
of	of	of
the	the	the
executive	execut	executive
departments	depart	department
or	or	or
of	of	of
such	such	such
other	other	other
body	bodi	body
as	as	a
Congress	congress	Congress
may	may	may
by	by	by
law	law	law
provide	provid	provide
,	,	,
transmit	transmit	transmit
to	to	to
the	the	the
President	presid	President
pro	pro	pro
tempore	tempor	tempore
of	of	of
the	the	the
Senate	senat	Senate
and	and	and
the	the	the
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
their	their	their
written	written	written
declaration	declar	declaration
that	that	that
the	the	the
President	presid	President
is	is	is
unable	unabl	unable
to	to	to
discharge	discharg	discharge
the	the	the
powers	power	power
and	and	and
duties	duti	duty
of	of	of
his	his	his
office	offic	office
,	,	,
the	the	the
Vice	vice	Vice
President	presid	President
shall	shall	shall
immediately	immedi	immediately
assume	assum	assume
the	the	the
powers	power	power
and	and	and
duties	duti	duty
of	of	of
the	the	the
