Earlier	earlier	Earlier
this	this	this
week	week	week
,	,	,
following	follow	following
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
stunning	stun	stunning
defeat	defeat	defeat
during	dure	during
the	the	the
New	new	New
Hampshire	hampshir	Hampshire
primaries	primari	primary
,	,	,
it	it	it
was	was	wa
widely	wide	widely
reported	report	reported
that	that	that
the	the	the
Congressional	congression	Congressional
Black	black	Black
Caucus	caucus	Caucus
PAC	pac	PAC
had	had	had
endorsed	endors	endorsed
the	the	the
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.
Lost	lost	Lost
in	in	in
the	the	the
media	media	medium
coverage	coverag	coverage
was	was	wa
an	an	an
important	import	important
distinction	distinct	distinction
between	between	between
the	the	the
Congressional	congression	Congressional
Black	black	Black
Caucus	caucus	Caucus
CBC	cbc	CBC
,	,	,
made	made	made
up	up	up
of	of	of
48	48	48
elected	elect	elected
officials	offici	official
,	,	,
and	and	and
the	the	the
political	polit	political
action	action	action
committee	committe	committee
PAC	pac	PAC
that	that	that
actually	actual	actually
endorsed	endors	endorsed
Clinton	clinton	Clinton
.	.	.
On	on	On
February	februari	February
11	11	11
,	,	,
Minnesota	minnesota	Minnesota
Congressman	congressman	Congressman
Keith	keith	Keith
Ellison	ellison	Ellison
,	,	,
one	one	one
of	of	of
the	the	the
48	48	48
members	member	member
of	of	of
the	the	the
CBC	cbc	CBC
,	,	,
posted	post	posted
on	on	on
Twitter	twitter	Twitter
.	.	.
Cong	cong	Cong
l	l	l
Black	black	Black
Caucus	caucus	Caucus
CBC	cbc	CBC
has	has	ha
NOT	not	NOT
endorsed	endors	endorsed
in	in	in
presidential	presidenti	presidential
.	.	.

Separate	separ	Separate
CBCPAC	cbcpac	CBCPAC
endorsed	endors	endorsed
withOUT	without	withOUT
input	input	input
from	from	from
CBC	cbc	CBC
membership	membership	membership
,	,	,
including	includ	including
me	me	me
.	.	.

Rep	rep	Rep
.	.	.

Keith	keith	Keith
Ellison	ellison	Ellison
@keithellison	@keithellison	@keithellison
February	februari	February
11	11	11
,	,	,
2016Indeed	2016inde	2016Indeed
,	,	,
the	the	the
CBC	cbc	CBC
PAC	pac	PAC
not	not	not
only	onli	only
does	doe	doe
not	not	not
speak	speak	speak
for	for	for
the	the	the
48	48	48
elected	elect	elected
members	member	member
of	of	of
Congress	congress	Congress
,	,	,
it	it	it
turns	turn	turn
out	out	out
the	the	the
committee	committe	committee
s	s	s
board	board	board
is	is	is
made	made	made
up	up	up
primarily	primarili	primarily
of	of	of
lobbyists	lobbyist	lobbyist
.	.	.
As	as	As
reported	report	reported
by	by	by
The	the	The
Intercept	intercept	Intercept
,	,	,
members	member	member
of	of	of
the	the	the
PAC	pac	PAC
s	s	s
board	board	board
include	includ	include
eleven	eleven	eleven
lobbyists	lobbyist	lobbyist
,	,	,
two	two	two
PAC	pac	PAC
managers	manag	manager
,	,	,
and	and	and
only	onli	only
seven	seven	seven
elected	elect	elected
officials	offici	official
.	.	.
Board	board	Board
members	member	member
include	includ	include
According	accord	According
the	the	the
PAC	pac	PAC
s	s	s
website	websit	website
,	,	,
other	other	other
board	board	board
members	member	member
include	includ	include
The	the	The
Intercept	intercept	Intercept
also	also	also
reports	report	report
A	a	A
significant	signific	significant
percentage	percentag	percentage
of	of	of
the	the	the
7	7	7
,	,	,
000	000	000
raised	rais	raised
this	this	this
cycle	cycl	cycle
by	by	by
the	the	the
CBC	cbc	CBC
PAC	pac	PAC
was	was	wa
donated	donat	donated
by	by	by
white	white	white
lobbyists	lobbyist	lobbyist
,	,	,
including	includ	including
Vic	vic	Vic
Fazio	fazio	Fazio
,	,	,
who	who	who
represents	repres	represents
Philip	philip	Philip
Morris	morri	Morris
and	and	and
served	serv	served
for	for	for
years	year	year
as	as	a
a	a	a
lobbyist	lobbyist	lobbyist
to	to	to
Corrections	correct	Corrections
Corporation	corpor	Corporation
of	of	of
America	america	America
,	,	,
and	and	and
David	david	David
Adams	adam	Adams
,	,	,
a	a	a
former	former	former
Clinton	clinton	Clinton
aide	aid	aide
who	who	who
now	now	now
lobbies	lobbi	lobby
for	for	for
Wal	wal	Wal
-Mart	-mart	-Mart
,	,	,
the	the	the
largest	largest	largest
gun	gun	gun
distributor	distributor	distributor
in	in	in
America	america	America
.	.	.
The	the	The
CBC	cbc	CBC
PAC	pac	PAC
has	has	ha
refused	refus	refused
to	to	to
disclose	disclos	disclose
the	the	the
process	process	process
behind	behind	behind
the	the	the
Clinton	clinton	Clinton
endorsement	endors	endorsement
,	,	,
saying	say	saying
only	onli	only
that	that	that
it	it	it
came	came	came
about	about	about
as	as	a
the	the	the
result	result	result
of	of	of
a	a	a
vote	vote	vote
from	from	from
the	the	the
20	20	20
member	member	member
board	board	board
.	.	.
No	no	No
specific	specif	specific
vote	vote	vote
tally	talli	tally
has	has	ha
been	been	been
released	releas	released
by	by	by
the	the	the
PAC	pac	PAC
.	.	.
Another	anoth	Another
member	member	member
of	of	of
the	the	the
actual	actual	actual
Congressional	congression	Congressional
Black	black	Black
Caucus	caucus	Caucus
,	,	,
Rep	rep	Rep
.	.	.

Barbara	barbara	Barbara
Lee	lee	Lee
CA	ca	CA
spoke	spoke	spoke
about	about	about
the	the	the
PAC	pac	PAC
s	s	s
endorsement	endors	endorsement
on	on	on
Democracy	democraci	Democracy
Now	now	Now
,	,	,
saying	say	saying
,	,	,
Featured	featur	Featured
image	imag	image
from	from	from
Rep	rep	Rep
.	.	.

Keith	keith	Keith
Ellison	ellison	Ellison
on	on	on
Twitter	twitter	Twitter

