Conservatives	conserv	Conservatives
love	love	love
to	to	to
tell	tell	tell
us	us	u
that	that	that
Donald	donald	Donald
Trump	trump	Trump
speaks	speak	speaks
his	his	his
mind	mind	mind
and	and	and
always	alway	always
tells	tell	tell
the	the	the
truth	truth	truth
despite	despit	despite
a	a	a
mountain	mountain	mountain
of	of	of
evidence	evid	evidence
against	against	against
the	the	the
latter	latter	latter
point	point	point
,	,	,
so	so	so
when	when	when
he	he	he
told	told	told
us	us	u
he	he	he
recorded	record	recorded
his	his	his
conversations	convers	conversation
with	with	with
former	former	former
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
it	it	it
s	s	s
perfectly	perfect	perfectly
reasonable	reason	reasonable
for	for	for
us	us	u
to	to	to
take	take	take
him	him	him
at	at	at
his	his	his
word	word	word
.	.	.
Shortly	short	Shortly
after	after	after
he	he	he
fired	fire	fired
Comey	comey	Comey
for	for	for
requesting	request	requesting
additional	addit	additional
resources	resourc	resource
for	for	for
the	the	the
investigation	investig	investigation
into	into	into
the	the	the
Trump	trump	Trump
administration	administr	administration
s	s	s
collusion	collus	collusion
with	with	with
Russia	russia	Russia
,	,	,
Trump	trump	Trump
threatened	threaten	threatened
to	to	to
release	releas	release
the	the	the
recordings	record	recording
in	in	in
an	an	an
effort	effort	effort
to	to	to
intimidate	intimid	intimidate
a	a	a
witness	wit	witness
recordings	record	recording
whose	whose	whose
existence	exist	existence
would	would	would
be	be	be
just	just	just
the	the	the
latest	latest	latest
in	in	in
a	a	a
long	long	long
history	histori	history
of	of	of
Trump	trump	Trump
secretly	secret	secretly
recording	record	recording
conversations	convers	conversation
.	.	.
James	jame	James
Comey	comey	Comey
better	better	better
hope	hope	hope
that	that	that
there	there	there
are	are	are
no	no	no
tapes	tape	tape
of	of	of
our	our	our
conversations	convers	conversation
before	befor	before
he	he	he
starts	start	start
leaking	leak	leaking
to	to	to
the	the	the
press	press	press
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
May	may	May
12	12	12
,	,	,
2017Apparently	2017appar	2017Apparently
,	,	,
The	the	The
Donald	donald	Donald
has	has	ha
done	done	done
some	some	some
reading	read	reading
on	on	on
Richard	richard	Richard
Nixon	nixon	Nixon
,	,	,
because	becaus	because
he	he	he
seems	seem	seems
to	to	to
have	have	have
destroyed	destroy	destroyed
the	the	the
tapes	tape	tape
he	he	he
made	made	made
.	.	.
After	after	After
Comey	comey	Comey
said	said	said
Lordy	lordi	Lordy
,	,	,
I	i	I
hope	hope	hope
there	there	there
are	are	are
tapes	tape	tape
the	the	the
one	one	one
time	time	time
in	in	in
history	histori	history
Lordy	lordi	Lordy
has	has	ha
sounded	sound	sounded
so	so	so
badass	badass	badass
,	,	,
Trump	trump	Trump
realized	realiz	realized
that	that	that
his	his	his
plan	plan	plan
wasn	wasn	wasn
t	t	t
quite	quit	quite
working	work	working
out	out	out
so	so	so
well	well	well
so	so	so
he	he	he
now	now	now
claims	claim	claim
that	that	that
they	they	they
never	never	never
existed	exist	existed
.	.	.
With	with	With
all	all	all
of	of	of
the	the	the
recently	recent	recently
reported	report	reported
electronic	electron	electronic
surveillance	surveil	surveillance
,	,	,
intercepts	intercept	intercept
,	,	,
unmasking	unmask	unmasking
and	and	and
illegal	illeg	illegal
leaking	leak	leaking
of	of	of
information	inform	information
,	,	,
I	i	I
have	have	have
no	no	no
idea	idea	idea
whether	whether	whether
there	there	there
are	are	are
tapes	tape	tape
or	or	or
recordings	record	recording
of	of	of
my	my	my
conversations	convers	conversation
with	with	with
James	jame	James
Comey	comey	Comey
,	,	,
but	but	but
I	i	I
did	did	did
not	not	not
make	make	make
,	,	,
and	and	and
do	do	do
not	not	not
have	have	have
,	,	,
any	ani	any
such	such	such
recordings	record	recording
,	,	,
Trump	trump	Trump
tweeted	tweet	tweeted
on	on	on
Thursday	thursday	Thursday
.	.	.
With	with	With
all	all	all
of	of	of
the	the	the
recently	recent	recently
reported	report	reported
electronic	electron	electronic
surveillance	surveil	surveillance
,	,	,
intercepts	intercept	intercept
,	,	,
unmasking	unmask	unmasking
and	and	and
illegal	illeg	illegal
leaking	leak	leaking
of	of	of
information	inform	information
,	,	,
I	i	I
have	have	have
no	no	no
idea	idea	idea
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
22	22	22
,	,	,
2017	2017	2017
whether	whether	whether
there	there	there
are	are	are
tapes	tape	tape
or	or	or
recordings	record	recording
of	of	of
my	my	my
conversations	convers	conversation
with	with	with
James	jame	James
Comey	comey	Comey
,	,	,
but	but	but
I	i	I
did	did	did
not	not	not
make	make	make
,	,	,
and	and	and
do	do	do
not	not	not
have	have	have
,	,	,
any	ani	any
such	such	such
recordings	record	recording
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
22	22	22
,	,	,
2017Either	2017either	2017Either
Trump	trump	Trump
is	is	is
lying	lie	lying
about	about	about
making	make	making
the	the	the
recordings	record	recording
or	or	or
he	he	he
is	is	is
lying	lie	lying
about	about	about
them	them	them
not	not	not
existing	exist	existing
.	.	.
or	or	or
he	he	he
destroyed	destroy	destroyed
them	them	them
.	.	.
That	that	That
final	final	final
option	option	option
,	,	,
given	given	given
Trump	trump	Trump
s	s	s
history	histori	history
,	,	,
is	is	is
the	the	the
one	one	one
that	that	that
likely	like	likely
occurred	occur	occurred
.	.	.
Naturally	natur	Naturally
,	,	,
the	the	the
American	american	American
people	peopl	people
once	onc	once
again	again	again
proved	prove	proved
that	that	that
they	they	they
are	are	are
not	not	not
as	as	a
stupid	stupid	stupid
as	as	a
Trump	trump	Trump
thinks	think	think
they	they	they
are	are	are
WHAT	what	WHAT
THE	the	THE
FUCK	fuck	FUCK
,	,	,
TRUMP	trump	TRUMP
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
You	you	You
lying	lie	lying
sack	sack	sack
of	of	of
shit	shit	shit
.	.	.
Holly	holli	Holly
O	o	O
Reilly	reilli	Reilly
@AynRandPaulRyan	@aynrandpaulryan	@AynRandPaulRyan
June	june	June
22	22	22
,	,	,
2017Why	2017whi	2017Why
should	should	should
we	we	we
believe	believ	believe
anything	anyth	anything
you	you	you
say	say	say
when	when	when
you	you	you
just	just	just
banned	ban	banned
the	the	the
press	press	press
from	from	from
covering	cover	covering
the	the	the
daily	daili	daily
briefing	brief	briefing
?	?	?
Alex	alex	Alex
Mayberry	mayberri	Mayberry
@Alex_Mayberry	@alex_mayberri	@Alex_Mayberry
June	june	June
22	22	22
,	,	,
2017you	2017you	2017you
re	re	re
such	such	such
a	a	a
gross	gross	gross
failure	failur	failure
and	and	and
a	a	a
slob	slob	slob
.	.	.
you	you	you
can	can	can
t	t	t
even	even	even
lie	lie	lie
right	right	right
.	.	.
and	and	and
look	look	look
at	at	at
this	this	this
shit	shit	shit
pic.twitter.com/TjKhwT0cEC	pic.twitter.com/tjkhwt0cec	pic.twitter.com/TjKhwT0cEC
Livia	livia	Livia
Scott	scott	Scott
?	?	?
@LiviaLove	@livialov	@LiviaLove
June	june	June
22	22	22
,	,	,
2017You	2017you	2017You
realize	realiz	realize
this	this	this
makes	make	make
your	your	your
better	better	better
hope	hope	hope
there	there	there
are	are	are
no	no	no
tapes	tape	tape
statement	statement	statement
evidence	evid	evidence
of	of	of
attempted	attempt	attempted
witness	wit	witness
intimidation	intimid	intimidation
Ray	ray	Ray
Yelle	yell	Yelle
@ryelle62	@ryelle62	@ryelle62
June	june	June
22	22	22
,	,	,
2017You	2017you	2017You
lie	lie	lie
about	about	about
everything	everyth	everything
.	.	.
James	jame	James
Comey	comey	Comey
was	was	wa
right	right	right
,	,	,
he	he	he
was	was	wa
afraid	afraid	afraid
of	of	of
you	you	you
lying	lie	lying
about	about	about
convos	convo	convos
.	.	.
James	jame	James
Comey	comey	Comey
100	100	100
Trump	trump	Trump
0	0	0
!	!	!
Jennie	jenni	Jennie
@Jennie2004	@jennie2004	@Jennie2004
June	june	June
22	22	22
,	,	,
2017Keep	2017keep	2017Keep
tweeting	tweet	tweeting
