Now	now	Now
that	that	that
it	it	it
s	s	s
been	been	been
established	establish	established
that	that	that
Mike	mike	Mike
Pence	penc	Pence
will	will	will
be	be	be
Donald	donald	Donald
Trump	trump	Trump
s	s	s
running	run	running
mate	mate	mate
and	and	and
not	not	not
errand	errand	errand
boy	boy	boy
Chris	chris	Chris
Christie	christi	Christie
,	,	,
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
has	has	ha
already	alreadi	already
begun	begun	begun
pouncing	pounc	pouncing
on	on	on
the	the	the
anti	anti	anti
-woman	-woman	-woman
,	,	,
anti	anti	anti
-LGBT	-lgbt	-LGBT
candidate	candid	candidate
that	that	that
was	was	wa
brave	brave	brave
enough	enough	enough
to	to	to
step	step	step
on	on	on
stage	stage	stage
with	with	with
Trump	trump	Trump
.	.	.
But	but	But
reports	report	report
appear	appear	appear
to	to	to
show	show	show
Trump	trump	Trump
had	had	had
his	his	his
reservations	reserv	reservation
about	about	about
the	the	the
Indiana	indiana	Indiana
governor	governor	governor
.	.	.
Apparently	appar	Apparently
,	,	,
Trump	trump	Trump
was	was	wa
so	so	so
regretful	regret	regretful
of	of	of
picking	pick	picking
the	the	the
former	former	former
Congressman	congressman	Congressman
that	that	that
he	he	he
asked	ask	asked
his	his	his
campaign	campaign	campaign
aides	aid	aide
the	the	the
night	night	night
before	befor	before
the	the	the
announcement	announc	announcement
if	if	if
he	he	he
could	could	could
back	back	back
out	out	out
of	of	of
picking	pick	picking
Pence	penc	Pence
.	.	.
After	after	After
the	the	the
news	news	news
leaked	leak	leaked
that	that	that
Pence	penc	Pence
was	was	wa
indeed	inde	indeed
the	the	the
choice	choic	choice
,	,	,
Trump	trump	Trump
s	s	s
uncertainty	uncertainti	uncertainty
was	was	wa
heightened	heighten	heightened
after	after	after
being	be	being
incensed	incens	incensed
he	he	he
blamed	blame	blamed
the	the	the
Pence	penc	Pence
camp	camp	camp
.	.	.
On	on	On
Thursday	thursday	Thursday
,	,	,
after	after	after
telling	tell	telling
Fox	fox	Fox
News	news	News
he	he	he
had	had	had
not	not	not
made	made	made
a	a	a
final	final	final
decision	decis	decision
,	,	,
sources	sourc	source
told	told	told
NBC	nbc	NBC
News	news	News
D	d	D
onald	onald	onald
Trump	trump	Trump
was	was	wa
stressed	stress	stressed
over	over	over
the	the	the
circumstances	circumst	circumstance
surrounding	surround	surrounding
his	his	his
choice	choic	choice
for	for	for
running	run	running
mate	mate	mate
even	even	even
after	after	after
news	news	news
of	of	of
the	the	the
pick	pick	pick
leaked	leak	leaked
.	.	.
While	while	While
in	in	in
California	california	California
,	,	,
separated	separ	separated
from	from	from
family	famili	family
and	and	and
most	most	most
aides	aid	aide
,	,	,
Trump	trump	Trump
worked	work	worked
the	the	the
phones	phone	phone
late	late	late
into	into	into
the	the	the
evening	even	evening
Thursday	thursday	Thursday
soliciting	solicit	soliciting
advice	advic	advice
and	and	and
sharing	share	sharing
his	his	his
concerns	concern	concern
.	.	.
Sources	sourc	Sources
familiar	familiar	familiar
with	with	with
the	the	the
calls	call	call
said	said	said
Trump	trump	Trump
conveyed	convey	conveyed
that	that	that
he	he	he
felt	felt	felt
backed	back	backed
into	into	into
a	a	a
corner	corner	corner
.	.	.
Another	anoth	Another
description	descript	description
suggested	suggest	suggested
that	that	that
Trump	trump	Trump
was	was	wa
talking	talk	talking
it	it	it
out	out	out
,	,	,
but	but	but
knew	knew	knew
that	that	that
he	he	he
could	could	could
not	not	not
and	and	and
would	would	would
not	not	not
choose	choos	choose
a	a	a
different	differ	different
running	run	running
mate	mate	mate
.	.	.
It	it	It
hasn	hasn	hasn
t	t	t
even	even	even
been	been	been
two	two	two
days	day	day
and	and	and
Trump	trump	Trump
already	alreadi	already
regrets	regret	regret
his	his	his
decision	decis	decision
.	.	.
Like	like	Like
everything	everyth	everything
else	els	else
in	in	in
his	his	his
campaign	campaign	campaign
,	,	,
Trump	trump	Trump
seems	seem	seems
to	to	to
have	have	have
been	been	been
winging	wing	winging
it	it	it
the	the	the
whole	whole	whole
time	time	time
,	,	,
settling	settl	settling
on	on	on
a	a	a
