Did	did	Did
you	you	you
see	see	see
the	the	the
testimony	testimoni	testimony
from	from	from
FBI	fbi	FBI
Director	director	Director
Comey	comey	Comey
yesterday	yesterday	yesterday
?	?	?

The	the	The
two	two	two
words	word	word
that	that	that
stand	stand	stand
out	out	out
are	are	are
the	the	the
words	word	word
mildly	mild	mildly
nauseous	nauseous	nauseous
FBI	fbi	FBI
director	director	director
James	jame	James
Comey	comey	Comey
said	said	said
he	he	he
s	s	s
mildly	mild	mildly
nauseous	nauseous	nauseous
about	about	about
the	the	the
possibility	possibl	possibility
that	that	that
his	his	his
announcement	announc	announcement
about	about	about
reopening	reopen	reopening
an	an	an
investigation	investig	investigation
into	into	into
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
emails	email	email
influenced	influenc	influenced
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
election	elect	election
Tessa	tessa	Tessa
Berenson	berenson	Berenson
,	,	,
Time	time	Time
time	time	time
.	.	.
com	com	com
,	,	,
3	3	3
May	may	May
2017Tucker	2017tucker	2017Tucker
Carlson	carlson	Carlson
interviewed	interview	interviewed
US	us	US
Attorney	attorney	Attorney
Joe	joe	Joe
diGenova	digenova	diGenova
DOES	doe	DOES
THE	the	THE
FBI	fbi	FBI
DIRECTOR	director	DIRECTOR
HAVE	have	HAVE
TOO	too	TOO
MUCH	much	MUCH
POWER	power	POWER
?	?	?
https://www.youtube.com/watch?v=wzdGKmo3-A8diGenova	https://www.youtube.com/watch?v=wzdgkmo3-a8digenova	https://www.youtube.com/watch?v=wzdGKmo3-A8diGenova
was	was	wa
on	on	on
fire	fire	fire
during	dure	during
this	this	this
interview	interview	interview
I	i	I
got	got	got
mildly	mild	mildly
nauseous	nauseous	nauseous
listening	listen	listening
to	to	to
his	his	his
testimony	testimoni	testimony
one	one	one
more	more	more
time	time	time
,	,	,
diGenova	digenova	diGenova
said	said	said
,	,	,
referring	refer	referring
to	to	to
Comey	comey	Comey
s	s	s
own	own	own
feelings	feel	feeling
about	about	about
possibly	possibl	possibly
affecting	affect	affecting
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
.	.	.

James	jame	James
Comey	comey	Comey
is	is	is
a	a	a
danger	danger	danger
to	to	to
the	the	the
country	countri	country
,	,	,
diGenova	digenova	diGenova
said	said	said
.	.	.

He	he	He
surrounds	surround	surround
himself	himself	himself
with	with	with
his	his	his
own	own	own
cult	cult	cult
of	of	of
personality	person	personality
.	.	.

He	he	He
believes	believ	belief
that	that	that
he	he	he
is	is	is
the	the	the
last	last	last
righteous	righteous	righteous
man	man	man
left	left	left
standing	stand	standing
.	.	.

When	when	When
Comey	comey	Comey
held	held	held
a	a	a
news	news	news
conference	confer	conference
July	juli	July
5	5	5
,	,	,
2016	2016	2016
where	where	where
he	he	he
accused	accus	accused
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
then	then	then
exonerated	exoner	exonerated
her	her	her
,	,	,
diGenova	digenova	diGenova
said	said	said
,	,	,
he	he	he
violated	violat	violated
every	everi	every
rule	rule	rule
and	and	and
regulation	regul	regulation
of	of	of
the	the	the
department	depart	department
of	of	of
justice	justic	justice
.	.	.

He	he	He
should	should	should
have	have	have
been	been	been
fired	fire	fired
that	that	that
day	day	day
.	.	.

President	presid	President
Donald	donald	Donald
Trump	trump	Trump
should	should	should
not	not	not
have	have	have
kept	kept	kept
him	him	him
after	after	after
his	his	his
inauguration	inaugur	inauguration
,	,	,
he	he	he
added	ad	added
.	.	.

He	he	He
should	should	should
be	be	be
fired	fire	fired
for	for	for
the	the	the
testimony	testimoni	testimony
that	that	that
he	he	he
has	has	ha
given	given	given
over	over	over
the	the	the
last	last	last
few	few	few
months	month	month
,	,	,
diGenova	digenova	diGenova
added	ad	added
.	.	.

That	that	That
July	juli	July
5	5	5
news	news	news
conference	confer	conference
was	was	wa
the	the	the
original	origin	original
sin	sin	sin
.	.	.

From	from	From
it	it	it
,	,	,
everything	everyth	everything
else	els	else
followed	follow	followed
.	.	.

In	in	In
answer	answer	answer
to	to	to
Comey	comey	Comey
s	s	s
question	question	question
to	to	to
his	his	his
critics	critic	critic
of	of	of
what	what	what
they	they	they
would	would	would
have	have	have
done	done	done
differently	differ	differently
,	,	,
diGenova	digenova	diGenova
said	said	said
,	,	,
Mr	mr	Mr
.	.	.
Director	director	Director
,	,	,
I	i	I
would	would	would
have	have	have
done	done	done
nothing	noth	nothing
,	,	,
because	becaus	because
I	i	I
never	never	never
would	would	would
have	have	have
held	held	held
the	the	the
July	juli	July
5	5	5
news	news	news
conference	confer	conference
,	,	,
which	which	which
forced	forc	forced
you	you	you
to	to	to
send	send	send
two	two	two
letters	letter	letter
to	to	to
Congress	congress	Congress
.	.	.

Comey	comey	Comey
,	,	,
as	as	a
FBI	fbi	FBI
director	director	director
,	,	,
is	is	is
a	a	a
cop	cop	cop
