Guess	guess	Guess
who	who	who
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
Bush	bush	Bush
is	is	is
voting	vote	voting
for	for	for
?	?	?
He	he	He
lost	lost	lost
to	to	to
Bill	bill	Bill
Clinton	clinton	Clinton
in	in	in
1992	1992	1992
,	,	,
and	and	and
his	his	his
son	son	son
is	is	is
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
.	.	.
Yet	yet	Yet
it	it	it
seems	seem	seems
that	that	that
the	the	the
elder	elder	elder
Bush	bush	Bush
finds	find	find
Trump	trump	Trump
so	so	so
distasteful	distast	distasteful
a	a	a
candidate	candid	candidate
that	that	that
he	he	he
s	s	s
actually	actual	actually
going	go	going
to	to	to
cast	cast	cast
his	his	his
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
According	accord	According
to	to	to
Politico	politico	Politico
,	,	,
Bush	bush	Bush
Sr	sr	Sr
.	.	.
had	had	had
originally	origin	originally
planned	plan	planned
on	on	on
keeping	keep	keeping
quiet	quiet	quiet
about	about	about
this	this	this
election	elect	election
.	.	.
Considering	consid	Considering
the	the	the
fact	fact	fact
that	that	that
he	he	he
s	s	s
a	a	a
Republican	republican	Republican
,	,	,
and	and	and
therefore	therefor	therefore
expected	expect	expected
to	to	to
weigh	weigh	weigh
in	in	in
on	on	on
the	the	the
side	side	side
of	of	of
the	the	the
Republicans	republican	Republicans
chosen	chosen	chosen
candidate	candid	candidate
,	,	,
this	this	this
is	is	is
actually	actual	actually
pretty	pretti	pretty
major	major	major
.	.	.
But	but	But
it	it	it
wasn	wasn	wasn
t	t	t
Bush	bush	Bush
himself	himself	himself
who	who	who
revealed	reveal	revealed
his	his	his
vote	vote	vote
.	.	.
It	it	It
was	was	wa
Kathleen	kathleen	Kathleen
Kennedy	kennedi	Kennedy
Townsend	townsend	Townsend
daughter	daughter	daughter
of	of	of
the	the	the
late	late	late
Robert	robert	Robert
Kennedy	kennedi	Kennedy
who	who	who
let	let	let
this	this	this
particular	particular	particular
interesting	interest	interesting
tidbit	tidbit	tidbit
slip	slip	slip
On	on	On
Monday	monday	Monday
,	,	,
Townsend	townsend	Townsend
posted	post	posted
a	a	a
picture	pictur	picture
on	on	on
her	her	her
Facebook	facebook	Facebook
page	page	page
shaking	shake	shaking
hands	hand	hand
next	next	next
to	to	to
the	the	the
former	former	former
president	presid	president
and	and	and
this	this	this
caption	caption	caption
The	the	The
President	presid	President
told	told	told
me	me	me
he	he	he
s	s	s
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
!	!	!
!	!	!
'	'	'
She	she	She
stood	stood	stood
by	by	by
that	that	that
later	later	later
on	on	on
when	when	when
talking	talk	talking
to	to	to
Politico	politico	Politico
.	.	.
According	accord	According
to	to	to
her	her	her
,	,	,
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
Bush	bush	Bush
would	would	would
rather	rather	rather
vote	vote	vote
for	for	for
his	his	his
former	former	former
rival	rival	rival
and	and	and
successor	successor	successor
s	s	s
wife	wife	wife
than	than	than
the	the	the
god	god	god
-awful	-aw	-awful
train	train	train
wreck	wreck	wreck
that	that	that
is	is	is
Donald	donald	Donald
Trump	trump	Trump
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
Bush	bush	Bush
family	famili	family
refused	refus	refused
to	to	to
actually	actual	actually
confirm	confirm	confirm
this	this	this
he	he	he
said	said	said
that	that	that
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
s	s	s
vote	vote	vote
is	is	is
a	a	a
private	privat	private
decision	decis	decision
and	and	and
will	will	will
remain	remain	remain
so	so	so
.	.	.
He	he	He
himself	himself	himself
isn	isn	isn
t	t	t
commenting	comment	commenting
,	,	,
but	but	but
it	it	it
seems	seem	seems
that	that	that
those	those	those
who	who	who
are	are	are
in	in	in
his	his	his
inner	inner	inner
circle	circl	circle
aren	aren	aren
t	t	t
being	be	being
so	so	so
tight	tight	tight
-lipped	-lip	-lipped
,	,	,
if	if	if
Kennedy	kennedi	Kennedy
is	is	is
to	to	to
be	be	be
believed	believ	believed
.	.	.
Bush	bush	Bush
Sr	sr	Sr
.	.	.
did	did	did
make	make	make
it	it	it
clear	clear	clear
back	back	back
in	in	in
May	may	May
that	that	that
he	he	he
had	had	had
absolutely	absolut	absolutely
zero	zero	zero
intention	intent	intention
of	of	of
endorsing	endors	endorsing
Trump	trump	Trump
.	.	.
That	that	That
s	s	s
a	a	a
bold	bold	bold
,	,	,
but	but	but
wise	wise	wise
,	,	,
move	move	move
for	for	for
any	ani	any
Republican	republican	Republican
,	,	,
since	sinc	since
Republicans	republican	Republicans
are	are	are
supposed	suppos	supposed
to	to	to
be	be	be
on	on	on
the	the	the
side	side	side
of	of	of
freedom	freedom	freedom
and	and	and
Trump	trump	Trump
is	is	is
on	on	on
the	the	the
side	side	side
of	of	of
dictatorship	dictatorship	dictatorship
and	and	and
authoritarianism	authoritarian	authoritarianism
.	.	.
His	his	His
love	love	love
of	of	of
Russian	russian	Russian
president	presid	president
Vladimir	vladimir	Vladimir
Putin	putin	Putin
would	would	would
suggest	suggest	suggest
that	that	that
he	he	he
s	s	s
also	also	also
on	on	on
the	the	the
side	side	side
of	of	of
autocracy	autocraci	autocracy
.	.	.
None	none	None
of	of	of
these	these	these
three	three	three
things	thing	thing
meshes	mesh	mesh
with	with	with
the	the	the
democracy	democraci	democracy
Republicans	republican	Republicans
say	say	say
we	we	we
ve	ve	ve
built	built	built
in	in	in
even	even	even
the	the	the
smallest	smallest	smallest
way	way	way
.	.	.
Earlier	earlier	Earlier
in	in	in
the	the	the
summer	summer	summer
,	,	,
an	an	an
administration	administr	administration
official	offici	official
for	for	for
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
announced	announc	announced
that	that	that
she	she	she
would	would	would
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
,	,	,
adding	ad	adding
her	her	her
name	name	name
to	to	to
an	an	an
ever	ever	ever
-growing	-grow	-growing
list	list	list
of	of	of
Republicans	republican	Republicans
and	and	and
conservatives	conserv	conservative
who	who	who
can	can	can
t	t	t
find	find	find
it	it	it
within	within	within
themselves	themselv	themselves
to	to	to
support	support	support
Trump	trump	Trump
.	.	.
Jeb	jeb	Jeb
Bush	bush	Bush
has	has	ha
said	said	said
he	he	he
can	can	can
neither	neither	neither
