Today	today	Today
s	s	s
act	act	act
of	of	of
terror	terror	terror
against	against	against
a	a	a
GOP	gop	GOP
Congressional	congression	Congressional
baseball	basebal	baseball
team	team	team
by	by	by
a	a	a
Bernie	berni	Bernie
Sanders	sander	Sanders
supporter	support	supporter
was	was	wa
about	about	about
as	as	a
ugly	ugli	ugly
and	and	and
hateful	hate	hateful
as	as	a
anyone	anyon	anyone
could	could	could
imagine	imagin	imagine
.	.	.
But	but	But
no	no	no
one	one	one
should	should	should
be	be	be
surprised	surpris	surprised
by	by	by
this	this	this
violent	violent	violent
act	act	act
,	,	,
given	given	given
how	how	how
many	mani	many
leaders	leader	leader
in	in	in
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
have	have	have
been	been	been
calling	call	calling
for	for	for
violence	violenc	violence
against	against	against
anyone	anyon	anyone
who	who	who
disagrees	disagre	disagrees
with	with	with
their	their	their
radical	radic	radical
progressive	progress	progressive
agenda	agenda	agenda
,	,	,
starting	start	starting
with	with	with
our	our	our
former	former	former
president	presid	president
and	and	and
community	communiti	community
organizer	organ	organizer
,	,	,
Barack	barack	Barack
Obama	obama	Obama
.	.	.
Below	below	Below
,	,	,
is	is	is
a	a	a
list	list	list
of	of	of
6	6	6
prominent	promin	prominent
Democrats	democrat	Democrats
who	who	who
have	have	have
called	call	called
for	for	for
violence	violenc	violence
against	against	against
Americans	american	Americans
who	who	who
disagree	disagre	disagree
with	with	with
them	them	them
.	.	.
Of	of	Of
course	cours	course
,	,	,
their	their	their
actions	action	action
have	have	have
largely	larg	largely
been	been	been
ignored	ignor	ignored
and	and	and
deemed	deem	deemed
acceptable	accept	acceptable
behavior	behavior	behavior
by	by	by
their	their	their
allies	alli	ally
in	in	in
the	the	the
mainstream	mainstream	mainstream
media	media	medium
#1.	#1.	#1.
President	presid	President
Obama	obama	Obama
s	s	s
grassroots	grassroot	grassroots
Organizing	organ	Organizing
for	for	for
Action	action	Action
,	,	,
in	in	in
a	a	a
message	messag	message
to	to	to
supporters	support	supporter
,	,	,
said	said	said
that	that	that
voters	voter	voter
turned	turn	turned
their	their	their
back	back	back
on	on	on
them	them	them
and	and	and
it	it	it
is	is	is
time	time	time
respond	respond	respond
by	by	by
fighting	fight	fighting
harder	harder	harder
than	than	than
we	we	we
ever	ever	ever
have	have	have
before	befor	before
.	.	.
That	that	That
Barack	barack	Barack
Obama	obama	Obama
would	would	would
suggest	suggest	suggest
Democrats	democrat	Democrats
fight	fight	fight
harder	harder	harder
than	than	than
ever	ever	ever
before	befor	before
should	should	should
come	come	come
as	as	a
no	no	no
surprise	surpris	surprise
to	to	to
anyone	anyon	anyone
who	who	who
s	s	s
been	been	been
paying	pay	paying
attention	attent	attention
.	.	.
The	the	The
former	former	former
president	presid	president
and	and	and
community	communiti	community
organizer	organ	organizer
is	is	is
no	no	no
stranger	stranger	stranger
to	to	to
calling	call	calling
for	for	for
violence	violenc	violence
against	against	against
anyone	anyon	anyone
who	who	who
doesn	doesn	doesn
t	t	t
agree	agre	agree
with	with	with
him	him	him
.	.	.
In	in	In
2008	2008	2008
,	,	,
he	he	he
made	made	made
a	a	a
comment	comment	comment
about	about	about
rubbing	rub	rubbing
out	out	out
his	his	his
opponents	oppon	opponent
the	the	the
Chicago	chicago	Chicago
way	way	way
when	when	when
he	he	he
