Judge	judg	Judge
Jeanine	jeanin	Jeanine
Pirro	pirro	Pirro
s	s	s
Opening	open	Opening
Statement	statement	Statement
focused	focus	focused
on	on	on
the	the	the
one	one	one
big	big	big
problem	problem	problem
she	she	she
says	say	say
President	presid	President
Trump	trump	Trump
needs	need	need
to	to	to
fix	fix	fix
.	.	.
.	.	.
THE	the	THE
LEAKERS	leaker	LEAKERS
!	!	!
Pirro	pirro	Pirro
called	call	called
on	on	on
Trump	trump	Trump
to	to	to
make	make	make
every	everi	every
effort	effort	effort
to	to	to
find	find	find
the	the	the
leaker	leaker	leaker
in	in	in
the	the	the
White	white	White
House	hous	House
https://www.youtube.com/watch?v=53eulMbi9x8LEAKERS	https://www.youtube.com/watch?v=53eulmbi9x8leak	https://www.youtube.com/watch?v=53eulMbi9x8LEAKERS
FOUND	found	FOUND
AND	and	AND
WILL	will	WILL
BE	be	BE
DEALT	dealt	DEALT
WITH	with	WITH
BY	by	BY
THE	the	THE
PRESIDENT	presid	PRESIDENT
The	the	The
latest	latest	latest
report	report	report
on	on	on
the	the	the
White	white	White
House	hous	House
leakers	leaker	leaker
raises	rais	raise
many	mani	many
questions	question	question
.	.	.

The	the	The
main	main	main
question	question	question
to	to	to
ask	ask	ask
is	is	is
why	whi	why
there	there	there
are	are	are
ANY	ani	ANY
Obama	obama	Obama
holdovers	holdov	holdover
left	left	left
working	work	working
at	at	at
the	the	the
White	white	White
House	hous	House
.	.	.

Trump	trump	Trump
should	should	should
fire	fire	fire
them	them	them
all	all	all
because	becaus	because
it	it	it
s	s	s
turning	turn	turning
out	out	out
that	that	that
they	they	they
just	just	just
want	want	want
to	to	to
sabotage	sabotag	sabotage
his	his	his
presidency	presid	presidency
!	!	!
BREITBART	breitbart	BREITBART
NEWS	news	NEWS
IS	is	IS
REPORTING	report	REPORTING
that	that	that
at	at	at
least	least	least
two	two	two
separate	separ	separate
news	news	news
organizations	organ	organization
have	have	have
credible	credibl	credible
information	inform	information
that	that	that
three	three	three
distinct	distinct	distinct
leakers	leaker	leaker
have	have	have
been	been	been
identified	identifi	identified
at	at	at
the	the	the
White	white	White
House	hous	House
and	and	and
that	that	that
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
is	is	is
expected	expect	expected
to	to	to
fire	fire	fire
them	them	them
when	when	when
he	he	he
returns	return	return
from	from	from
his	his	his
first	first	first
overseas	oversea	overseas
trip	trip	trip
.	.	.

CBS	cbs	CBS
News	news	News
has	has	ha
confirmed	confirm	confirmed
from	from	from
two	two	two
sources	sourc	source
that	that	that
three	three	three
leakers	leaker	leaker
of	of	of
classified	classifi	classified
information	inform	information
at	at	at
the	the	the
White	white	White
House	hous	House
have	have	have
been	been	been
identified	identifi	identified
and	and	and
are	are	are
expected	expect	expected
to	to	to
be	be	be
fired	fire	fired
,	,	,
CBS	cbs	CBS
News	news	News
reported	report	reported
this	this	this
week	week	week
,	,	,
adding	ad	adding
,	,	,
Officials	offici	Officials
within	within	within
the	the	the
Trump	trump	Trump
White	white	White
House	hous	House
believe	believ	believe
leaks	leak	leak
of	of	of
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
conversation	convers	conversation
with	with	with
Russian	russian	Russian
Foreign	foreign	Foreign
Minister	minist	Minister
Sergey	sergey	Sergey
Lavrov	lavrov	Lavrov
are	are	are
a	a	a
deliberate	deliber	deliberate
attempt	attempt	attempt
by	by	by
officials	offici	official
who	who	who
are	are	are
holdovers	holdov	holdover
from	from	from
President	presid	President
Obama	obama	Obama
s	s	s
administration	administr	administration
and	and	and
are	are	are
trying	tri	trying
to	to	to
damage	damag	damage
the	the	the
Trump	trump	Trump
presidency	presid	presidency
.	.	.

In	in	In
addition	addit	addition
,	,	,
this	this	this
week	week	week
,	,	,
chief	chief	chief
One	one	One
America	america	America
News	news	News
Network	network	Network
OANN	oann	OANN
White	white	White
House	hous	House
correspondent	correspond	correspondent
Trey	trey	Trey
Yingst	yingst	Yingst
also	also	also
reported	report	reported
that	that	that
three	three	three
White	white	White
House	hous	House
leakers	leaker	leaker
have	have	have
been	been	been
identified	identifi	identified
and	and	and
referred	refer	referred
to	to	to
the	the	the
proper	proper	proper
authorities	author	authority
.	.	.
Yingst	yingst	Yingst
wrote	wrote	wrote
on	on	on
Twitter	twitter	Twitter
that	that	that
the	the	the
three	three	three
leakers	leaker	leaker
have	have	have
been	been	been
carelessly	careless	carelessly
leaking	leak	leaking
classified	classifi	classified
information	inform	information
to	to	to
hurt	hurt	hurt
President	presid	President
Trump	trump	Trump
politically	polit	politically
and	and	and
that	that	that
Trump	trump	Trump
is	is	is
expected	expect	expected
to	to	to
fire	fire	fire
multiple	multipl	multiple
people	peopl	people
connected	connect	connected
with	with	with
the	the	the
network	network	network
of	of	of
leakers	leaker	leaker
upon	upon	upon
his	his	his
return	return	return
to	to	to
the	the	the
White	white	White
House	hous	House
.	.	.

