I	i	I
m	m	m
sure	sure	sure
the	the	the
apple	appl	apple
doesn	doesn	doesn
t	t	t
fall	fall	fall
far	far	far
from	from	from
the	the	the
tree	tree	tree
in	in	in
this	this	this
case	case	case
.	.	.
Many	mani	Many
of	of	of
us	us	u
have	have	have
known	known	known
about	about	about
the	the	the
father	father	father
-in-law	-in-law	-in-law
but	but	but
this	this	this
digs	dig	dig
deeper	deeper	deeper
into	into	into
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
s	s	s
own	own	own
family	famili	family
.	.	.
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
FBI	fbi	FBI
files	file	file
obtained	obtain	obtained
by	by	by
Judicial	judici	Judicial
Watch	watch	Watch
reveal	reveal	reveal
that	that	that
the	the	the
dad	dad	dad
,	,	,
maternal	matern	maternal
grandpa	grandpa	grandpa
and	and	and
father	father	father
-in-law	-in-law	-in-law
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
trusted	trust	trusted
senior	senior	senior
advisor	advisor	advisor
,	,	,
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
,	,	,
were	were	were
hardcore	hardcor	hardcore
Communists	communist	Communists
under	under	under
investigation	investig	investigation
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
.	.	.
Jarrett	jarrett	Jarrett
s	s	s
dad	dad	dad
,	,	,
pathologist	pathologist	pathologist
and	and	and
geneticist	geneticist	geneticist
Dr	dr	Dr
.	.	.
James	jame	James
Bowman	bowman	Bowman
,	,	,
had	had	had
extensive	extens	extensive
ties	tie	tie
to	to	to
Communist	communist	Communist
associations	associ	association
and	and	and
individuals	individu	individual
,	,	,
his	his	his
lengthy	lengthi	lengthy
FBI	fbi	FBI
file	file	file
shows	show	show
.	.	.
In	in	In
1950	1950	1950
Bowman	bowman	Bowman
was	was	wa
in	in	in
communication	communic	communication
with	with	with
a	a	a
paid	paid	paid
Soviet	soviet	Soviet
agent	agent	agent
