Newt	newt	Newt
Gingrich	gingrich	Gingrich
completely	complet	completely
disrespected	disrespect	disrespected
Megyn	megyn	Megyn
Kelly	kelli	Kelly
,	,	,
yet	yet	yet
she	she	she
is	is	is
the	the	the
one	one	one
receiving	receiv	receiving
threats	threat	threat
because	becaus	because
she	she	she
refused	refus	refused
to	to	to
be	be	be
treated	treat	treated
like	like	like
shit	shit	shit
by	by	by
an	an	an
asshole	asshol	asshole
.	.	.
During	dure	During
her	her	her
show	show	show
on	on	on
Tuesday	tuesday	Tuesday
night	night	night
,	,	,
Kelly	kelli	Kelly
tried	tri	tried
to	to	to
explain	explain	explain
to	to	to
Gingrich	gingrich	Gingrich
that	that	that
Trump	trump	Trump
is	is	is
getting	get	getting
destroyed	destroy	destroyed
in	in	in
the	the	the
polls	poll	poll
because	becaus	because
women	women	woman
do	do	do
not	not	not
appreciate	appreci	appreciate
his	his	his
comments	comment	comment
about	about	about
groping	grope	groping
women	women	woman
against	against	against
their	their	their
will	will	will
and	and	and
the	the	the
fact	fact	fact
that	that	that
several	sever	several
women	women	woman
have	have	have
come	come	come
forward	forward	forward
to	to	to
accuse	accus	accuse
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
of	of	of
sexual	sexual	sexual
assault	assault	assault
.	.	.

If	if	If
Trump	trump	Trump
is	is	is
a	a	a
sexual	sexual	sexual
predator	predat	predator
,	,	,
Kelly	kelli	Kelly
continued	continu	continued
.	.	.
But	but	But
Gingrich	gingrich	Gingrich
angrily	angrili	angrily
cut	cut	cut
her	her	her
off	off	off
and	and	and
disrespectfully	disrespect	disrespectfully
wagged	wag	wagged
his	his	his
finger	finger	finger
at	at	at
her	her	her
while	while	while
telling	tell	telling
her	her	her
what	what	what
she	she	she
can	can	can
and	and	and
can	can	can
t	t	t
say	say	say
on	on	on
her	her	her
own	own	own
show	show	show
.	.	.

Trump	trump	Trump
is	is	is
not	not	not
a	a	a
sexual	sexual	sexual
predator	predat	predator
!	!	!

You	you	You
can	can	can
t	t	t
say	say	say
that	that	that
!	!	!

Gingrich	gingrich	Gingrich
lectured	lectur	lectured
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
Kelly	kelli	Kelly
pointed	point	pointed
out	out	out
that	that	that
she	she	she
wasn	wasn	wasn
t	t	t
taking	take	taking
a	a	a
position	posit	position
.	.	.

But	but	But
Gingrich	gingrich	Gingrich
continued	continu	continued
his	his	his
tirade	tirad	tirade
and	and	and
verbally	verbal	verbally
assaulted	assault	assaulted
Kelly	kelli	Kelly
.	.	.

I	i	I
m	m	m
sick	sick	sick
and	and	and
tired	tire	tired
of	of	of
people	peopl	people
like	like	like
you	you	you
using	use	using
language	languag	language
that	that	that
s	s	s
inflammatory	inflammatori	inflammatory
that	that	that
s	s	s
not	not	not
true	true	true
!	!	!

When	when	When
you	you	you
use	use	use
the	the	the
words	word	word
,	,	,
you	you	you
took	took	took
a	a	a
position	posit	position
.	.	.

And	and	And
I	i	I
think	think	think
it	it	it
s	s	s
very	veri	very
unfair	unfair	unfair
of	of	of
you	you	you
to	to	to
do	do	do
that	that	that
,	,	,
Megyn	megyn	Megyn
!	!	!

I	i	I
think	think	think
that	that	that
is	is	is
exactly	exact	exactly
the	the	the
bias	bias	bias
people	peopl	people
are	are	are
upset	upset	upset
by	by	by
.	.	.

Your	your	Your
defensiveness	defens	defensiveness
on	on	on
this	this	this
may	may	may
speak	speak	speak
volumes	volum	volume
,	,	,
sir	sir	sir
,	,	,
Kelly	kelli	Kelly
replied	repli	replied
.	.	.

When	when	When
the	the	the
interview	interview	interview
ended	end	ended
,	,	,
Kelly	kelli	Kelly
told	told	told
Gingrich	gingrich	Gingrich
to	to	to
take	take	take
his	his	his
anger	anger	anger
issues	issu	issue
elsewhere	elsewher	elsewhere
to	to	to
work	work	work
on	on	on
them	them	them
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
To	to	To
recap	recap	recap
,	,	,
Gingrich	gingrich	Gingrich
acted	act	acted
like	like	like
a	a	a
woman	woman	woman
-hating	-hate	-hating
asshole	asshol	asshole
and	and	and
Kelly	kelli	Kelly
was	was	wa
the	the	the
adult	adult	adult
in	in	in
the	the	the
room	room	room
and	and	and
put	put	put
him	him	him
in	in	in
his	his	his
place	place	place
.	.	.
Well	well	Well
,	,	,
that	that	that
didn	didn	didn
t	t	t
sit	sit	sit
well	well	well
with	with	with
Trump	trump	Trump
adviser	advis	adviser
Dan	dan	Dan
Scavino	scavino	Scavino
,	,	,
who	who	who
insulted	insult	insulted
and	and	and
threatened	threaten	threatened
Kelly	kelli	Kelly
via	via	via
Twitter	twitter	Twitter
.	.	.

Shows	show	Shows
she	she	she
is	is	is
totally	total	totally
biased	bias	biased
against	against	against
Mr	mr	Mr
.	.	.
Trump	trump	Trump
not	not	not
very	veri	very
smart	smart	smart
,	,	,
Scavino	scavino	Scavino
wrote	wrote	wrote
in	in	in
the	the	the
first	first	first
tweet	tweet	tweet
.	.	.

Mr	mr	Mr
.	.	.
Trump	trump	Trump
has	has	ha
long	long	long
known	known	known
!	!	!
!	!	!

.	.	.
@NewtGingrich	@newtgingrich	@NewtGingrich
just	just	just
destroyed	destroy	destroyed
@MegynKelly	@megynkelli	@MegynKelly
.	.	.

Shows	show	Shows
she	she	she
is	is	is
totally	total	totally
biased	bias	biased
against	against	against
Mr	mr	Mr
.	.	.
Trump	trump	Trump
not	not	not
very	veri	very
smart	smart	smart
.	.	.

Mr	mr	Mr
.	.	.
Trump	trump	Trump
has	has	ha
long	long	long
known	known	known
!	!	!
!	!	!

Dan	dan	Dan
Scavino	scavino	Scavino
Jr	jr	Jr
.	.	.
@DanScavino	@danscavino	@DanScavino
October	octob	October
26	26	26
,	,	,
2016And	2016and	2016And
then	then	then
he	he	he
cryptically	cryptic	cryptically
threatened	threaten	threatened
that	that	that
something	someth	something
would	would	would
happen	happen	happen
to	to	to
Kelly	kelli	Kelly
after	after	after
the	the	the
election	elect	election
.	.	.

Megyn	megyn	Megyn
Kelly	kelli	Kelly
made	made	made
a	a	a
total	total	total
fool	fool	fool
out	out	out
of	of	of
herself	herself	herself
tonight	tonight	tonight
-	-	-
attacking	attack	attacking
Donald	donald	Donald
Trump	trump	Trump
,	,	,
he	he	he
wrote	wrote	wrote
.	.	.

Watch	watch	Watch
what	what	what
happens	happen	happens
to	to	to
her	her	her
after	after	after
this	this	this
election	elect	election
is	is	is
over	over	over
.	.	.

.	.	.
@MegynKelly	@megynkelli	@MegynKelly
made	made	made
a	a	a
total	total	total
fool	fool	fool
out	out	out
of	of	of
herself	herself	herself
tonight	tonight	tonight
-	-	-
attacking	attack	attacking
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
.	.	.

Watch	watch	Watch
what	what	what
happens	happen	happens
to	to	to
her	her	her
after	after	after
this	this	this
election	elect	election
is	is	is
over	over	over
.	.	.

Dan	dan	Dan
Scavino	scavino	Scavino
Jr	jr	Jr
.	.	.
@DanScavino	@danscavino	@DanScavino
October	octob	October
26	26	26
,	,	,
2016It	2016it	2016It
sounds	sound	sound
like	like	like
Scavino	scavino	Scavino
just	just	just
threatened	threaten	threatened
violence	violenc	violence
against	against	against
a	a	a
woman	woman	woman
,	,	,
which	which	which
is	is	is
totally	total	totally
in	in	in
conflict	conflict	conflict
with	with	with
his	his	his
position	posit	position
as	as	a
director	director	director
of	of	of
development	develop	development
at	at	at
the	the	the
Joe	joe	Joe
Torre	torr	Torre
Safe	safe	Safe
at	at	at
Home	home	Home
Foundation	foundat	Foundation
,	,	,
which	which	which
is	is	is
dedicated	dedic	dedicated
to	to	to
ending	end	ending
domestic	domest	domestic
violence	violenc	violence
.	.	.

If	if	If
Scavino	scavino	Scavino
is	is	is
still	still	still
working	work	working
at	at	at
this	this	this
foundation	foundat	foundation
,	,	,
he	he	he
should	should	should
lose	lose	lose
his	his	his
job	job	job
immediately	immedi	immediately
.	.	.

Because	becaus	Because
making	make	making
threats	threat	threat
against	against	against
a	a	a
woman	woman	woman
is	is	is
deplorable	deplor	deplorable
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

