Following	follow	Following
Sally	salli	Sally
Yates	yate	Yates
testimony	testimoni	testimony
yesterday	yesterday	yesterday
,	,	,
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
on	on	on
Tuesday	tuesday	Tuesday
accused	accus	accused
the	the	the
former	former	former
acting	act	acting
Attorney	attorney	Attorney
General	general	General
of	of	of
being	be	being
a	a	a
political	polit	political
opponent	oppon	opponent
of	of	of
the	the	the
president	presid	president
because	becaus	because
she	she	she
informed	inform	informed
the	the	the
White	white	White
House	hous	House
three	three	three
times	time	time
that	that	that
then	then	then
-National	-nation	-National
Security	secur	Security
Adviser	advis	Adviser
Michael	michael	Michael
Flynn	flynn	Flynn
lied	lie	lied
about	about	about
his	his	his
contacts	contact	contact
with	with	with
Russia	russia	Russia
.	.	.
Spicer	spicer	Spicer
was	was	wa
asked	ask	asked
why	whi	why
it	it	it
took	took	took
Trump	trump	Trump
18	18	18
days	day	day
to	to	to
fire	fire	fire
Flynn	flynn	Flynn
after	after	after
it	it	it
was	was	wa
revealed	reveal	revealed
by	by	by
Yates	yate	Yates
that	that	that
he	he	he
had	had	had
been	been	been
compromised	compromis	compromised
and	and	and
was	was	wa
vulnerable	vulner	vulnerable
to	to	to
being	be	being
blackmailed	blackmail	blackmailed
by	by	by
Russia	russia	Russia
.	.	.
Spicer	spicer	Spicer
said	said	said
that	that	that
Flynn	flynn	Flynn
was	was	wa
not	not	not
fired	fire	fired
immediately	immedi	immediately
because	becaus	because
of	of	of
an	an	an
element	element	element
of	of	of
due	due	due
process	process	process
after	after	after
the	the	the
White	white	White
House	hous	House
was	was	wa
informed	inform	informed
of	of	of
Yates	yate	Yates
giving	give	giving
us	us	u
a	a	a
heads	head	head
up	up	up
.	.	.
Somebody	somebodi	Somebody
came	came	came
over	over	over
,	,	,
gave	gave	gave
us	us	u
a	a	a
heads	head	head
up	up	up
,	,	,
told	told	told
us	us	u
there	there	there
were	were	were
materials	materi	material
,	,	,
Spicer	spicer	Spicer
said	said	said
.	.	.
Ultimately	ultim	Ultimately
,	,	,
the	the	the
president	presid	president
made	made	made
a	a	a
decision	decis	decision
that	that	that
was	was	wa
the	the	the
right	right	right
one	one	one
.	.	.
So	so	So
,	,	,
I	i	I
think	think	think
the	the	the
process	process	process
worked	work	worked
.	.	.
According	accord	According
to	to	to
Spicer	spicer	Spicer
,	,	,
Trump	trump	Trump
defended	defend	defended
Flynn	flynn	Flynn
after	after	after
learning	learn	learning
that	that	that
he	he	he
lied	lie	lied
because	becaus	because
he	he	he
is	is	is
somebody	somebodi	somebody
who	who	who
served	serv	served
our	our	our
country	countri	country
honorably	honor	honorably
in	in	in
uniform	uniform	uniform
for	for	for
over	over	over
30	30	30
years	year	year
.	.	.
The	the	The
president	presid	president
does	doe	doe
not	not	not
want	want	want
to	to	to
smear	smear	smear
a	a	a
good	good	good
man	man	man
,	,	,
Spicer	spicer	Spicer
continued	continu	continued
.	.	.
Let	let	Let
s	s	s
look	look	look
at	at	at
how	how	how
this	this	this
came	came	came
down	down	down
.	.	.
Someone	someon	Someone
who	who	who
is	is	is
not	not	not
exactly	exact	exactly
a	a	a
supporter	support	supporter
of	of	of
the	the	the
president	presid	president
s	s	s
agenda	agenda	agenda
who	who	who
a	a	a
couple	coupl	couple
of	of	of
days	day	day
after	after	after
this	this	this
conversation	convers	conversation
took	took	took
place	place	place
refused	refus	refused
to	to	to
uphold	uphold	uphold
a	a	a
lawful	law	lawful
order	order	order
of	of	of
the	the	the
president	presid	president
who	who	who
was	was	wa
not	not	not
exactly	exact	exactly
excited	excit	excited
about	about	about
President	presid	President
Trump	trump	Trump
by	by	by
taking	take	taking
office	offic	office
or	or	or
his	his	his
agenda	agenda	agenda
.	.	.
Just	just	Just
because	becaus	because
someone	someon	someone
gives	give	give
you	you	you
a	a	a
heads	head	head
up	up	up
doesn	doesn	doesn
t	t	t
mean	mean	mean
you	you	you
jump	jump	jump
the	the	the
gun	gun	gun
and	and	and
go	go	go
take	take	take
action	action	action
,	,	,
Spicer	spicer	Spicer
added	ad	added
.	.	.
What	what	What
if	if	if
we	we	we
just	just	just
dismissed	dismiss	dismissed
someone	someon	someone
because	becaus	because
a	a	a
political	polit	political
opponent	oppon	opponent
of	of	of
the	the	the
president	presid	president
had	had	had
made	made	made
an	an	an
utterance	utter	utterance
,	,	,
you	you	you
would	would	would
argue	argu	argue
that	that	that
it	it	it
s	s	s
pretty	pretti	pretty
irrational	irrat	irrational
.	.	.
Watch	watch	Watch
Spicer	spicer	Spicer
also	also	also
said	said	said
that	that	that
Yates	yate	Yates
was	was	wa
a	a	a
strong	strong	strong
supporter	support	supporter
of	of	of
Clinton	clinton	Clinton
,	,	,
however	howev	however
,	,	,
he	he	he
said	said	said
that	that	that
without	without	without
offering	offer	offering
proof	proof	proof
of	of	of
such	such	such
.	.	.
It	it	It
was	was	wa
widely	wide	widely
rumored	rumor	rumored
,	,	,
Spicer	spicer	Spicer
said	said	said
.	.	.
Watch	watch	Watch
lol	lol	lol
,	,	,
reporter	report	reporter
asked	ask	asked
Spicer	spicer	Spicer
why	whi	why
he	he	he
claimed	claim	claimed
Yates	yate	Yates
was	was	wa
strong	strong	strong
supporter	support	supporter
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
Spicer	spicer	Spicer
OF	of	OF
COURSE	cours	COURSE
says	say	say
it	it	it
was	was	wa
rumored	rumor	rumored
pic.twitter.com/UgWmZ1Rol6	pic.twitter.com/ugwmz1rol6	pic.twitter.com/UgWmZ1Rol6
Tommy	tommi	Tommy
Christopher	christoph	Christopher
@tommyxtopher	@tommyxtoph	@tommyxtopher
May	may	May
9	9	9
,	,	,
2017Spicer	2017spicer	2017Spicer
called	call	called
Sally	salli	Sally
Yates	yate	Yates
,	,	,
who	who	who
has	has	ha
served	serv	served
under	under	under
Republican	republican	Republican
and	and	and
Democratic	democrat	Democratic
Presidents	presid	Presidents
,	,	,
and	and	and
served	serv	served
in	in	in
the	the	the
Justice	justic	Justice
Department	depart	Department
for	for	for
nearly	near	nearly
three	three	three
decades	decad	decade
with	with	with
an	an	an
unblemished	unblemish	unblemished
record	record	record
,	,	,
a	a	a
political	polit	political
opponent	oppon	opponent
.	.	.
Let	let	Let
that	that	that
sink	sink	sink
in	in	in
.	.	.
In	in	In
February	februari	February
,	,	,
Trump	trump	Trump
referred	refer	referred
to	to	to
Flynn	flynn	Flynn
as	as	a
a	a	a
wonderful	wonder	wonderful
man	man	man
and	and	and
blamed	blame	blamed
the	the	the
fake	fake	fake
media	media	medium
for	for	for
criminal	crimin	criminal
leaks	leak	leak
.	.	.
He	he	He
said	said	said
that	that	that
after	after	after
firing	fire	firing
this	this	this
wonderful	wonder	wonderful
man	man	man
who	who	who
is	is	is
now	now	now
caught	caught	caught
up	up	up
in	in	in
a	a	a
massive	massiv	massive
scandal	scandal	scandal
.	.	.
Trump	trump	Trump
was	was	wa
not	not	not
only	onli	only
warned	warn	warned
by	by	by
Yates	yate	Yates
three	three	three
times	time	time
but	but	but
also	also	also
by	by	by
his	his	his
predecessor	predecessor	predecessor
,	,	,
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.
Image	imag	Image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.
