Thugs	thug	Thugs
burned	burn	burned
down	down	down
several	sever	several
buildings	build	building
Saturday	saturday	Saturday
night	night	night
in	in	in
Milwaukee	milwauke	Milwaukee
over	over	over
the	the	the
shooting	shoot	shooting
death	death	death
of	of	of
a	a	a
23	23	23
-year-old	-year-old	-year-old
black	black	black
man	man	man
armed	arm	armed
with	with	with
a	a	a
stolen	stolen	stolen
gun	gun	gun
by	by	by
Milwaukee	milwauke	Milwaukee
police	polic	police
during	dure	during
a	a	a
foot	foot	foot
pursuit	pursuit	pursuit
.	.	.
The	the	The
deceased	deceas	deceased
man	man	man
s	s	s
father	father	father
is	is	is
now	now	now
speaking	speak	speaking
out	out	out
.	.	.
Who	who	Who
he	he	he
s	s	s
blaming	blame	blaming
should	should	should
have	have	have
every	everi	every
logical	logic	logical
American	american	American
scratching	scratch	scratching
their	their	their
heads	head	head
Note	note	Note
to	to	to
Dad	dad	Dad
You	you	You
can	can	can
t	t	t
blame	blame	blame
the	the	the
white	white	white
man	man	man
or	or	or
the	the	the
2nd	2nd	2nd
Amendment	amend	Amendment
because	becaus	because
your	your	your
son	son	son
stole	stole	stole
a	a	a
gun	gun	gun
from	from	from
a	a	a
home	home	home
in	in	in
the	the	the
suburbs	suburb	suburb
and	and	and
refused	refus	refused
to	to	to
obey	obey	obey
when	when	when
the	the	the
police	polic	police
officer	offic	officer
who	who	who
was	was	wa
pursuing	pursu	pursuing
him	him	him
told	told	told
him	him	him
to	to	to
drop	drop	drop
it	it	it
.	.	.
The	the	The
father	father	father
of	of	of
a	a	a
man	man	man
shot	shot	shot
and	and	and
killed	kill	killed
by	by	by
a	a	a
Milwaukee	milwauke	Milwaukee
police	polic	police
officer	offic	officer
Saturday	saturday	Saturday
afternoon	afternoon	afternoon
,	,	,
August	august	August
13th	13th	13th
has	has	ha
identified	identifi	identified
him	him	him
as	as	a
23	23	23
-year-old	-year-old	-year-old
Sylville	sylvill	Sylville
Smith	smith	Smith
.	.	.
Court	court	Court
records	record	record
show	show	show
in	in	in
February	februari	February
of	of	of
2015	2015	2015
,	,	,
Smith	smith	Smith
was	was	wa
charged	charg	charged
with	with	with
one	one	one
felony	feloni	felony
count	count	count
of	of	of
first	first	first
degree	degre	degree
recklessly	reckless	recklessly
endangering	endang	endangering
safety	safeti	safety
and	and	and
one	one	one
misdemeanor	misdemeanor	misdemeanor
count	count	count
of	of	of
possession	possess	possession
of	of	of
THC	thc	THC
.	.	.
The	the	The
charges	charg	charge
were	were	were
dismissed	dismiss	dismissed
by	by	by
prosecutors	prosecutor	prosecutor
in	in	in
November	novemb	November
.	.	.
August	august	August
of	of	of
2015	2015	2015
,	,	,
Smith	smith	Smith
was	was	wa
charged	charg	charged
with	with	with
felony	feloni	felony
intimidation	intimid	intimidation
of	of	of
a	a	a
witness	wit	witness
person	person	person
charged	charg	charged
felony	feloni	felony
.	.	.
That	that	That
charge	charg	charge
was	was	wa
dismissed	dismiss	dismissed
by	by	by
prosecutors	prosecutor	prosecutor
in	in	in
September	septemb	September
.	.	.
In	in	In
July	juli	July
of	of	of
2014	2014	2014
,	,	,
Smith	smith	Smith
was	was	wa
charged	charg	charged
with	with	with
carrying	carri	carrying
a	a	a
concealed	conceal	concealed
weapon	weapon	weapon
a	a	a
misdemeanor	misdemeanor	misdemeanor
charge	charg	charge
.	.	.
He	he	He
pleaded	plead	pleaded
guilty	guilti	guilty
in	in	in
November	novemb	November
,	,	,
and	and	and
was	was	wa
sentenced	sentenc	sentenced
to	to	to
serve	serv	serve
one	one	one
day	day	day
in	in	in
the	the	the
House	hous	House
of	of	of
Correction	correct	Correction
.	.	.
In	in	In
July	juli	July
of	of	of
2013	2013	2013
,	,	,
Smith	smith	Smith
was	was	wa
charged	charg	charged
with	with	with
felony	feloni	felony
retail	retail	retail
theft	theft	theft
intentionally	intent	intentionally
taking	take	taking
500	500	500
to	to	to
5	5	5
,	,	,
000	000	000
as	as	a
party	parti	party
to	to	to
a	a	a
crime	crime	crime
.	.	.
Prosecutors	prosecutor	Prosecutors
dismissed	dismiss	dismissed
the	the	the
charge	charg	charge
in	in	in
October	octob	October
.	.	.
FOX6	fox6	FOX6
s	s	s
A	a	A
.	.	.
J	j	J
.	.	.
Bayatpour	bayatpour	Bayatpour
spoke	spoke	spoke
with	with	with
Smith	smith	Smith
s	s	s
father	father	father
,	,	,
Patrick	patrick	Patrick
on	on	on
Sunday	sunday	Sunday
.	.	.
He	he	He
had	had	had
this	this	this
to	to	to
say	say	say
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
shooting	shoot	shooting
of	of	of
his	his	his
son	son	son
by	by	by
Milwaukee	milwauke	Milwaukee
police	polic	police
and	and	and
the	the	the
violence	violenc	violence
that	that	that
followed	follow	followed
Angry	angri	Angry
crowds	crowd	crowd
took	took	took
to	to	to
the	the	the
streets	street	street
in	in	in
Milwaukee	milwauke	Milwaukee
on	on	on
Saturday	saturday	Saturday
night	night	night
Sunday	sunday	Sunday
morning	morn	morning
to	to	to
protest	protest	protest
the	the	the
shooting	shoot	shooting
death	death	death
of	of	of
Smith	smith	Smith
by	by	by
a	a	a
police	polic	police
officer	offic	officer
hours	hour	hour
earlier	earlier	earlier
.	.	.
Protesters	protest	Protesters
burned	burn	burned
several	sever	several
stores	store	store
and	and	and
threw	threw	threw
rocks	rock	rock
at	at	at
police	polic	police
in	in	in
the	the	the
city	citi	city
s	s	s
north	north	north
side	side	side
,	,	,
leaving	leav	leaving
one	one	one
officer	offic	officer
injured	injur	injured
.	.	.
Smoke	smoke	Smoke
and	and	and
orange	orang	orange
flames	flame	flame
filled	fill	filled
the	the	the
night	night	night
sky	sky	sky
.	.	.
The	the	The
incident	incid	incident
started	start	started
Saturday	saturday	Saturday
afternoon	afternoon	afternoon
when	when	when
two	two	two
officers	offic	officer
stopped	stop	stopped
two	two	two
people	peopl	people
who	who	who
were	were	were
in	in	in
a	a	a
car	car	car
in	in	in
the	the	the
north	north	north
side	side	side
,	,	,
according	accord	according
to	to	to
the	the	the
Milwaukee	milwauke	Milwaukee
Police	polic	Police
Department	depart	Department
.	.	.
Shortly	short	Shortly
after	after	after
,	,	,
both	both	both
car	car	car
occupants	occup	occupant
fled	fled	fled
on	on	on
foot	foot	foot
as	as	a
officers	offic	officer
pursued	pursu	pursued
them	them	them
,	,	,
police	polic	police
said	said	said
.	.	.
During	dure	During
the	the	the
chase	chase	chase
,	,	,
an	an	an
officer	offic	officer
shot	shot	shot
one	one	one
of	of	of
the	the	the
two	two	two
23	23	23
-year-old	-year-old	-year-old
Sylville	sylvill	Sylville
Smith	smith	Smith
,	,	,
who	who	who
was	was	wa
armed	arm	armed
with	with	with
a	a	a
handgun	handgun	handgun
,	,	,
according	accord	according
to	to	to
authorities	author	authority
.	.	.
He	he	He
officer	offic	officer
ordered	order	ordered
that	that	that
individual	individu	individual
to	to	to
drop	drop	drop
his	his	his
gun	gun	gun
,	,	,
the	the	the
individual	individu	individual
did	did	did
not	not	not
drop	drop	drop
his	his	his
gun	gun	gun
,	,	,
Milwaukee	milwauke	Milwaukee
Mayor	mayor	Mayor
Tom	tom	Tom
Barrett	barrett	Barrett
said	said	said
.	.	.
He	he	He
had	had	had
the	the	the
gun	gun	gun
with	with	with
him	him	him
and	and	and
the	the	the
officer	offic	officer
fired	fire	fired
several	sever	several
times	time	time
.	.	.
Smith	smith	Smith
at	at	at
the	the	the
scene	scene	scene
.	.	.
It	it	It
s	s	s
unclear	unclear	unclear
whether	whether	whether
the	the	the
second	second	second
occupant	occup	occupant
of	of	of
the	the	the
car	car	car
is	is	is
in	in	in
police	polic	police
custody	custodi	custody
.	.	.
Smith	smith	Smith
was	was	wa
shot	shot	shot
twice	twice	twice
in	in	in
the	the	the
arm	arm	arm
and	and	and
chest	chest	chest
,	,	,
the	the	the
mayor	mayor	mayor
said	said	said
.	.	.
His	his	His
handgun	handgun	handgun
was	was	wa
stolen	stolen	stolen
during	dure	during
a	a	a
burglary	burglari	burglary
in	in	in
Waukesha	waukesha	Waukesha
in	in	in
March	march	March
,	,	,
according	accord	according
to	to	to
police	polic	police
.	.	.
The	the	The
victim	victim	victim
of	of	of
that	that	that
burglary	burglari	burglary
reported	report	reported
500	500	500
rounds	round	round
of	of	of
ammunition	ammunit	ammunition
were	were	were
also	also	also
stolen	stolen	stolen
with	with	with
the	the	the
handgun	handgun	handgun
,	,	,
police	polic	police
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
officer	offic	officer
,	,	,
24	24	24
,	,	,
was	was	wa
assigned	assign	assigned
to	to	to
District	district	District
7	7	7
and	and	and
has	has	ha
six	six	six
years	year	year
of	of	of
service	servic	service
with	with	with
the	the	the
Milwaukee	milwauke	Milwaukee
Police	polic	Police
Department	depart	Department
three	three	three
of	of	of
those	those	those
as	as	a
an	an	an
officer	offic	officer
.	.	.
He	he	He
was	was	wa
not	not	not
injured	injur	injured
and	and	and
will	will	will
be	be	be
placed	place	placed
on	on	on
administrative	administr	administrative
duty	duti	duty
during	dure	during
the	the	the
investigation	investig	investigation
and	and	and
subsequent	subsequ	subsequent
review	review	review
by	by	by
the	the	the
district	district	district
attorney	attorney	attorney
s	s	s
office	offic	office
.	.	.
Via	via	Via
FOX6Now	fox6now	FOX6Now
