Admitting	admit	Admitting
to	to	to
the	the	the
United	unit	United
States	state	States
something	someth	something
most	most	most
of	of	of
the	the	the
population	popul	population
already	alreadi	already
knew	knew	knew
considering	consid	considering
the	the	the
popular	popular	popular
vote	vote	vote
went	went	went
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
Donald	donald	Donald
Trump	trump	Trump
just	just	just
proved	prove	proved
to	to	to
the	the	the
nation	nation	nation
that	that	that
he	he	he
has	has	ha
no	no	no
principles	principl	principle
.	.	.
He	he	He
told	told	told
all	all	all
of	of	of
us	us	u
back	back	back
in	in	in
February	februari	February
that	that	that
he	he	he
would	would	would
never	never	never
settle	settl	settle
the	the	the
Trump	trump	Trump
University	univers	University
lawsuits	lawsuit	lawsuit
.	.	.
He	he	He
would	would	would
never	never	never
do	do	do
so	so	so
out	out	out
of	of	of
principle	principl	principle
!	!	!
Trump	trump	Trump
University	univers	University
has	has	ha
a	a	a
98	98	98
approval	approv	approval
rating	rate	rating
.	.	.
I	i	I
could	could	could
have	have	have
settled	settl	settled
but	but	but
won't	won't	won't
out	out	out
of	of	of
principle	principl	principle
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
29	29	29
,	,	,
2016But	2016but	2016But
,	,	,
uh	uh	uh
oh	oh	oh
!	!	!
Look	look	Look
what	what	what
just	just	just
happened	happen	happened
!	!	!
JUST	just	JUST
IN	in	IN
Trump	trump	Trump
has	has	ha
agreed	agre	agreed
to	to	to
settle	settl	settle
all	all	all
3	3	3
Trump	trump	Trump
University	univers	University
cases	case	case
for	for	for
25	25	25
million	million	million
,	,	,
source	sourc	source
says	say	say
.	.	.
https://t.co/KcO1gb9Ef3	https://t.co/kco1gb9ef3	https://t.co/KcO1gb9Ef3
@AaronKatersky	@aaronkaterski	@AaronKatersky
pic.twitter.com/ZnWLFbMcDn	pic.twitter.com/znwlfbmcdn	pic.twitter.com/ZnWLFbMcDn
ABC	abc	ABC
News	news	News
@ABC	@abc	@ABC
November	novemb	November
18	18	18
,	,	,
2016According	2016accord	2016According
to	to	to
ABC	abc	ABC
News	news	News
Attorneys	attorney	Attorneys
for	for	for
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
have	have	have
settled	settl	settled
all	all	all
three	three	three
fraud	fraud	fraud
civil	civil	civil
lawsuits	lawsuit	lawsuit
against	against	against
the	the	the
now	now	now
-defunct	-defunct	-defunct
Trump	trump	Trump
University	univers	University
for	for	for
25	25	25
million	million	million
and	and	and
no	no	no
admission	admiss	admission
of	of	of
wrongdoing	wrongdo	wrongdoing
,	,	,
according	accord	according
to	to	to
attorneys	attorney	attorney
on	on	on
both	both	both
sides	side	side
.	.	.
But	but	But
you	you	you
know	know	know
,	,	,
you	you	you
always	alway	always
fork	fork	fork
out	out	out
25	25	25
million	million	million
when	when	when
you	you	you
re	re	re
completely	complet	completely
innocent	innoc	innocent
,	,	,
right	right	right
?	?	?
C	c	C
mon	mon	mon
now	now	now
.	.	.
He	he	He
probably	probabl	probably
settled	settl	settled
so	so	so
there	there	there
wouldn	wouldn	wouldn
t	t	t
be	be	be
the	the	the
optics	optic	optic
of	of	of
a	a	a
president	presid	president
-elect	-elect	-elect
likely	like	likely
being	be	being
found	found	found
guilty	guilti	guilty
just	just	just
before	befor	before
his	his	his
inauguration	inaugur	inauguration
.	.	.
Settling	settl	Settling
it	it	it
makes	make	make
it	it	it
go	go	go
away	away	away
.	.	.
It	it	It
also	also	also
proves	prove	prof
Trump	trump	Trump
to	to	to
,	,	,
yet	yet	yet
again	again	again
,	,	,
be	be	be
a	a	a
raging	rage	raging
liar	liar	liar
,	,	,
because	becaus	because
he	he	he
did	did	did
end	end	end
up	up	up
settling	settl	settling
after	after	after
all	all	all
.	.	.
In	in	In
fact	fact	fact
,	,	,
Trump	trump	Trump
s	s	s
lead	lead	lead
attorney	attorney	attorney
Daniel	daniel	Daniel
Petrocelli	petrocelli	Petrocelli
said	said	said
We	we	We
can	can	can
all	all	all
put	put	put
the	the	the
history	histori	history
behind	behind	behind
us	us	u
and	and	and
move	move	move
forward	forward	forward
.	.	.
That	that	That
is	is	is
certainly	certain	certainly
the	the	the
view	view	view
of	of	of
President	presid	President
-elect	-elect	-elect
Trump	trump	Trump
who	who	who
looks	look	look
forward	forward	forward
to	to	to
tackling	tackl	tackling
the	the	the
problems	problem	problem
of	of	of
our	our	our
country	countri	country
.	.	.
With	with	With
the	the	the
Trump	trump	Trump
organization	organ	organization
saying	say	saying
they	they	they
