At	at	At
least	least	least
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
isn	isn	isn
t	t	t
a	a	a
quitter	quitter	quitter
like	like	like
Sarah	sarah	Sarah
Palin	palin	Palin
.	.	.
After	after	After
all	all	all
,	,	,
Sarah	sarah	Sarah
Palin	palin	Palin
could	could	could
have	have	have
remained	remain	remained
in	in	in
office	offic	office
as	as	a
Governor	governor	Governor
of	of	of
Alaska	alaska	Alaska
and	and	and
continued	continu	continued
to	to	to
build	build	build
a	a	a
political	polit	political
career	career	career
.	.	.
Instead	instead	Instead
,	,	,
Palin	palin	Palin
quit	quit	quit
halfway	halfway	halfway
through	through	through
her	her	her
term	term	term
to	to	to
pursue	pursu	pursue
reality	realiti	reality
stardom	stardom	stardom
and	and	and
has	has	ha
become	becom	become
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
desperate	desper	desperate
grifter	grifter	grifter
who	who	who
relies	reli	relies
on	on	on
donations	donat	donation
to	to	to
her	her	her
super	super	super
PAC	pac	PAC
to	to	to
maintain	maintain	maintain
her	her	her
lifestyle	lifestyl	lifestyle
.	.	.
That	that	That
s	s	s
not	not	not
fighting	fight	fighting
like	like	like
a	a	a
girl	girl	girl
,	,	,
it	it	it
s	s	s
conning	con	conning
like	like	like
a	a	a
conman	conman	conman
.	.	.
Massachusetts	massachusett	Massachusetts
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
,	,	,
however	howev	however
,	,	,
is	is	is
still	still	still
fighting	fight	fighting
for	for	for
women	women	woman
and	and	and
the	the	the
poor	poor	poor
and	and	and
middle	middl	middle
class	class	class
in	in	in
Congress	congress	Congress
and	and	and
could	could	could
very	veri	very
well	well	well
run	run	run
for	for	for
president	presid	president
in	in	in
2020	2020	2020
.	.	.
Warren	warren	Warren
has	has	ha
been	been	been
fighting	fight	fighting
for	for	for
the	the	the
American	american	American
people	peopl	people
for	for	for
years	year	year
and	and	and
has	has	ha
become	becom	become
a	a	a
symbol	symbol	symbol
of	of	of
the	the	the
women	women	woman
s	s	s
movement	movement	movement
.	.	.
That	that	That
s	s	s
why	whi	why
Warren	warren	Warren
posed	pose	posed
with	with	with
the	the	the
Fearless	fearless	Fearless
Girl	girl	Girl
statue	statu	statue
on	on	on
Tuesday	tuesday	Tuesday
and	and	and
posted	post	posted
the	the	the
image	imag	image
on	on	on
Twitter	twitter	Twitter
with	with	with
the	the	the
caption	caption	caption
,	,	,
Fight	fight	Fight
like	like	like
a	a	a
girl	girl	girl
.	.	.
Fight	fight	Fight
like	like	like
a	a	a
girl	girl	girl
.	.	.
pic.twitter.com/qGTn46jS9W	pic.twitter.com/qgtn46js9w	pic.twitter.com/qGTn46jS9W
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
April	april	April
18	18	18
,	,	,
2017And	2017and	2017And
of	of	of
course	cours	course
,	,	,
Sarah	sarah	Sarah
Palin	palin	Palin
whined	whine	whined
about	about	about
it	it	it
by	by	by
crying	cri	cry
to	to	to
Breitbart	breitbart	Breitbart
.	.	.
Palin	palin	Palin
claimed	claim	claimed
that	that	that
she	she	she
s	s	s
a	a	a
legit	legit	legit
fighter	fighter	fighter
for	for	for
women	women	woman
and	and	and
accused	accus	accused
Warren	warren	Warren
of	of	of
urging	urg	urging
women	women	woman
to	to	to
claim	claim	claim
victimization	victim	victimization
when	when	when
asked	ask	asked
about	about	about
her	her	her
use	use	use
of	of	of
the	the	the
phrase	phrase	phrase
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
.	.	.
Coming	come	Coming
from	from	from
liberals	liber	liberal
who	who	who
urge	urg	urge
women	women	woman
to	to	to
claim	claim	claim
victimization	victim	victimization
,	,	,
Fight	fight	Fight
like	like	like
a	a	a
girl	girl	girl
just	just	just
doesn	doesn	doesn
t	t	t
sound	sound	sound
the	the	the
same	same	same
as	as	a
when	when	when
legit	legit	legit
fighters	fighter	fighter
for	for	for
equality	equal	equality
say	say	say
it	it	it
,	,	,
mean	mean	mean
it	it	it
,	,	,
live	live	live
it	it	it
,	,	,
and	and	and
will	will	will
never	never	never
give	give	give
it	it	it
up	up	up
.	.	.
Basically	basic	Basically
,	,	,
Palin	palin	Palin
thinks	think	think
fighting	fight	fighting
like	like	like
a	a	a
girl	girl	girl
means	mean	mean
never	never	never
speaking	speak	speaking
up	up	up
when	when	when
you	you	you
re	re	re
being	be	being
treated	treat	treated
like	like	like
shit	shit	shit
.	.	.
Women	women	Women
in	in	in
this	this	this
country	countri	country
have	have	have
had	had	had
to	to	to
deal	deal	deal
with	with	with
rape	rape	rape
culture	cultur	culture
,	,	,
discrimination	discrimin	discrimination
,	,	,
and	and	and
pay	pay	pay
inequality	inequ	inequality
for	for	for
far	far	far
too	too	too
long	long	long
,	,	,
not	not	not
to	to	to
mention	mention	mention
all	all	all
the	the	the
attacks	attack	attack
on	on	on
reproductive	reproduct	reproductive
rights	right	right
coming	come	coming
from	from	from
right	right	right
-wingers	-winger	-wingers
like	like	like
Palin	palin	Palin
herself	herself	herself
.	.	.
How	how	How
can	can	can
one	one	one
claim	claim	claim
to	to	to
fight	fight	fight
like	like	like
a	a	a
girl	girl	girl
when	when	when
one	one	one
doesn	doesn	doesn
t	t	t
even	even	even
bother	bother	bother
to	to	to
fight	fight	fight
for	for	for
women	women	woman
rights	right	right
to	to	to
make	make	make
their	their	their
own	own	own
choices	choic	choice
about	about	about
their	their	their
own	own	own
bodies	bodi	body
?	?	?
As	as	As
usual	usual	usual
,	,	,
Palin	palin	Palin
