Wow	wow	Wow
!	!	!
What	what	What
a	a	a
nice	nice	nice
family	famili	family
A	a	A
man	man	man
s	s	s
parents	parent	parent
flew	flew	flew
out	out	out
to	to	to
Florida	florida	Florida
from	from	from
their	their	their
native	nativ	native
India	india	India
to	to	to
help	help	help
their	their	their
son	son	son
beat	beat	beat
his	his	his
wife	wife	wife
for	for	for
being	be	being
disobedient	disobedi	disobedient
,	,	,
police	polic	police
say	say	say
.	.	.
Devbir	devbir	Devbir
Kalsi	kalsi	Kalsi
,	,	,
33	33	33
,	,	,
and	and	and
his	his	his
parents	parent	parent
Jasbir	jasbir	Jasbir
,	,	,
67	67	67
,	,	,
and	and	and
Bhupinder	bhupind	Bhupinder
Kalsi	kalsi	Kalsi
,	,	,
61	61	61
,	,	,
were	were	were
arrested	arrest	arrested
after	after	after
his	his	his
wife	wife	wife
Silky	silki	Silky
Gaind	gaind	Gaind
,	,	,
33	33	33
,	,	,
was	was	wa
found	found	found
badly	bad	badly
beaten	beaten	beaten
and	and	and
being	be	being
held	held	held
against	against	against
her	her	her
will	will	will
at	at	at
their	their	their
Riverview	riverview	Riverview
home	home	home
.	.	.
Cops	cop	Cops
were	were	were
called	call	called
after	after	after
Gaind	gaind	Gaind
called	call	called
her	her	her
own	own	own
parents	parent	parent
,	,	,
back	back	back
in	in	in
India	india	India
,	,	,
to	to	to
tell	tell	tell
them	them	them
she	she	she
was	was	wa
being	be	being
beaten	beaten	beaten
by	by	by
her	her	her
husband	husband	husband
and	and	and
his	his	his
family	famili	family
.	.	.
When	when	When
deputies	deputi	deputy
arrived	arriv	arrived
,	,	,
they	they	they
found	found	found
the	the	the
door	door	door
blocked	block	blocked
by	by	by
Kalsi	kalsi	Kalsi
and	and	and
heard	heard	heard
the	the	the
victim	victim	victim
screaming	scream	screaming
inside	insid	inside
for	for	for
the	the	the
deputy	deputi	deputy
to	to	to
save	save	save
her	her	her
and	and	and
her	her	her
child	child	child
,	,	,
the	the	the
Hillsborough	hillsborough	Hillsborough
County	counti	County
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
said	said	said
.	.	.
The	the	The
deputy	deputi	deputy
burst	burst	burst
in	in	in
and	and	and
arrested	arrest	arrested
Kalsi	kalsi	Kalsi
before	befor	before
arresting	arrest	arresting
his	his	his
parents	parent	parent
.	.	.
Police	polic	Police
report	report	report
that	that	that
Kalsi	kalsi	Kalsi
would	would	would
regularly	regular	regularly
beat	beat	beat
his	his	his
wife	wife	wife
and	and	and
had	had	had
called	call	called
Jasbir	jasbir	Jasbir
and	and	and
Bhupinder	bhupind	Bhupinder
Kalsi	kalsi	Kalsi
asking	ask	asking
them	them	them
to	to	to
fly	fli	fly
over	over	over
to	to	to
help	help	help
counsel	counsel	counsel
and	and	and
discipline	disciplin	discipline
Gaind	gaind	Gaind
for	for	for
being	be	being
disobedient	disobedi	disobedient
.	.	.
The	the	The
beatings	beat	beating
continued	continu	continued
,	,	,
while	while	while
Gaind	gaind	Gaind
was	was	wa
locked	lock	locked
in	in	in
her	her	her
room	room	room
and	and	and
had	had	had
her	her	her
cell	cell	cell
phone	phone	phone
taken	taken	taken
from	from	from
her	her	her
.	.	.
It	it	It
escalated	escal	escalated
on	on	on
Friday	friday	Friday
,	,	,
when	when	when
Devbir	devbir	Devbir
Kalsi	kalsi	Kalsi
and	and	and
his	his	his
wife	wife	wife
got	got	got
into	into	into
an	an	an
argument	argument	argument
.	.	.
The	the	The
arrest	arrest	arrest
report	report	report
states	state	state
that	that	that
Kalsi	kalsi	Kalsi
struck	struck	struck
her	her	her
repeatedly	repeat	repeatedly
and	and	and
forcefully	forc	forcefully
,	,	,
and	and	and
when	when	when
Gaind	gaind	Gaind
attempted	attempt	attempted
to	to	to
defend	defend	defend
herself	herself	herself
,	,	,
his	his	his
parents	parent	parent
began	began	began
hitting	hit	hitting
her	her	her
too	too	too
,	,	,
leaving	leav	leaving
bruises	bruis	bruise
on	on	on
her	her	her
face	face	face
,	,	,
neck	neck	neck
and	and	and
torso	torso	torso
.	.	.
Gaind	gaind	Gaind
s	s	s
young	young	young
daughter	daughter	daughter
,	,	,
who	who	who
was	was	wa
in	in	in
her	her	her
arms	arm	arm
during	dure	during
the	the	the
attack	attack	attack
,	,	,
was	was	wa
also	also	also
struck	struck	struck
in	in	in
the	the	the
face	face	face
.	.	.
Kalsi	kalsi	Kalsi
then	then	then
allegedly	alleg	allegedly
held	held	held
a	a	a
kitchen	kitchen	kitchen
knife	knife	knife
to	to	to
her	her	her
throat	throat	throat
and	and	and
threatened	threaten	threatened
to	to	to
stab	stab	stab
her	her	her
.	.	.
Devbir	devbir	Devbir
and	and	and
Jasbir	jasbir	Jasbir
Kalsi	kalsi	Kalsi
may	may	may
face	face	face
charges	charg	charge
of	of	of
false	fals	false
imprisonment	imprison	imprisonment
,	,	,
child	child	child
abuse	abus	abuse
and	and	and
denying	deni	denying
access	access	access
to	to	to
911	911	911
,	,	,
according	accord	according
to	to	to
the	the	the
Tampa	tampa	Tampa
Bay	bay	Bay
Times	time	Times
.	.	.
All	all	All
three	three	three
could	could	could
also	also	also
be	be	be
deported	deport	deported
back	back	back
to	to	to
India	india	India
.	.	.
They	they	They
are	are	are
currently	current	currently
being	be	being
held	held	held
without	without	without
bail	bail	bail
at	at	at
Hillsborough	hillsborough	Hillsborough
County	counti	County
Jail	jail	Jail
.	.	.
Daily	daili	Daily
Mail	mail	Mail
