Before	befor	Before
Lavar	lavar	Lavar
Ball	ball	Ball
,	,	,
the	the	the
ungrateful	ungrat	ungrateful
father	father	father
of	of	of
accused	accus	accused
criminal	crimin	criminal
,	,	,
and	and	and
UCLA	ucla	UCLA
basketball	basketbal	basketball
player	player	player
,	,	,
LiAngelo	liangelo	LiAngelo
Ball	ball	Ball
,	,	,
goes	goe	go
off	off	off
on	on	on
a	a	a
public	public	public
rant	rant	rant
about	about	about
how	how	how
unappreciative	unappreci	unappreciative
he	he	he
for	for	for
President	presid	President
Trump	trump	Trump
s	s	s
help	help	help
,	,	,
when	when	when
he	he	he
interceded	interced	interceded
on	on	on
behalf	behalf	behalf
of	of	of
his	his	his
son	son	son
and	and	and
2	2	2
other	other	other
UCLA	ucla	UCLA
basketball	basketbal	basketball
players	player	player
,	,	,
who	who	who
were	were	were
caught	caught	caught
shoplifting	shoplift	shoplifting
at	at	at
a	a	a
Louis	loui	Louis
Vuitton	vuitton	Vuitton
store	store	store
in	in	in
China	china	China
,	,	,
he	he	he
may	may	may
want	want	want
to	to	to
consider	consid	consider
,	,	,
that	that	that
without	without	without
the	the	the
help	help	help
of	of	of
President	presid	President
Trump	trump	Trump
,	,	,
his	his	his
son	son	son
could	could	could
be	be	be
sitting	sit	sitting
in	in	in
a	a	a
Chinese	chines	Chinese
prison	prison	prison
for	for	for
the	the	the
next	next	next
10	10	10
years	year	year
.	.	.
Lavar	lavar	Lavar
Ball	ball	Ball
might	might	might
also	also	also
want	want	want
to	to	to
consider	consid	consider
that	that	that
President	presid	President
Trump	trump	Trump
was	was	wa
under	under	under
no	no	no
obligation	oblig	obligation
to	to	to
ask	ask	ask
President	presid	President
Xi	xi	Xi
to	to	to
get	get	get
involved	involv	involved
in	in	in
the	the	the
public	public	public
relations	relat	relation
nightmare	nightmar	nightmare
that	that	that
took	took	took
place	place	place
while	while	while
our	our	our
President	presid	President
was	was	wa
a	a	a
guest	guest	guest
in	in	in
China	china	China
,	,	,
to	to	to
help	help	help
negotiate	negoti	negotiate
their	their	their
release	releas	release
,	,	,
and	and	and
here	here	here
s	s	s
why	whi	why
Days	day	Days
after	after	after
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
touted	tout	touted
his	his	his
role	role	role
in	in	in
the	the	the
release	releas	release
of	of	of
three	three	three
UCLA	ucla	UCLA
basketball	basketbal	basketball
students	student	student
who	who	who
were	were	were
arrested	arrest	arrested
in	in	in
China	china	China
,	,	,
LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
the	the	the
father	father	father
of	of	of
one	one	one
of	of	of
those	those	those
players	player	player
,	,	,
suggested	suggest	suggested
the	the	the
President	presid	President
had	had	had
little	littl	little
to	to	to
do	do	do
with	with	with
the	the	the
matter	matter	matter
.	.	.

Who	who	Who
?	?	?

Ball	ball	Ball
told	told	told
ESPN	espn	ESPN
when	when	when
asked	ask	asked
about	about	about
Trump	trump	Trump
s	s	s
involvement	involv	involvement
in	in	in
the	the	the
situation	situat	situation
.	.	.

What	what	What
was	was	wa
he	he	he
over	over	over
there	there	there
for	for	for
?	?	?

Don	don	Don
t	t	t
tell	tell	tell
me	me	me
nothing	noth	nothing
.	.	.

Everybody	everybodi	Everybody
wants	want	want
to	to	to
make	make	make
it	it	it
seem	seem	seem
like	like	like
he	he	he
helped	help	helped
me	me	me
out	out	out
.	.	.

They	they	They
try	tri	try
to	to	to
make	make	make
a	a	a
big	big	big
deal	deal	deal
out	out	out
of	of	of
nothing	noth	nothing
sometimes	sometim	sometimes
.	.	.

I	i	I
m	m	m
from	from	from
L	l	L
.	.	.
A	a	A
.	.	.
I	i	I
ve	ve	ve
seen	seen	seen
a	a	a
lot	lot	lot
worse	wors	worse
things	thing	thing
happen	happen	happen
