A	a	A
14	14	14
-year-old	-year-old	-year-old
boy	boy	boy
suffered	suffer	suffered
a	a	a
gunshot	gunshot	gunshot
wound	wound	wound
to	to	to
the	the	the
leg	leg	leg
Wednesday	wednesday	Wednesday
April	april	April
8	8	8
after	after	after
a	a	a
woman	woman	woman
drove	drove	drove
him	him	him
and	and	and
five	five	five
other	other	other
juveniles	juvenil	juvenile
to	to	to
a	a	a
residence	resid	residence
in	in	in
Kenner	kenner	Kenner
to	to	to
continue	continu	continue
a	a	a
fight	fight	fight
that	that	that
had	had	had
occurred	occur	occurred
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
,	,	,
authorities	author	authority
said	said	said
.	.	.
Police	polic	Police
arrested	arrest	arrested
the	the	the
woman	woman	woman
,	,	,
Lakenya	lakenya	Lakenya
Hall	hall	Hall
,	,	,
35	35	35
,	,	,
of	of	of
Kenner	kenner	Kenner
,	,	,
because	becaus	because
she	she	she
instigated	instig	instigated
the	the	the
fight	fight	fight
by	by	by
taking	take	taking
over	over	over
the	the	the
group	group	group
of	of	of
boys	boy	boy
,	,	,
which	which	which
included	includ	included
her	her	her
own	own	own
11	11	11
-	-	-
and	and	and
15	15	15
-year-old	-year-old	-year-old
sons	son	son
,	,	,
said	said	said
Lt	lt	Lt
.	.	.
Brian	brian	Brian
McGregor	mcgregor	McGregor
,	,	,
spokesman	spokesman	spokesman
for	for	for
the	the	the
Kenner	kenner	Kenner
Police	polic	Police
Department	depart	Department
.	.	.
The	the	The
injured	injur	injured
teen	teen	teen
was	was	wa
taken	taken	taken
to	to	to
nearby	nearbi	nearby
Ochsner	ochsner	Ochsner
Medical	medic	Medical
Center	center	Center
in	in	in
Kenner	kenner	Kenner
where	where	where
he	he	he
is	is	is
expected	expect	expected
to	to	to
recover	recov	recover
.	.	.
The	the	The
shooting	shoot	shooting
occurred	occur	occurred
just	just	just
after	after	after
5	5	5
p	p	p
.	.	.
m	m	m
.	.	.
Wednesday	wednesday	Wednesday
in	in	in
the	the	the
3500	3500	3500
block	block	block
of	of	of
West	west	West
Louisiana	louisiana	Louisiana
State	state	State
Drive	drive	Drive
in	in	in
Kenner	kenner	Kenner
.	.	.
Police	polic	Police
learned	learn	learned
that	that	that
the	the	the
teens	teen	teen
had	had	had
been	been	been
involved	involv	involved
in	in	in
an	an	an
earlier	earlier	earlier
fight	fight	fight
at	at	at
a	a	a
bus	bus	bus
stop	stop	stop
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
Authorities	author	Authorities
aren	aren	aren
t	t	t
sure	sure	sure
what	what	what
the	the	the
teens	teen	teen
were	were	were
fighting	fight	fighting
about	about	about
.	.	.
Afterwards	afterward	Afterwards
,	,	,
Hall	hall	Hall
,	,	,
of	of	of
225	225	225
Clemson	clemson	Clemson
Place	place	Place
,	,	,
drove	drove	drove
six	six	six
juveniles	juvenil	juvenile
about	about	about
a	a	a
mile	mile	mile
and	and	and
a	a	a
half	half	half
away	away	away
from	from	from
their	their	their
Lincoln	lincoln	Lincoln
Manor	manor	Manor
neighborhood	neighborhood	neighborhood
to	to	to
West	west	West
Louisiana	louisiana	Louisiana
State	state	State
Drive	drive	Drive
to	to	to
continue	continu	continue
the	the	the
brawl	brawl	brawl
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
At	at	At
some	some	some
point	point	point
,	,	,
a	a	a
15	15	15
-year-old	-year-old	-year-old
boy	boy	boy
being	be	being
confronted	confront	confronted
by	by	by
Hall	hall	Hall
s	s	s
group	group	group
pulled	pull	pulled
out	out	out
a	a	a
.	.	.
22	22	22
-caliber	-calib	-caliber
pistol	pistol	pistol
that	that	that
had	had	had
been	been	been
stored	store	stored
in	in	in
a	a	a
backpack	backpack	backpack
and	and	and
began	began	began
chasing	chase	chasing
them	them	them
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
He	he	He
opened	open	opened
fire	fire	fire
,	,	,
hitting	hit	hitting
the	the	the
14	14	14
-year-old	-year-old	-year-old
boy	boy	boy
.	.	.
Police	polic	Police
arrested	arrest	arrested
the	the	the
15	15	15
-year-old	-year-old	-year-old
boy	boy	boy
and	and	and
booked	book	booked
him	him	him
with	with	with
aggravated	aggrav	aggravated
battery	batteri	battery
,	,	,
illegal	illeg	illegal
possession	possess	possession
of	of	of
a	a	a
