Some	some	Some
people	peopl	people
believe	believ	believe
that	that	that
Trump	trump	Trump
is	is	is
journaling	journal	journaling
his	his	his
thoughts	thought	thought
by	by	by
posting	post	posting
on	on	on
Twitter	twitter	Twitter
.	.	.

He	he	He
s	s	s
being	be	being
transparent	transpar	transparent
,	,	,
they	they	they
say	say	say
.	.	.
What	what	What
these	these	these
people	peopl	people
fail	fail	fail
to	to	to
realize	realiz	realize
is	is	is
,	,	,
maybe	mayb	maybe
sharing	share	sharing
his	his	his
thoughts	thought	thought
to	to	to
the	the	the
entire	entir	entire
world	world	world
isn	isn	isn
t	t	t
the	the	the
best	best	best
idea	idea	idea
.	.	.
Or	or	Or
,	,	,
maybe	mayb	maybe
it	it	it
is	is	is
a	a	a
good	good	good
idea	idea	idea
.	.	.

We	we	We
get	get	get
to	to	to
really	realli	really
see	see	see
what	what	what
kind	kind	kind
of	of	of
man	man	man
Trump	trump	Trump
is	is	is
while	while	while
he	he	he
shoots	shoot	shoot
himself	himself	himself
in	in	in
the	the	the
foot	foot	foot
.	.	.
According	accord	According
to	to	to
Fortune	fortun	Fortune
,	,	,
Donald	donald	Donald
Trump	trump	Trump
s	s	s
tweets	tweet	tweet
about	about	about
his	his	his
travel	travel	travel
ban	ban	ban
helped	help	helped
convince	convinc	convince
an	an	an
appeals	appeal	appeal
court	court	court
to	to	to
block	block	block
the	the	the
controversial	controversi	controversial
plan	plan	plan
once	onc	once
again	again	again
.	.	.

It	it	It
s	s	s
the	the	the
second	second	second
time	time	time
his	his	his
own	own	own
comments	comment	comment
have	have	have
helped	help	helped
the	the	the
courts	court	court
knock	knock	knock
down	down	down
the	the	the
executive	execut	executive
order	order	order
.	.	.
The	the	The
9th	9th	9th
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
came	came	came
to	to	to
a	a	a
decision	decis	decision
on	on	on
Monday	monday	Monday
,	,	,
ruling	rule	ruling
that	that	that
Trump	trump	Trump
s	s	s
attempt	attempt	attempt
to	to	to
block	block	block
immigration	immigr	immigration
from	from	from
six	six	six
predominantly	predomin	predominantly
Muslim	muslim	Muslim
countries	countri	country
exceeded	exceed	exceeded
the	the	the
scope	scope	scope
of	of	of
the	the	the
authority	author	authority
delegated	deleg	delegated
to	to	to
him	him	him
by	by	by
Congress	congress	Congress
.	.	.

In	in	In
their	their	their
ruling	rule	ruling
,	,	,
the	the	the
judges	judg	judge
cited	cite	cited
a	a	a
tweet	tweet	tweet
from	from	from
the	the	the
President	presid	President
that	that	that
was	was	wa
posted	post	posted
after	after	after
the	the	the
recent	recent	recent
terrorist	terrorist	terrorist
attack	attack	attack
in	in	in
London	london	London
.	.	.

In	in	In
this	this	this
tweet	tweet	tweet
,	,	,
Trump	trump	Trump
stated	state	stated
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
needed	need	needed
a	a	a
travel	travel	travel
ban	ban	ban
for	for	for
certain	certain	certain
dangerous	danger	dangerous
countries	countri	country
.	.	.

President	presid	President
Trump	trump	Trump
s	s	s
tweets	tweet	tweet
continue	continu	continue
to	to	to
be	be	be
cited	cite	cited
in	in	in
court	court	court
decisions	decis	decision
.	.	.

This	this	This
from	from	from
the	the	the
9th	9th	9th
circuit	circuit	circuit
just	just	just
now	now	now
pic.twitter.com/4qN3thefAq	pic.twitter.com/4qn3thefaq	pic.twitter.com/4qN3thefAq
Matt	matt	Matt
Viser	viser	Viser
@mviser	@mviser	@mviser
June	june	June
12	12	12
,	,	,
2017Gee	2017gee	2017Gee
.	.	.

I	i	I
wonder	wonder	wonder
which	which	which
countries	countri	country
he	he	he
means	mean	mean
.	.	.
Trump	trump	Trump
didn	didn	didn
t	t	t
stop	stop	stop
at	at	at
one	one	one
tweet	tweet	tweet
about	about	about
the	the	the
ban	ban	ban
,	,	,
either	either	either
.	.	.

Trump	trump	Trump
also	also	also
tweeted	tweet	tweeted
that	that	that
he	he	he
supported	support	supported
his	his	his
original	origin	original
order	order	order
,	,	,
not	not	not
the	the	the
watered	water	watered
down	down	down
,	,	,
politically	polit	politically
correct	correct	correct
version	version	version
that	that	that
his	his	his
own	own	own
advisers	advis	adviser
had	had	had
convinced	convinc	convinced
him	him	him
to	to	to
sign	sign	sign
.	.	.
The	the	The
Justice	justic	Justice
Dept	dept	Dept
.	.	.

should	should	should
have	have	have
stayed	stay	stayed
with	with	with
the	the	the
original	origin	original
Travel	travel	Travel
Ban	ban	Ban
,	,	,
not	not	not
the	the	the
watered	water	watered
down	down	down
,	,	,
politically	polit	politically
correct	correct	correct
version	version	version
they	they	they
submitted	submit	submitted
to	to	to
S	s	S
.	.	.
C	c	C
.	.	.
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
5	5	5
,	,	,
2017No	2017no	2017No
matter	matter	matter
what	what	what
way	way	way
they	they	they
try	tri	try
to	to	to
spin	spin	spin
it	it	it
,	,	,
we	we	we
all	all	all
know	know	know
that	that	that
Trump	trump	Trump
means	mean	mean
a	a	a
disgusting	disgust	disgusting
Muslim	muslim	Muslim
ban	ban	ban
.	.	.

He	he	He
even	even	even
outright	outright	outright
admitted	admit	admitted
it	it	it
by	by	by
saying	say	saying
he	he	he
does	doe	doe
