THESE	these	THESE
HOLIER	holier	HOLIER
THAN	than	THAN
THOU	thou	THOU
PEOPLE	peopl	PEOPLE
ARE	are	ARE
SICKENING	sicken	SICKENING
!	!	!

Since	sinc	Since
when	when	when
does	doe	doe
someone	someon	someone
pretty	pretti	pretty
much	much	much
get	get	get
fired	fire	fired
for	for	for
saying	say	saying
nothing	noth	nothing
wrong	wrong	wrong
AT	at	AT
ALL	all	ALL
?	?	?

Bill	bill	Bill
Bush	bush	Bush
will	will	will
never	never	never
darken	darken	darken
the	the	the
door	door	door
of	of	of
The	the	The
Today	today	Today
Show	show	Show
because	becaus	because
of	of	of
NOTHING	noth	NOTHING
!	!	!

This	this	This
entire	entir	entire
situation	situat	situation
is	is	is
so	so	so
out	out	out
of	of	of
control	control	control
it	it	it
s	s	s
sickening	sicken	sickening
!	!	!

Billy	billi	Billy
Bush	bush	Bush
has	has	ha
been	been	been
suspended	suspend	suspended
from	from	from
the	the	the
Today	today	Today
show	show	show
pending	pend	pending
further	further	further
review	review	review
of	of	of
the	the	the
matter	matter	matter
,	,	,
NBC	nbc	NBC
News	news	News
said	said	said
Sunday	sunday	Sunday
night	night	night
.	.	.
It	it	It
is	is	is
unclear	unclear	unclear
if	if	if
he	he	he
will	will	will
ever	ever	ever
return	return	return
to	to	to
the	the	the
broadcast	broadcast	broadcast
.	.	.

He	he	He
will	will	will
never	never	never
be	be	be
on	on	on
the	the	the
show	show	show
again	again	again
,	,	,
an	an	an
on	on	on
-air	-air	-air
source	sourc	source
said	said	said
,	,	,
reflecting	reflect	reflecting
what	what	what
staffers	staffer	staffer
are	are	are
saying	say	saying
behind	behind	behind
the	the	the
scenes	scene	scene
.	.	.
The	the	The
sudden	sudden	sudden
change	chang	change
came	came	came
amid	amid	amid
a	a	a
chorus	chorus	chorus
of	of	of
calls	call	call
for	for	for
disciplinary	disciplinari	disciplinary
action	action	action
against	against	against
Bush	bush	Bush
over	over	over
his	his	his
vulgar	vulgar	vulgar
2005	2005	2005
conversation	convers	conversation
with	with	with
Donald	donald	Donald
Trump	trump	Trump
that	that	that
was	was	wa
caught	caught	caught
on	on	on
tape	tape	tape
and	and	and
revealed	reveal	revealed
on	on	on
Friday	friday	Friday
.	.	.
NBC	nbc	NBC
sources	sourc	source
initially	initi	initially
said	said	said
Bush	bush	Bush
was	was	wa
not	not	not
being	be	being
