Everyone	everyon	Everyone
needs	need	need
to	to	to
read	read	read
this	this	this
letter	letter	letter
click	click	click
HERE	here	HERE
from	from	from
Apple	appl	Apple
s	s	s
CEO	ceo	CEO
Tim	tim	Tim
Cook	cook	Cook
to	to	to
their	their	their
customers	custom	customer
before	befor	before
they	they	they
chose	chose	chose
sides	side	side
in	in	in
this	this	this
issue	issu	issue
If	if	If
the	the	the
FBI	fbi	FBI
wins	win	win
in	in	in
its	it	it
case	case	case
against	against	against
Apple	appl	Apple
to	to	to
help	help	help
it	it	it
unlock	unlock	unlock
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
killer	killer	killer
s	s	s
iPhone	iphon	iPhone
5C	5c	5C
,	,	,
it	it	it
won	won	won
t	t	t
be	be	be
long	long	long
before	befor	before
the	the	the
government	govern	government
forces	forc	force
Apple	appl	Apple
to	to	to
turn	turn	turn
on	on	on
users	user	user
iPhone	iphon	iPhone
cameras	camera	camera
and	and	and
microphones	microphon	microphone
to	to	to
spy	spi	spy
on	on	on
them	them	them
,	,	,
according	accord	according
to	to	to
the	the	the
company	compani	company
s	s	s
head	head	head
of	of	of
services	servic	service
Eddy	eddi	Eddy
Cue	cue	Cue
.	.	.
The	the	The
FBI	fbi	FBI
has	has	ha
demanded	demand	demanded
that	that	that
Apple	appl	Apple
creates	creat	creates
custom	custom	custom
software	softwar	software
that	that	that
bypasses	bypass	bypass
certain	certain	certain
security	secur	security
features	featur	feature
of	of	of
the	the	the
company	compani	company
s	s	s
iOS	io	iOS
to	to	to
allow	allow	allow
law	law	law
enforcement	enforc	enforcement
to	to	to
brute	brute	brute
force	forc	force
the	the	the
passcode	passcod	passcode
of	of	of
the	the	the
gunman	gunman	gunman
s	s	s
iPhone	iphon	iPhone
5C	5c	5C
.	.	.
But	but	But
according	accord	according
to	to	to
Apple	appl	Apple
,	,	,
making	make	making
the	the	the
modifications	modif	modification
necessary	necessari	necessary
in	in	in
this	this	this
case	case	case
would	would	would
set	set	set
a	a	a
dangerous	danger	dangerous
precedent	preced	precedent
in	in	in
offering	offer	offering
backdoors	backdoor	backdoor
into	into	into
users	user	user
smartphones	smartphon	smartphones
.	.	.
Cue	cue	Cue
said	said	said
to	to	to
Univision	univis	Univision
Someday	someday	Someday
they	they	they
will	will	will
want	want	want
Apple	appl	Apple
to	to	to
turn	turn	turn
on	on	on
a	a	a
user	user	user
s	s	s
camera	camera	camera
or	or	or
microphone	microphon	microphone
.	.	.

We	we	We
can	can	can
t	t	t
do	do	do
that	that	that
now	now	now
,	,	,
but	but	but
what	what	what
if	if	if
we	we	we
re	re	re
forced	forc	forced
to	to	to
do	do	do
that	that	that
?	?	?

Where	where	Where
will	will	will
this	this	this
stop	stop	stop
?	?	?

In	in	In
a	a	a
divorce	divorc	divorce
case	case	case
?	?	?

In	in	In
an	an	an
immigration	immigr	immigration
case	case	case
?	?	?

In	in	In
a	a	a
tax	tax	tax
case	case	case
?	?	?

Some	some	Some
day	day	day
,	,	,
someone	someon	someone
will	will	will
be	be	be
able	abl	able
to	to	to
turn	turn	turn
on	on	on
a	a	a
phone	phone	phone
s	s	s
microphone	microphon	microphone
.	.	.

That	that	That
should	should	should
not	not	not
happen	happen	happen
in	in	in
this	this	this
country	countri	country
.	.	.

An	an	An
exerpt	exerpt	exerpt
from	from	from
a	a	a
letter	letter	letter
to	to	to
Apple	appl	Apple
customers	custom	customer
from	from	from
Apple	appl	Apple
CEO	ceo	CEO
Tim	tim	Tim
Cook	cook	Cook
The	the	The
FBI	fbi	FBI
may	may	may
use	use	use
different	differ	different
words	word	word
to	to	to
describe	describ	describe
this	this	this
tool	tool	tool
,	,	,
but	but	but
make	make	make
no	no	no
mistake	mistak	mistake
Building	build	Building
a	a	a
version	version	version
of	of	of
iOS	io	iOS
that	that	that
bypasses	bypass	bypass
security	secur	security
in	in	in
this	this	this
way	way	way
would	would	would
undeniably	undeni	undeniably
create	creat	create
a	a	a
backdoor	backdoor	backdoor
.	.	.

And	and	And
while	while	while
the	the	the
government	govern	government
may	may	may
argue	argu	argue
that	that	that
its	it	it
use	use	use
would	would	would
be	be	be
limited	limit	limited
to	to	to
this	this	this
case	case	case
,	,	,
there	there	there
is	is	is
no	no	no
way	way	way
to	to	to
guarantee	guarante	guarantee
such	such	such
control	control	control
.	.	.
The	the	The
FBI	fbi	FBI
may	may	may
use	use	use
different	differ	different
words	word	word
to	to	to
describe	describ	describe
this	this	this
tool	tool	tool
,	,	,
but	but	but
make	make	make
no	no	no
mistake	mistak	mistake
Building	build	Building
a	a	a
version	version	version
of	of	of
iOS	io	iOS
that	that	that
bypasses	bypass	bypass
security	secur	security
in	in	in
this	this	this
way	way	way
would	would	would
undeniably	undeni	undeniably
create	creat	create
a	a	a
backdoor	backdoor	backdoor
.	.	.

And	and	And
while	while	while
the	the	the
government	govern	government
may	may	may
argue	argu	argue
that	that	that
its	it	it
use	use	use
would	would	would
be	be	be
limited	limit	limited
to	to	to
this	this	this
case	case	case
,	,	,
there	there	there
is	is	is
no	no	no
way	way	way
to	to	to
guarantee	guarante	guarantee
such	such	such
control	control	control
.	.	.
The	the	The
FBI	fbi	FBI
is	is	is
trying	tri	trying
to	to	to
access	access	access
the	the	the
locked	lock	locked
iPhone	iphon	iPhone
of	of	of
one	one	one
of	of	of
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
killers	killer	killer
and	and	and
insists	insist	insists
it	it	it
needs	need	need
Apple	appl	Apple
s	s	s
due	due	due
to	to	to
the	the	the
software	softwar	software
protections	protect	protection
built	built	built
into	into	into
iOS	io	iOS
,	,	,
which	which	which
require	requir	require
Apple	appl	Apple
s	s	s
unique	uniqu	unique
signature	signatur	signature
.	.	.
But	but	But
security	secur	security
expert	expert	expert
and	and	and
NSA	nsa	NSA
surveillance	surveil	surveillance
leaker	leaker	leaker
Edward	edward	Edward
Snowden	snowden	Snowden
recently	recent	recently
said	said	said
that	that	that
the	the	the
FBI	fbi	FBI
s	s	s
assertions	assert	assertion
that	that	that
only	onli	only
Apple	appl	Apple
has	has	ha
the	the	the
capability	capabl	capability
to	to	to
unlock	unlock	unlock
the	the	the
phone	phone	phone
is	is	is
respectfully	respect	respectfully
,	,	,
bullshit	bullshit	bullshit
.	.	.
Watch	watch	Watch
here	here	here
For	for	For
entire	entir	entire
story	stori	story
The	the	The
Guardian	guardian	Guardian

