On	on	On
May	may	May
31	31	31
the	the	the
state	state	state
of	of	of
Arizona	arizona	Arizona
ran	ran	ran
out	out	out
of	of	of
midazolam	midazolam	midazolam
,	,	,
a	a	a
sedative	sedat	sedative
which	which	which
,	,	,
when	when	when
mixed	mix	mixed
with	with	with
other	other	other
drugs	drug	drug
,	,	,
can	can	can
be	be	be
used	use	used
to	to	to
carry	carri	carry
out	out	out
state	state	state
-sponsored	-sponsor	-sponsored
executions	execut	execution
.	.	.

Arizona	arizona	Arizona
officials	offici	official
later	later	later
announced	announc	announced
that	that	that
the	the	the
state	state	state
had	had	had
discontinued	discontinu	discontinued
use	use	use
of	of	of
the	the	the
drug	drug	drug
altogether	altogeth	altogether
.	.	.
This	this	This
is	is	is
good	good	good
news	news	news
for	for	for
opponents	oppon	opponent
of	of	of
the	the	the
death	death	death
penalty	penalti	penalty
.	.	.

Thanks	thank	Thanks
to	to	to
their	their	their
advocacy	advocaci	advocacy
,	,	,
the	the	the
supply	suppli	supply
of	of	of
midazolam	midazolam	midazolam
has	has	ha
all	all	all
but	but	but
dried	dri	dried
up	up	up
in	in	in
Arizona	arizona	Arizona
and	and	and
elsewhere	elsewher	elsewhere
.	.	.

Better	better	Better
still	still	still
,	,	,
Arizona	arizona	Arizona
is	is	is
no	no	no
longer	longer	longer
able	abl	able
to	to	to
obtain	obtain	obtain
other	other	other
drugs	drug	drug
used	use	used
in	in	in
executions	execut	execution
,	,	,
such	such	such
as	as	a
pentobarbital	pentobarbit	pentobarbital
and	and	and
sodium	sodium	sodium
thiopental	thiopent	thiopental
.	.	.
In	in	In
a	a	a
court	court	court
filing	file	filing
this	this	this
week	week	week
,	,	,
lawyers	lawyer	lawyer
for	for	for
the	the	the
state	state	state
basically	basic	basically
admitted	admit	admitted
Arizona	arizona	Arizona
s	s	s
hands	hand	hand
are	are	are
tied	tie	tied
.	.	.

According	accord	According
to	to	to
the	the	the
documents	document	document
,	,	,
Arizona	arizona	Arizona
is	is	is
not	not	not
able	abl	able
to	to	to
execute	execut	execute
inmates	inmat	inmate
at	at	at
this	this	this
time	time	time
,	,	,
due	due	due
to	to	to
lack	lack	lack
of	of	of
access	access	access
to	to	to
various	various	various
execution	execut	execution
drugs	drug	drug
.	.	.
The	the	The
last	last	last
person	person	person
to	to	to
be	be	be
executed	execut	executed
in	in	in
Arizona	arizona	Arizona
was	was	wa
Joseph	joseph	Joseph
Rudolph	rudolph	Rudolph
Wood	wood	Wood
.	.	.

In	in	In
2014	2014	2014
,	,	,
Wood	wood	Wood
was	was	wa
given	given	given
15	15	15
doses	dose	dos
of	of	of
midazolam	midazolam	midazolam
along	along	along
with	with	with
a	a	a
pain	pain	pain
killer	killer	killer
.	.	.

It	it	It
took	took	took
him	him	him
two	two	two
hours	hour	hour
to	to	to
die	die	die
.	.	.
Following	follow	Following
the	the	the
botched	botch	botched
execution	execut	execution
,	,	,
attorney	attorney	attorney
s	s	s
from	from	from
the	the	the
public	public	public
defender	defend	defender
s	s	s
office	offic	office
filed	file	filed
suit	suit	suit
on	on	on
behalf	behalf	behalf
of	of	of
Wood	wood	Wood
and	and	and
other	other	other
Arizona	arizona	Arizona
inmates	inmat	inmate
.	.	.

A	a	A
coalition	coalit	coalition
of	of	of
media	media	medium
organizations	organ	organization
joined	join	joined
in	in	in
the	the	the
suit	suit	suit
,	,	,
asking	ask	asking
the	the	the
court	court	court
to	to	to
compel	compel	compel
the	the	the
state	state	state
to	to	to
fully	fulli	fully
disclose	disclos	disclose
how	how	how
it	it	it
handles	handl	handle
executions	execut	execution
.	.	.
In	in	In
a	a	a
recent	recent	recent
court	court	court
filing	file	filing
,	,	,
attorneys	attorney	attorney
for	for	for
the	the	the
state	state	state
of	of	of
Arizona	arizona	Arizona
asked	ask	asked
the	the	the
judge	judg	judge
to	to	to
dismiss	dismiss	dismiss
the	the	the
lawsuit	lawsuit	lawsuit
.	.	.

The	the	The
state	state	state
claims	claim	claim
that	that	that
the	the	the
suit	suit	suit
is	is	is
now	now	now
moot	moot	moot
,	,	,
citing	cite	citing
the	the	the
fact	fact	fact
that	that	that
it	it	it
is	is	is
no	no	no
longer	longer	longer
able	abl	able
to	to	to
carry	carri	carry
out	out	out
executions	execut	execution
,	,	,
due	due	due
to	to	to
lack	lack	lack
of	of	of
access	access	access
to	to	to
lethal	lethal	lethal
-injection	-inject	-injection
drugs	drug	drug
.	.	.
As	as	As
Addicting	addict	Addicting
Info	info	Info
reported	report	reported
here	here	here
,	,	,
federal	feder	federal
authorities	author	authority
busted	bust	busted
Arizona	arizona	Arizona
officials	offici	official
smuggling	smuggl	smuggling
illegal	illeg	illegal
drugs	drug	drug
into	into	into
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
in	in	in
October	octob	October
of	of	of
last	last	last
year	year	year
.	.	.

Federal	feder	Federal
agents	agent	agent
confiscated	confisc	confiscated
an	an	an
illegal	illeg	illegal
shipment	shipment	shipment
of	of	of
sodium	sodium	sodium
thiopental	thiopent	thiopental
at	at	at
the	the	the
Phoenix	phoenix	Phoenix
Airport	airport	Airport
,	,	,
which	which	which
Arizona	arizona	Arizona
officials	offici	official
spent	spent	spent
more	more	more
than	than	than
27	27	27
,	,	,
000	000	000
of	of	of
taxpayer	taxpay	taxpayer
money	money	money
to	to	to
