In	in	In
2011	2011	2011
,	,	,
St	st	St
.	.	.
Louis	loui	Louis
police	polic	police
officer	offic	officer
Jason	jason	Jason
Stockley	stockley	Stockley
shot	shot	shot
and	and	and
killed	kill	killed
Anthony	anthoni	Anthony
Lamar	lamar	Lamar
Smith	smith	Smith
,	,	,
a	a	a
drug	drug	drug
suspect	suspect	suspect
that	that	that
he	he	he
was	was	wa
trying	tri	trying
to	to	to
arrest	arrest	arrest
.	.	.

At	at	At
the	the	the
time	time	time
,	,	,
Stockley	stockley	Stockley
claimed	claim	claimed
that	that	that
he	he	he
saw	saw	saw
Smith	smith	Smith
reaching	reach	reaching
for	for	for
a	a	a
gun	gun	gun
,	,	,
which	which	which
is	is	is
why	whi	why
he	he	he
fired	fire	fired
his	his	his
.	.	.

Self	self	Self
-defense	-defens	-defense
,	,	,
that	that	that
s	s	s
all	all	all
it	it	it
ever	ever	ever
is	is	is
,	,	,
isn	isn	isn
t	t	t
it	it	it
?	?	?

The	the	The
problem	problem	problem
is	is	is
Smith	smith	Smith
was	was	wa
unarmed	unarm	unarmed
and	and	and
now	now	now
there	there	there
s	s	s
not	not	not
just	just	just
evidence	evid	evidence
of	of	of
that	that	that
,	,	,
but	but	but
there	there	there
s	s	s
also	also	also
evidence	evid	evidence
that	that	that
Stockley	stockley	Stockley
may	may	may
have	have	have
done	done	done
worse	wors	worse
than	than	than
lie	lie	lie
.	.	.
There	there	There
is	is	is
a	a	a
strong	strong	strong
possibility	possibl	possibility
that	that	that
he	he	he
planted	plant	planted
the	the	the
gun	gun	gun
in	in	in
Smith	smith	Smith
s	s	s
car	car	car
after	after	after
murdering	murder	murdering
him	him	him
to	to	to
cover	cover	cover
his	his	his
own	own	own
ass	ass	as
.	.	.
Smith	smith	Smith
did	did	did
flee	flee	flee
the	the	the
scene	scene	scene
of	of	of
a	a	a
possible	possibl	possible
drug	drug	drug
deal	deal	deal
and	and	and
a	a	a
high	high	high
-speed	-speed	-speed
chase	chase	chase
ensued	ensu	ensued
.	.	.

Stockley	stockley	Stockley
was	was	wa
carrying	carri	carrying
a	a	a
personally	person	personally
-owned	-own	-owned
AK	ak	AK
-47	-47	-47
that	that	that
Smith	smith	Smith
,	,	,
in	in	in
escaping	escap	escaping
,	,	,
almost	almost	almost
knocked	knock	knocked
out	out	out
of	of	of
his	his	his
hands	hand	hand
.	.	.

Stockley	stockley	Stockley
was	was	wa
not	not	not
authorized	author	authorized
to	to	to
carry	carri	carry
that	that	that
weapon	weapon	weapon
while	while	while
on	on	on
duty	duti	duty
,	,	,
which	which	which
goes	goe	go
a	a	a
long	long	long
way	way	way
towards	toward	towards
demonstrating	demonstr	demonstrating
Stockley	stockley	Stockley
as	as	a
an	an	an
unethical	uneth	unethical
officer	offic	officer
at	at	at
the	the	the
very	veri	very
least	least	least
.	.	.

He	he	He
was	was	wa
also	also	also
recorded	record	recorded
as	as	a
saying	say	saying
that	that	that
he	he	he
was	was	wa
going	go	going
to	to	to
kill	kill	kill
Smith	smith	Smith
.	.	.
Stockley	stockley	Stockley
s	s	s
partner	partner	partner
,	,	,
Brian	brian	Brian
Bianchi	bianchi	Bianchi
,	,	,
said	said	said
that	that	that
he	he	he
warned	warn	warned
Stockley	stockley	Stockley
about	about	about
a	a	a
revolver	revolv	revolver
on	on	on
the	the	the
seat	seat	seat
of	of	of
Smith	smith	Smith
s	s	s
car	car	car
,	,	,
and	and	and
Stockley	stockley	Stockley
himself	himself	himself
said	said	said
he	he	he
feared	fear	feared
Smith	smith	Smith
was	was	wa
about	about	about
to	to	to
pull	pull	pull
the	the	the
revolver	revolv	revolver
when	when	when
he	he	he
approached	approach	approached
Before	befor	Before
striking	strike	striking
me	me	me
with	with	with
his	his	his
car	car	car
,	,	,
I	i	I
observed	observ	observed
,	,	,
in	in	in
plain	plain	plain
view	view	view
in	in	in
the	the	the
subject	subject	subject
s	s	s
hand	hand	hand
while	while	while
resting	rest	resting
on	on	on
the	the	the
passenger	passeng	passenger
seat	seat	seat
,	,	,
a	a	a
silver	silver	silver
handgun	handgun	handgun
.	.	.

The	the	The
handgun	handgun	handgun
was	was	wa
pointing	point	pointing
up	up	up
and	and	and
towards	toward	towards
me	me	me
Because	becaus	Because
of	of	of
the	the	the
presence	presenc	presence
of	of	of
a	a	a
weapon	weapon	weapon
and	and	and
because	becaus	because
I	i	I
felt	felt	felt
my	my	my
personal	person	personal
safety	safeti	safety
was	was	wa
in	in	in
jeopardy	jeopardi	jeopardy
,	,	,
as	as	a
was	was	wa
the	the	the
safety	safeti	safety
of	of	of
P	p	P
.	.	.
O	o	O
.	.	.
Bianchi	bianchi	Bianchi
,	,	,
and	and	and
bystanders	bystand	bystander
,	,	,
I	i	I
fired	fire	fired
several	sever	several
shots	shot	shot
at	at	at
the	the	the
subject	subject	subject
.	.	.

It	it	It
s	s	s
apparently	appar	apparently
hard	hard	hard
to	to	to
see	see	see
in	in	in
the	the	the
videos	video	video
whether	whether	whether
Stockley	stockley	Stockley
handled	handl	handled
the	the	the
revolver	revolv	revolver
;	;	;
however	howev	however
,	,	,
it	it	it
s	s	s
damned	damn	damned
telling	tell	telling
that	that	that
only	onli	only
his	his	his
DNA	dna	DNA
was	was	wa
on	on	on
the	the	the
gun	gun	gun
.	.	.

Something	someth	Something
of	of	of
Smith	smith	Smith
would	would	would
definitely	definit	definitely
have	have	have
been	been	been
there	there	there
if	if	if
he	he	he
d	d	d
been	been	been
handling	handl	handling
the	the	the
gun	gun	gun
,	,	,
as	as	a
Stockley	stockley	Stockley
alleged	alleg	alleged
.	.	.
The	the	The
St	st	St
.	.	.
Louis	loui	Louis
Board	board	Board
of	of	of
Police	polic	Police
Commissioners	commission	Commissioners
did	did	did
pay	pay	pay
a	a	a
900	900	900
,	,	,
000	000	000
settlement	settlement	settlement
to	to	to
Smith	smith	Smith
s	s	s
family	famili	family
in	in	in
2013	2013	2013
,	,	,
but	but	but
Stockley	stockley	Stockley
himself	himself	himself
was	was	wa
not	not	not
charged	charg	charged
with	with	with
murder	murder	murder
.	.	.

That	that	That
is	is	is
,	,	,
until	until	until
this	this	this
year	year	year
,	,	,
when	when	when
this	this	this
new	new	new
evidence	evid	evidence
came	came	came
to	to	to
light	light	light
.	.	.
Stockley	stockley	Stockley
is	is	is
now	now	now
charged	charg	charged
with	with	with
first	first	first
-degree	-degre	-degree
murder	murder	murder
,	,	,
but	but	but
is	is	is
free	free	free
on	on	on
a	a	a
1	1	1
million	million	million
bond	bond	bond
.	.	.

He	he	He
left	left	left
the	the	the
St	st	St
.	.	.
Louis	loui	Louis
Police	polic	Police
Department	depart	Department
in	in	in
2013	2013	2013
.	.	.

Watch	watch	Watch
below	below	below
for	for	for
more	more	more
background	background	background
on	on	on
this	this	this
story	stori	story
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
from	from	from
embedded	embed	embedded
video	video	video

