Regardless	regardless	Regardless
of	of	of
what	what	what
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
says	say	say
or	or	or
what	what	what
the	the	the
American	american	American
people	peopl	people
are	are	are
so	so	so
clearly	clear	clearly
demanding	demand	demanding
,	,	,
the	the	the
GOP	gop	GOP
has	has	ha
decided	decid	decided
to	to	to
throw	throw	throw
the	the	the
rules	rule	rule
out	out	out
the	the	the
window	window	window
and	and	and
refuse	refus	refuse
to	to	to
hold	hold	hold
hearings	hear	hearing
for	for	for
any	ani	any
SCOTUS	scotus	SCOTUS
nominee	nomine	nominee
Obama	obama	Obama
might	might	might
choose	choos	choose
.	.	.

This	this	This
is	is	is
something	someth	something
that	that	that
Republicans	republican	Republicans
like	like	like
Majority	major	Majority
Leader	leader	Leader
of	of	of
the	the	the
Senate	senat	Senate
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
and	and	and
GOP	gop	GOP
presidential	presidenti	presidential
candidate	candid	candidate
Ted	ted	Ted
Cruz	cruz	Cruz
have	have	have
been	been	been
threatening	threaten	threatening
to	to	to
do	do	do
since	sinc	since
the	the	the
death	death	death
of	of	of
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Antonin	antonin	Antonin
Scalia	scalia	Scalia
it	it	it
s	s	s
just	just	just
mind	mind	mind
blowing	blow	blowing
to	to	to
see	see	see
it	it	it
actually	actual	actually
happening	happen	happening
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
has	has	ha
a	a	a
presidential	presidenti	presidential
obligation	oblig	obligation
to	to	to
nominate	nomin	nominate
a	a	a
new	new	new
Justice	justic	Justice
,	,	,
and	and	and
it	it	it
is	is	is
the	the	the
Senate	senat	Senate
s	s	s
job	job	job
to	to	to
take	take	take
a	a	a
vote	vote	vote
on	on	on
that	that	that
choice	choic	choice
,	,	,
whether	whether	whether
they	they	they
like	like	like
it	it	it
or	or	or
not	not	not
.	.	.

But	but	But
instead	instead	instead
,	,	,
Senate	senat	Senate
Republicans	republican	Republicans
are	are	are
going	go	going
to	to	to
leave	leav	leave
Scalia	scalia	Scalia
s	s	s
seat	seat	seat
empty	empti	empty
for	for	for
the	the	the
next	next	next
340	340	340
days	day	day
,	,	,
completely	complet	completely
disobeying	disobey	disobeying
the	the	the
Constitution	constitut	Constitution
and	and	and
insulting	insult	insulting
the	the	the
democratic	democrat	democratic
process	process	process
.	.	.

Here	here	Here
are	are	are
the	the	the
signatures	signatur	signature
of	of	of
the	the	the
GOP	gop	GOP
senators	senat	senator
that	that	that
decided	decid	decided
they	they	they
will	will	will
refuse	refus	refuse
to	to	to
vote	vote	vote
on	on	on
Obama	obama	Obama
s	s	s
Supreme	suprem	Supreme
Court	court	Court
nominee	nomine	nominee
and	and	and
wait	wait	wait
until	until	until
a	a	a
new	new	new
president	presid	president
is	is	is
in	in	in
office	offic	office
to	to	to
replace	replac	replace
Scalia	scalia	Scalia
LETTER	letter	LETTER
this	this	this
Committee	committe	Committee
will	will	will
not	not	not
hold	hold	hold
hearings	hear	hearing
on	on	on
any	ani	any
Supreme	suprem	Supreme
Court	court	Court
nominee	nomine	nominee
until	until	until
1	1	1
20	20	20
17	17	17
pic.twitter.com/rMKGkDOn58	pic.twitter.com/rmkgkdon58	pic.twitter.com/rMKGkDOn58
Mike	mike	Mike
DeBonis	deboni	DeBonis
@mikedebonis	@mikedeboni	@mikedebonis
February	februari	February
23	23	23
,	,	,
2016It	2016it	2016It
s	s	s
a	a	a
major	major	major
F	f	F
ck	ck	ck
you	you	you
to	to	to
Obama	obama	Obama
and	and	and
the	the	the
majority	major	majority
of	of	of
Americans	american	Americans
,	,	,
who	who	who
have	have	have
made	made	made
it	it	it
clear	clear	clear
that	that	that
they	they	they
support	support	support
the	the	the
President	presid	President
putting	put	putting
forth	forth	forth
a	a	a
nominee	nomine	nominee
.	.	.

This	this	This
kind	kind	kind
of	of	of
resistance	resist	resistance
has	has	ha
never	never	never
been	been	been
seen	seen	seen
before	befor	before
with	with	with
any	ani	any
other	other	other
presidents	presid	president
,	,	,
as	as	a
many	mani	many
historians	historian	historian
and	and	and
political	polit	political
figures	figur	figure
have	have	have
pointed	point	pointed
out	out	out
over	over	over
the	the	the
last	last	last
week	week	week
and	and	and
a	a	a
half	half	half
.	.	.
Obama	obama	Obama
knows	know	know
it	it	it
