Rabid	rabid	Rabid
,	,	,
Trump	trump	Trump
-hating	-hate	-hating
,	,	,
anti	anti	anti
-gun	-gun	-gun
,	,	,
comedian	comedian	comedian
,	,	,
and	and	and
so	so	so
-called	-call	-called
author	author	author
,	,	,
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
answer	answer	answer
a	a	a
question	question	question
about	about	about
how	how	how
having	have	having
children	children	child
has	has	ha
changed	chang	changed
his	his	his
comedy	comedi	comedy
.	.	.

His	his	His
answer	answer	answer
is	is	is
not	not	not
what	what	what
most	most	most
American	american	American
would	would	would
expect	expect	expect
.	.	.

The	the	The
comedian	comedian	comedian
,	,	,
who	who	who
is	is	is
consumed	consum	consumed
with	with	with
hate	hate	hate
for	for	for
President	presid	President
Trump	trump	Trump
and	and	and
his	his	his
followers	follow	follower
responded	respond	responded
They	they	They
inspired	inspir	inspired
all	all	all
my	my	my
baby	babi	baby
rape	rape	rape
jokes	joke	joke
.	.	.

Here	here	Here
is	is	is
how	how	how
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
s	s	s
tweet	tweet	tweet
read	read	read
Here	here	Here
is	is	is
the	the	the
actual	actual	actual
tweet	tweet	tweet
Question	question	Question
I	i	I
keep	keep	keep
getting	get	getting
in	in	in
interviews	interview	interview
is	is	is
whether	whether	whether
having	have	having
kids	kid	kid
changed	chang	changed
my	my	my
comedy	comedi	comedy
.	.	.

Yes	yes	Yes
.	.	.

They	they	They
inspired	inspir	inspired
all	all	all
my	my	my
baby	babi	baby
rape	rape	rape
jokes	joke	joke
.	.	.

Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
@michaelianblack	@michaelianblack	@michaelianblack
October	octob	October
7	7	7
,	,	,
2011It	2011it	2011It
s	s	s
not	not	not
the	the	the
first	first	first
time	time	time
Black	black	Black
made	made	made
a	a	a
joke	joke	joke
about	about	about
molesting	molest	molesting
kids	kid	kid
.	.	.

When	when	When
Subway	subway	Subway
s	s	s
spokesman	spokesman	spokesman
Jared	jare	Jared
Fogel	fogel	Fogel
was	was	wa
convicted	convict	convicted
of	of	of
possessing	possess	possessing
child	child	child
pornography	pornographi	pornography
and	and	and
crossing	cross	crossing
state	state	state
lines	line	line
to	to	to
have	have	have
sex	sex	sex
with	with	with
children	children	child
,	,	,
Black	black	Black
responded	respond	responded
to	to	to
a	a	a
tweet	tweet	tweet
about	about	about
Fogel	fogel	Fogel
by	by	by
saying	say	saying
jokingly	joke	jokingly
?	?	?
We	we	We
used	use	used
to	to	to
molest	molest	molest
kids	kid	kid
together	togeth	together
Black	black	Black
also	also	also
