Interim	interim	Interim
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
Chairwoman	chairwoman	Chairwoman
Donna	donna	Donna
Brazile	brazil	Brazile
was	was	wa
crystal	crystal	crystal
clear	clear	clear
in	in	in
what	what	what
she	she	she
thinks	think	think
of	of	of
Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
bombshell	bombshel	bombshell
tape	tape	tape
that	that	that
showed	show	showed
him	him	him
boasting	boast	boasting
about	about	about
sexual	sexual	sexual
assault	assault	assault
This	this	This
is	is	is
who	who	who
Donald	donald	Donald
Trump	trump	Trump
truly	truli	truly
is	is	is
.	.	.
During	dure	During
an	an	an
interview	interview	interview
on	on	on
ABC	abc	ABC
s	s	s
This	this	This
Week	week	Week
,	,	,
Brazile	brazil	Brazile
told	told	told
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
that	that	that
Trump	trump	Trump
is	is	is
the	the	the
same	same	same
person	person	person
today	today	today
as	as	a
he	he	he
was	was	wa
in	in	in
2005	2005	2005
when	when	when
the	the	the
appalling	appal	appalling
tape	tape	tape
was	was	wa
recorded	record	recorded
.	.	.
You	you	You
can	can	can
draw	draw	draw
a	a	a
straight	straight	straight
line	line	line
between	between	between
what	what	what
Donald	donald	Donald
Trump	trump	Trump
said	said	said
in	in	in
2005	2005	2005
and	and	and
what	what	what
he	he	he
s	s	s
been	been	been
saying	say	saying
every	everi	every
day	day	day
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
over	over	over
the	the	the
last	last	last
year	year	year
and	and	and
a	a	a
half	half	half
,	,	,
she	she	she
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.
This	this	This
is	is	is
not	not	not
a	a	a
changed	chang	changed
man	man	man
.	.	.
This	this	This
is	is	is
who	who	who
Donald	donald	Donald
Trump	trump	Trump
truly	truli	truly
is	is	is
.	.	.
The	the	The
DNC	dnc	DNC
chair	chair	chair
listed	list	listed
a	a	a
few	few	few
of	of	of
the	the	the
previous	previous	previous
offensive	offens	offensive
remarks	remark	remark
Trump	trump	Trump
has	has	ha
made	made	made
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
and	and	and
pointed	point	pointed
to	to	to
these	these	these
as	as	a
more	more	more
examples	exampl	example
that	that	that
confirmed	confirm	confirmed
Trump	trump	Trump
has	has	ha
not	not	not
changed	chang	changed
.	.	.
He	he	He
was	was	wa
and	and	and
is	is	is
a	a	a
revolting	revolt	revolting
human	human	human
being	be	being
.	.	.
When	when	When
you	you	you
criticize	critic	criticize
a	a	a
judge	judg	judge
simply	simpli	simply
because	becaus	because
of	of	of
his	his	his
Mexican	mexican	Mexican
heritage	heritag	heritage
.	.	.
When	when	When
you	you	you
call	call	call
women	women	woman
some	some	some
of	of	of
the	the	the
most	most	most
disgusting	disgust	disgusting
things	thing	thing
.	.	.
When	when	When
you	you	you
criticize	critic	criticize
John	john	John
McCain	mccain	McCain
.	.	.
When	when	When
you	you	you
criticize	critic	criticize
people	peopl	people
who	who	who
are	are	are
disabled	disabl	disabled
.	.	.
This	this	This
is	is	is
who	who	who
Donald	donald	Donald
Trump	trump	Trump
truly	truli	truly
is	is	is
.	.	.
Brazile	brazil	Brazile
doesn	doesn	doesn
t	t	t
seem	seem	seem
surprised	surpris	surprised
by	by	by
this	this	this
newest	newest	newest
tape	tape	tape
from	from	from
the	the	the
past	past	past
.	.	.
After	after	After
all	all	all
,	,	,
this	this	this
is	is	is
someone	someon	someone
who	who	who
is	is	is
accused	accus	accused
of	of	of
raping	rape	raping
a	a	a
13	13	13
-year-old	-year-old	-year-old
child	child	child
.	.	.
With	with	With
everything	everyth	everything
Trump	trump	Trump
has	has	ha
done	done	done
,	,	,
bragging	brag	bragging
about	about	about
grabbing	grab	grabbing
women	women	woman
by	by	by
the	the	the
p	p	p
ssy	ssi	ssy
is	is	is
exactly	exact	exactly
the	the	the
kind	kind	kind
of	of	of
thing	thing	thing
you	you	you
would	would	would
expect	expect	expect
to	to	to
come	come	come
out	out	out
of	of	of
his	his	his
mouth	mouth	mouth
.	.	.
But	but	But
what	what	what
is	is	is
surprising	surpris	surprising
is	is	is
that	that	that
after	after	after
everything	everyth	everything
Republicans	republican	Republicans
have	have	have
turned	turn	turned
a	a	a
blind	blind	blind
eye	eye	eye
to	to	to
over	over	over
the	the	the
past	past	past
few	few	few
years	year	year
,	,	,
it	it	it
is	is	is
now	now	now
that	that	that
they	they	they
are	are	are
finally	final	finally
disgusted	disgust	disgusted
by	by	by
Trump	trump	Trump
.	.	.
I	i	I
m	m	m
surprised	surpris	surprised
that	that	that
the	the	the
Republicans	republican	Republicans
are	are	are
disgusted	disgust	disgusted
by	by	by
Trump	trump	Trump
after	after	after
all	all	all
the	the	the
things	thing	thing
he	he	he
has	has	ha
said	said	said
and	and	and
all	all	all
of	of	of
the	the	the
comments	comment	comment
that	that	that
he	he	he
s	s	s
made	made	made
over	over	over
the	the	the
last	last	last
couple	coupl	couple
of	of	of
years	year	year
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
segment	segment	segment
here	here	here
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
