Late	late	Late
Show	show	Show
host	host	host
Stephen	stephen	Stephen
Colbert	colbert	Colbert
hilariously	hilari	hilariously
took	took	took
aim	aim	aim
at	at	at
bathroom	bathroom	bathroom
obsessed	obsess	obsessed
Republicans	republican	Republicans
on	on	on
Tuesday	tuesday	Tuesday
night	night	night
and	and	and
hit	hit	hit
the	the	the
bulls	bull	bull
-eye	-ey	-eye
.	.	.
Colbert	colbert	Colbert
began	began	began
by	by	by
talking	talk	talking
about	about	about
how	how	how
anti	anti	anti
-LGBT	-lgbt	-LGBT
conservatives	conserv	conservative
have	have	have
organized	organ	organized
a	a	a
boycott	boycott	boycott
of	of	of
Target	target	Target
because	becaus	because
the	the	the
company	compani	company
unveiled	unveil	unveiled
a	a	a
policy	polici	policy
in	in	in
which	which	which
transgender	transgend	transgender
people	peopl	people
can	can	can
use	use	use
the	the	the
bathroom	bathroom	bathroom
corresponding	correspond	corresponding
to	to	to
their	their	their
gender	gender	gender
identity	ident	identity
.	.	.

And	and	And
then	then	then
he	he	he
told	told	told
the	the	the
audience	audienc	audience
where	where	where
he	he	he
stands	stand	stand
on	on	on
the	the	the
issue	issu	issue
.	.	.

Here	here	Here
s	s	s
the	the	the
thing	thing	thing
.	.	.

I	i	I
don	don	don
t	t	t
care	care	care
if	if	if
you	you	you
re	re	re
male	male	male
or	or	or
female	femal	female
,	,	,
what	what	what
sex	sex	sex
or	or	or
gender	gender	gender
identity	ident	identity
someone	someon	someone
is	is	is
,	,	,
I	i	I
and	and	and
I	i	I
mean	mean	mean
this	this	this
sincerely	sincer	sincerely
do	do	do
not	not	not
want	want	want
to	to	to
share	share	share
a	a	a
bathroom	bathroom	bathroom
with	with	with
anyone	anyon	anyone
.	.	.

For	for	For
two	two	two
reasons	reason	reason
No	no	No
.	.	.
1	1	1
and	and	and
No	no	No
.	.	.
2	2	2
,	,	,
Colbert	colbert	Colbert
began	began	began
.	.	.
Unlike	unlik	Unlike
Republicans	republican	Republicans
,	,	,
Colbert	colbert	Colbert
says	say	say
when	when	when
he	he	he
goes	goe	go
into	into	into
the	the	the
restroom	restroom	restroom
he	he	he
has	has	ha
no	no	no
desire	desir	desire
to	to	to
look	look	look
at	at	at
everyone	everyon	everyone
s	s	s
genitalia	genitalia	genitalia
to	to	to
ascertain	ascertain	ascertain
whether	whether	whether
they	they	they
are	are	are
transgender	transgend	transgender
or	or	or
not	not	not
.	.	.

When	when	When
I	i	I
am	am	am
forced	forc	forced
to	to	to
use	use	use
a	a	a
public	public	public
bathroom	bathroom	bathroom
which	which	which
is	is	is
infrequently	infrequ	infrequently
,	,	,
thank	thank	thank
