Women	women	Women
,	,	,
especially	especi	especially
women	women	woman
in	in	in
the	the	the
public	public	public
eye	eye	eye
,	,	,
are	are	are
the	the	the
constant	constant	constant
victims	victim	victim
of	of	of
body	bodi	body
policing	polic	policing
.	.	.
We	we	We
re	re	re
too	too	too
fat	fat	fat
,	,	,
we	we	we
re	re	re
too	too	too
thin	thin	thin
,	,	,
our	our	our
breasts	breast	breast
are	are	are
too	too	too
small	small	small
,	,	,
too	too	too
large	larg	large
,	,	,
or	or	or
too	too	too
fake	fake	fake
.	.	.
Comedian	comedian	Comedian
Amy	ami	Amy
Schumer	schumer	Schumer
is	is	is
one	one	one
woman	woman	woman
who	who	who
is	is	is
the	the	the
constant	constant	constant
victim	victim	victim
of	of	of
such	such	such
comments	comment	comment
,	,	,
specifically	specif	specifically
those	those	those
regarding	regard	regarding
her	her	her
weight	weight	weight
.	.	.
Schumer	schumer	Schumer
may	may	may
not	not	not
be	be	be
a	a	a
skinny	skinni	skinny
minny	minni	minny
,	,	,
but	but	but
she	she	she
is	is	is
a	a	a
strong	strong	strong
,	,	,
healthy	healthi	healthy
,	,	,
beautiful	beauti	beautiful
woman	woman	woman
who	who	who
is	is	is
not	not	not
ashamed	asham	ashamed
of	of	of
who	who	who
she	she	she
is	is	is
or	or	or
how	how	how
she	she	she
looks	look	look
.	.	.
That	that	That
never	never	never
stopped	stop	stopped
hateful	hate	hateful
trolls	troll	troll
from	from	from
calling	call	calling
her	her	her
fat	fat	fat
,	,	,
though	though	though
.	.	.
Well	well	Well
,	,	,
Schumer	schumer	Schumer
decided	decid	decided
to	to	to
take	take	take
those	those	those
trolls	troll	troll
to	to	to
task	task	task
via	via	via
Instagram	instagram	Instagram
in	in	in
the	the	the
most	most	most
perfect	perfect	perfect
way	way	way
by	by	by
posting	post	posting
a	a	a
photo	photo	photo
of	of	of
herself	herself	herself
in	in	in
a	a	a
swimsuit	swimsuit	swimsuit
.	.	.
The	the	The
post	post	post
was	was	wa
captioned	caption	captioned
I	i	I
meant	meant	meant
to	to	to
write	write	write
good	good	good
morning	morn	morning
trolls	troll	troll
!	!	!
I	i	I
hope	hope	hope
you	you	you
find	find	find
some	some	some
joy	joy	joy
in	in	in
your	your	your
lives	live	life
today	today	today
in	in	in
a	a	a
human	human	human
interaction	interact	interaction
and	and	and
not	not	not
just	just	just
in	in	in
writing	write	writing
unkind	unkind	unkind
things	thing	thing
to	to	to
a	a	a
stranger	stranger	stranger
you	you	you
ve	ve	ve
never	never	never
met	met	met
who	who	who
triggers	trigger	trigger
something	someth	something
in	in	in
you	you	you
that	that	that
makes	make	make
you	you	you
