It	it	It
was	was	wa
only	onli	only
a	a	a
matter	matter	matter
of	of	of
time	time	time
before	befor	before
Donald	donald	Donald
Trump	trump	Trump
responded	respond	responded
to	to	to
conservative	conserv	conservative
columnist	columnist	columnist
George	georg	George
Will	will	Will
leaving	leav	leaving
the	the	the
GOP	gop	GOP
,	,	,
and	and	and
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
did	did	did
so	so	so
childishly	childish	childishly
as	as	a
usual	usual	usual
.	.	.
While	while	While
Trump	trump	Trump
was	was	wa
in	in	in
Scotland	scotland	Scotland
fawning	fawn	fawning
over	over	over
his	his	his
new	new	new
golf	golf	golf
course	cours	course
,	,	,
Will	will	Will
attended	attend	attended
a	a	a
Federalist	federalist	Federalist
Society	societi	Society
event	event	event
on	on	on
Friday	friday	Friday
and	and	and
made	made	made
the	the	the
shocking	shock	shocking
announcement	announc	announcement
that	that	that
he	he	he
has	has	ha
left	left	left
the	the	the
Republican	republican	Republican
Party	parti	Party
and	and	and
changed	chang	changed
his	his	his
party	parti	party
affiliation	affili	affiliation
to	to	to
unaffiliated	unaffili	unaffiliated
.	.	.

This	this	This
is	is	is
not	not	not
my	my	my
party	parti	party
,	,	,
Will	will	Will
said	said	said
before	befor	before
urging	urg	urging
Republicans	republican	Republicans
to	to	to
make	make	make
sure	sure	sure
Trump	trump	Trump
loses	lose	loses
.	.	.

Republicans	republican	Republicans
will	will	will
just	just	just
have	have	have
to	to	to
grit	grit	grit
their	their	their
teeth	teeth	teeth
through	through	through
four	four	four
years	year	year
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
try	tri	try
again	again	again
in	in	in
2020	2020	2020
when	when	when
they	they	they
wise	wise	wise
up	up	up
enough	enough	enough
to	to	to
nominate	nomin	nominate
someone	someon	someone
who	who	who
isn	isn	isn
t	t	t
as	as	a
offensive	offens	offensive
as	as	a
Trump	trump	Trump
.	.	.
Will	will	Will
explained	explain	explained
on	on	on
Sunday	sunday	Sunday
that	that	that
his	his	his
exodus	exodus	exodus
from	from	from
the	the	the
party	parti	party
is	is	is
the	the	the
result	result	result
of	of	of
Trump	trump	Trump
viciously	vicious	viciously
attacking	attack	attacking
Judge	judg	Judge
Gonzalo	gonzalo	Gonzalo
Curiel	curiel	Curiel
for	for	for
being	be	being
of	of	of
Mexican	mexican	Mexican
heritage	heritag	heritage
.	.	.

For	for	For
weeks	week	week
,	,	,
Trumps	trump	Trumps
has	has	ha
launched	launch	launched
racist	racist	racist
attacks	attack	attack
at	at	at
the	the	the
judge	judg	judge
,	,	,
who	who	who
is	is	is
overseeing	overse	overseeing
the	the	the
case	case	case
against	against	against
Trump	trump	Trump
University	univers	University
,	,	,
and	and	and
saying	say	saying
that	that	that
Curiel	curiel	Curiel
can	can	can
t	t	t
be	be	be
fair	fair	fair
to	to	to
him	him	him
because	becaus	because
of	of	of
what	what	what
he	he	he
has	has	ha
said	said	said
about	about	about
Mexicans	mexican	Mexicans
and	and	and
his	his	his
support	support	support
of	of	of
a	a	a
wall	wall	wall
.	.	.

After	after	After
Trump	trump	Trump
went	went	went
after	after	after
the	the	the
Mexican	mexican	Mexican
judge	judg	judge
from	from	from
northern	northern	northern
Indiana	indiana	Indiana
then	then	then
Paul	paul	Paul
Ryan	ryan	Ryan
endorsed	endors	endorsed
him	him	him
,	,	,
I	i	I
decided	decid	decided
that	that	that
in	in	in
fact	fact	fact
this	this	this
was	was	wa
not	not	not
my	my	my
party	parti	party
anymore	anymor	anymore
,	,	,
Will	will	Will
told	told	told
Fox	fox	Fox
News	news	News
Sunday	sunday	Sunday
.	.	.
That	that	That
was	was	wa
the	the	the
last	last	last
straw	straw	straw
for	for	for
Will	will	Will
and	and	and
he	he	he
decided	decid	decided
to	to	to
leave	leav	leave
the	the	the
Republican	republican	Republican
train	train	train
wreck	wreck	wreck
after	after	after
decades	decad	decade
of	of	of
supporting	support	supporting
the	the	the
party	parti	party
through	through	through
thick	thick	thick
and	and	and
thin	thin	thin
.	.	.
After	after	After
returning	return	returning
back	back	back
to	to	to
the	the	the
United	unit	United
States	state	States
from	from	from
Scotland	scotland	Scotland
,	,	,
however	howev	however
,	,	,
Donald	donald	Donald
Trump	trump	Trump
couldn	couldn	couldn
t	t	t
hold	hold	hold
his	his	his
tongue	tongu	tongue
and	and	and
threw	threw	threw
a	a	a
hissy	hissi	hissy
fit	fit	fit
on	on	on
Twitter	twitter	Twitter
about	about	about
Will	will	Will
dumping	dump	dumping
the	the	the
party	parti	party
because	becaus	because
of	of	of
him	him	him
.	.	.

George	georg	George
Will	will	Will
,	,	,
one	one	one
of	of	of
the	the	the
most	most	most
overrated	overr	overrated
political	polit	political
pundits	pundit	pundit
who	who	who
lost	lost	lost
his	his	his
way	way	way
long	long	long
ago	ago	ago
,	,	,
has	has	ha
left	left	left
the	the	the
Republican	republican	Republican
Party	parti	Party
,	,	,
Trump	trump	Trump
wrote	wrote	wrote
.	.	.

He	he	He
s	s	s
made	made	made
many	mani	many
bad	bad	bad
calls	call	call
.	.	.

George	georg	George
Will	will	Will
,	,	,
one	one	one
of	of	of
the	the	the
most	most	most
overrated	overr	overrated
political	polit	political
pundits	pundit	pundit
who	who	who
lost	lost	lost
his	his	his
way	way	way
long	long	long
ago	ago	ago
,	,	,
has	has	ha
left	left	left
the	the	the
Republican	republican	Republican
Party	parti	Party
.	.	.
He	he	He
s	s	s
made	made	made
many	mani	many
bad	bad	bad
calls	call	call
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
26	26	26
,	,	,
2016And	2016and	2016And
George	georg	George
Will	will	Will
had	had	had
no	no	no
problem	problem	problem
responding	respond	responding
by	by	by
taking	take	taking
a	a	a
shot	shot	shot
at	at	at
Trump	trump	Trump
s	s	s
knowledge	knowledg	knowledge
and	and	and
intelligence	intellig	intelligence
.	.	.

He	he	He
has	has	ha
an	an	an
advantage	advantag	advantage
on	on	on
me	me	me
,	,	,
because	becaus	because
he	he	he
can	can	can
say	say	say
everything	everyth	everything
he	he	he
knows	know	know
about	about	about
any	ani	any
subject	subject	subject
in	in	in
140	140	140
characters	charact	character
and	and	and
I	i	I
can	can	can
t	t	t
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Now	now	Now
THAT	that	THAT
is	is	is
how	how	how
you	you	you
burn	burn	burn
someone	someon	someone
.	.	.

Take	take	Take
notes	note	note
,	,	,
Donald	donald	Donald
.	.	.
Featured	featur	Featured
Image	imag	Image
Twitter	twitter	Twitter
and	and	and
Bloomberg	bloomberg	Bloomberg
Getty	getti	Getty
Images	imag	Images

