Most	most	Most
leaders	leader	leader
,	,	,
when	when	when
they	they	they
give	give	give
statements	statement	statement
on	on	on
atrocities	atroc	atrocity
happening	happen	happening
elsewhere	elsewher	elsewhere
in	in	in
the	the	the
world	world	world
,	,	,
use	use	use
the	the	the
opportunity	opportun	opportunity
to	to	to
condemn	condemn	condemn
those	those	those
atrocities	atroc	atrocity
and	and	and
pledge	pledg	pledge
some	some	some
kind	kind	kind
of	of	of
help	help	help
or	or	or
solidarity	solidar	solidarity
.	.	.
Not	not	Not
Trump	trump	Trump
.	.	.
As	as	As
he	he	he
has	has	ha
done	done	done
in	in	in
the	the	the
past	past	past
,	,	,
he	he	he
used	use	used
a	a	a
devastating	devast	devastating
attack	attack	attack
in	in	in
Syria	syria	Syria
as	as	a
an	an	an
opportunity	opportun	opportunity
to	to	to
slam	slam	slam
his	his	his
imaginary	imaginari	imaginary
enemies	enemi	enemy
in	in	in
this	this	this
case	case	case
,	,	,
President	presid	President
Obama	obama	Obama
.	.	.
When	when	When
he	he	he
was	was	wa
done	done	done
with	with	with
that	that	that
,	,	,
he	he	he
decided	decid	decided
to	to	to
tack	tack	tack
a	a	a
condemnation	condemn	condemnation
onto	onto	onto
his	his	his
statement	statement	statement
.	.	.
The	the	The
whole	whole	whole
thing	thing	thing
reads	read	read
Trump	trump	Trump
statement	statement	statement
on	on	on
Syria	syria	Syria
chemical	chemic	chemical
attack	attack	attack
brings	bring	brings
up	up	up
Obama	obama	Obama
s	s	s
red	red	red
line	line	line
pic.twitter.com/WUl3GPeYCo	pic.twitter.com/wul3gpeyco	pic.twitter.com/WUl3GPeYCo
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
April	april	April
4	4	4
,	,	,
2017The	2017the	2017The
problem	problem	problem
is	is	is
that	that	that
Trump	trump	Trump
repeatedly	repeat	repeatedly
urged	urg	urged
Obama	obama	Obama
not	not	not
to	to	to
engage	engag	engage
in	in	in
Syria	syria	Syria
at	at	at
all	all	all
.	.	.
He	he	He
said	said	said
Obama	obama	Obama
should	should	should
focus	focus	focus
on	on	on
our	our	our
many	mani	many
problems	problem	problem
,	,	,
on	on	on
our	our	our
country	countri	country
,	,	,
and	and	and
forget	forget	forget
Syria	syria	Syria
.	.	.
He	he	He
said	said	said
things	thing	thing
of	of	of
this	this	this
nature	natur	nature
