Ha	ha	Ha
!	!	!
PBS	pbs	PBS
had	had	had
a	a	a
live	live	live
feed	feed	feed
on	on	on
Facebook	facebook	Facebook
for	for	for
the	the	the
Democratic	democrat	Democratic
Woman	woman	Woman
of	of	of
the	the	the
Year	year	Year
Award	award	Award
but	but	but
it	it	it
didn	didn	didn
t	t	t
go	go	go
as	as	a
planned	plan	planned
because	becaus	because
the	the	the
comments	comment	comment
were	were	were
overwhelmingly	overwhelm	overwhelmingly
negative	negat	negative
.	.	.
PBS	pbs	PBS
finally	final	finally
announced	announc	announced
they	they	they
were	were	were
shutting	shut	shutting
down	down	down
the	the	the
live	live	live
feed	feed	feed
on	on	on
Facebook	facebook	Facebook
and	and	and
moving	move	moving
it	it	it
over	over	over
to	to	to
YouTube	youtub	YouTube
where	where	where
they	they	they
conveniently	conveni	conveniently
disabled	disabl	disabled
comments	comment	comment
.	.	.
LOL	lol	LOL
!	!	!
Comments	comment	Comments
below	below	below
the	the	the
PBS	pbs	PBS
announcement	announc	announcement
on	on	on
Facebook	facebook	Facebook
were	were	were
99	99	99
against	against	against
PBS	pbs	PBS
airing	air	airing
anything	anyth	anything
to	to	to
do	do	do
with	with	with
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
To	to	To
put	put	put
it	it	it
mildly	mild	mildly
,	,	,
people	peopl	people
were	were	were
ticked	tick	ticked
off	off	off
that	that	that
PBS	pbs	PBS
was	was	wa
airing	air	airing
this	this	this
on	on	on
their	their	their
Facebook	facebook	Facebook
live	live	live
feed	feed	feed
The	the	The
comments	comment	comment
from	from	from
the	the	the
Facebook	facebook	Facebook
newsfeed	newsfe	newsfeed
are	are	are
priceless	priceless	priceless
some	some	some
of	of	of
the	the	the
best	best	best
we	we	we
ve	ve	ve
ever	ever	ever
read	read	read
.	.	.
Check	check	Check
out	out	out
the	the	the
screen	screen	screen
shot	shot	shot
below	below	below
the	the	the
video	video	video
of	of	of
Hillary	hillari	Hillary
yammering	yammer	yammering
on	on	on
and	and	and
you	you	you
ll	ll	ll
see	see	see
just	just	just
how	how	how
ticked	tick	ticked
off	off	off
people	peopl	people
were	were	were
about	about	about
Hillary	hillari	Hillary
Brutal	brutal	Brutal
!	!	!
PBS	pbs	PBS
ANNOUNCED	announc	ANNOUNCED
ON	on	ON
FACEBOOK	facebook	FACEBOOK
WATCH	watch	WATCH
LIVE	live	LIVE
Hillary	hillari	Hillary
Clinton	clinton	Clinton
receives	receiv	receives
Democratic	democrat	Democratic
Woman	woman	Woman
of	of	of
the	the	the
Year	year	Year
Award	award	Award
from	from	from
the	the	the
Women	women	Women
s	s	s
National	nation	National
Democratic	democrat	Democratic
Club	club	Club
in	in	in
recognition	recognit	recognition
of	of	of
her	her	her
contributions	contribut	contribution
to	to	to
American	american	American
politics	polit	politics
and	and	and
work	work	work
as	as	a
an	an	an
inspiration	inspir	inspiration
for	for	for
women	women	woman
.	.	.
The	the	The
video	video	video
below	below	below
is	is	is
gag	gag	gag
-worthy	-worthi	-worthy
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
'https	https	'https
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
#xfbml=1&version=v2.10';	#xfbml=1&version=v2.10';	#xfbml=1&version=v2.10';
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
WATCH	watch	WATCH
LIVE	live	LIVE
Hillary	hillari	Hillary
Clinton	clinton	Clinton
receives	receiv	receives
Democratic	democrat	Democratic
Woman	woman	Woman
of	of	of
the	the	the
Year	year	Year
Award	award	Award
from	from	from
the	the	the
Women's	women	Women's
National	nation	National
Democratic	democrat	Democratic
Club	club	Club
in	in	in
recognition	recognit	recognition
of	of	of
her	her	her
contributions	contribut	contribution
to	to	to
American	american	American
politics	polit	politics
and	and	and
work	work	work
as	as	a
an	an	an
inspiration	inspir	inspiration
for	for	for
women	women	woman
.	.	.
Posted	post	Posted
by	by	by
PBS	pbs	PBS
NewsHour	newshour	NewsHour
on	on	on
Thursday	thursday	Thursday
,	,	,
November	novemb	November
2	2	2
,	,	,
2017A	2017a	2017A
screen	screen	screen
shot	shot	shot
from	from	from
the	the	the
live	live	live
feed	feed	feed
on	on	on
Facebook	facebook	Facebook
shows	show	show
how	how	how
people	peopl	people
REALLY	realli	REALLY
feel	feel	feel
about	about	about
Hillary	hillari	Hillary
Deborah	deborah	Deborah
Roberts	robert	Roberts
Burt	burt	Burt
last	last	last
comment	comment	comment
on	on	on
the	the	the
screen	screen	screen
shot	shot	shot
gets	get	get
the	the	the
sheeple	sheepl	sheeple
of	of	of
the	the	the
year	year	year
award	award	award
for	for	for
her	her	her
comment	comment	comment
that	that	that
any	ani	any
female	femal	female
is	is	is
just	just	just
fine	fine	fine
with	with	with
her	her	her
.	.	.
How	how	How
dumb	dumb	dumb
can	can	can
you	you	you
be	be	be
?	?	?
Identity	ident	Identity
politics	polit	politics
is	is	is
what	what	what
got	got	got
us	us	u
Obama	obama	Obama
!	!	!
YouTube	youtub	YouTube
covered	cover	covered
the	the	the
video	video	video
but	but	but
disabled	disabl	disabled
the	the	the
comments	comment	comment
.	.	.
The	the	The
only	onli	only
thing	thing	thing
they	they	they
left	left	left
was	was	wa
the	the	the
thumbs	thumb	thumb
up	up	up
or	or	or
thumbs	thumb	thumb
down	down	down
choice	choic	choice
that	that	that
was	was	wa
overwhelmingly	overwhelm	overwhelmingly
thumbs	thumb	thumb
down	down	down
when	when	when
we	we	we
first	first	first
saw	saw	saw
it	it	it
