BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
A	a	A
Syrian	syrian	Syrian
man	man	man
living	live	living
in	in	in
Germany	germani	Germany
was	was	wa
jailed	jail	jailed
for	for	for
three	three	three
and	and	and
a	a	a
half	half	half
years	year	year
on	on	on
Wednesday	wednesday	Wednesday
for	for	for
his	his	his
part	part	part
in	in	in
the	the	the
kidnapping	kidnap	kidnapping
of	of	of
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeper	peacekeep	peacekeeper
near	near	near
Damascus	damascus	Damascus
four	four	four
years	year	year
ago	ago	ago
.	.	.

The	the	The
man	man	man
,	,	,
who	who	who
was	was	wa
not	not	not
named	name	named
,	,	,
was	was	wa
found	found	found
guilty	guilti	guilty
of	of	of
being	be	being
an	an	an
accessory	accessori	accessory
to	to	to
the	the	the
abduction	abduct	abduction
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
from	from	from
the	the	the
German	german	German
court	court	court
that	that	that
tried	tri	tried
him	him	him
which	which	which
did	did	did
not	not	not
go	go	go
into	into	into
details	detail	detail
on	on	on
what	what	what
he	he	he
did	did	did
.	.	.

The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeper	peacekeep	peacekeeper
,	,	,
who	who	who
served	serv	served
in	in	in
the	the	the
demilitarized	demilitar	demilitarized
zone	zone	zone
between	between	between
Syria	syria	Syria
and	and	and
Israel	israel	Israel
on	on	on
the	the	the
Golan	golan	Golan
Heights	height	Heights
,	,	,
was	was	wa
kidnapped	kidnap	kidnapped
in	in	in
Feb	feb	Feb
.	.	.

2013	2013	2013
,	,	,
the	the	the
Higher	higher	Higher
Regional	region	Regional
Court	court	Court
in	in	in
the	the	the
southwestern	southwestern	southwestern
German	german	German
city	citi	city
of	of	of
Stuttgart	stuttgart	Stuttgart
said	said	said
.	.	.

Prosecutors	prosecutor	Prosecutors
had	had	had
in	in	in
January	januari	January
2016	2016	2016
identified	identifi	identified
the	the	the
Syrian	syrian	Syrian
man	man	man
as	as	a
Suliman	suliman	Suliman
A	a	A
.	.	.
-S	-s	-S
.	.	.

under	under	under
German	german	German
privacy	privaci	privacy
laws	law	law
and	and	and
said	said	said
they	they	they
suspected	suspect	suspected
him	him	him
of	of	of
being	be	being
a	a	a
member	member	member
of	of	of
the	the	the
Islamic	islam	Islamic
militant	milit	militant
Nusra	nusra	Nusra
Front	front	Front
group	group	group
.	.	.

They	they	They
said	said	said
the	the	the
group	group	group
had	had	had
demanded	demand	demanded
a	a	a
ransom	ransom	ransom
from	from	from
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
the	the	the
Canadian	canadian	Canadian
government	govern	government
and	and	and
the	the	the
peacekeeper	peacekeep	peacekeeper
s	s	s
family	famili	family
in	in	in
exchange	exchang	exchange
for	for	for
his	his	his
release	releas	release
.	.	.

The	the	The
court	court	court
did	did	did
not	not	not
give	give	give
his	his	his
nationality	nation	nationality
.	.	.

The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeper	peacekeep	peacekeeper
eventually	eventu	eventually
escaped	escap	escaped
eight	eight	eight
months	month	month
after	after	after
his	his	his
abduction	abduct	abduction
,	,	,
the	the	the
court	court	court
said	said	said
.	.	.

It	it	It
said	said	said
there	there	there
was	was	wa
not	not	not
enough	enough	enough
evidence	evid	evidence
to	to	to
conclude	conclud	conclude
that	that	that
Nusra	nusra	Nusra
Front	front	Front
was	was	wa
behind	behind	behind
the	the	the
kidnapping	kidnap	kidnapping
nor	nor	nor
that	that	that
the	the	the
Syrian	syrian	Syrian
man	man	man
was	was	wa
a	a	a
member	member	member
of	of	of
the	the	the
militant	milit	militant
group	group	group
.	.	.

The	the	The
accused	accus	accused
was	was	wa
found	found	found
guilty	guilti	guilty
under	under	under
the	the	the
Code	code	Code
on	on	on
International	intern	International
Criminal	crimin	Criminal
Law	law	Law
of	of	of
being	be	being
an	an	an
accessory	accessori	accessory
to	to	to
a	a	a
war	war	war
crime	crime	crime
against	against	against
a	a	a
peacekeeping	peacekeep	peacekeeping
mission	mission	mission
that	that	that
involved	involv	involved
kidnapping	kidnap	kidnapping
for	for	for
ransom	ransom	ransom
,	,	,
three	three	three
counts	count	count
of	of	of
attempted	attempt	attempted
robbery	robberi	robbery
by	by	by
blackmail	blackmail	blackmail
and	and	and
grievous	grievous	grievous
unlawful	unlaw	unlawful
detention	detent	detention
,	,	,
the	the	the
court	court	court
wrote	wrote	wrote
in	in	in
a	a	a
statement	statement	statement
.	.	.

