This	this	This
version	version	version
of	of	of
the	the	the
July	juli	July
25	25	25
story	stori	story
corrects	correct	corrects
paragraph	paragraph	paragraph
11	11	11
to	to	to
show	show	show
that	that	that
bill	bill	bill
calls	call	call
for	for	for
banning	ban	banning
chlorpyrifos	chlorpyrifo	chlorpyrifos
and	and	and
reviewing	review	reviewing
other	other	other
similar	similar	similar
pesticides	pesticid	pesticide
,	,	,
not	not	not
reviewing	review	reviewing
effects	effect	effect
of	of	of
chlorpyrifos	chlorpyrifo	chlorpyrifos
By	by	By
Emily	emili	Emily
Flitter	flitter	Flitter
NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
A	a	A
group	group	group
of	of	of
Democratic	democrat	Democratic
senators	senat	senator
hopes	hope	hope
to	to	to
ban	ban	ban
a	a	a
pesticide	pesticid	pesticide
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
has	has	ha
greenlighted	greenlight	greenlighted
for	for	for
use	use	use
,	,	,
according	accord	according
to	to	to
a	a	a
bill	bill	bill
unveiled	unveil	unveiled
on	on	on
Tuesday	tuesday	Tuesday
in	in	in
a	a	a
challenge	challeng	challenge
to	to	to
Republican	republican	Republican
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
push	push	push
to	to	to
loosen	loosen	loosen
environmental	environment	environmental
regulations	regul	regulation
.	.	.
The	the	The
bill	bill	bill
,	,	,
introduced	introduc	introduced
by	by	by
Senator	senat	Senator
Tom	tom	Tom
Udall	udal	Udall
of	of	of
New	new	New
Mexico	mexico	Mexico
,	,	,
would	would	would
outlaw	outlaw	outlaw
chlorpyrifos	chlorpyrifo	chlorpyrifos
,	,	,
an	an	an
agricultural	agricultur	agricultural
insect	insect	insect
-killer	-killer	-killer
that	that	that
has	has	ha
been	been	been
found	found	found
to	to	to
cause	caus	cause
brain	brain	brain
damage	damag	damage
in	in	in
children	children	child
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
denied	deni	denied
a	a	a
petition	petit	petition
to	to	to
ban	ban	ban
the	the	the
chemical	chemic	chemical
on	on	on
March	march	March
29	29	29
,	,	,
and	and	and
a	a	a
federal	feder	federal
appeals	appeal	appeal
court	court	court
on	on	on
July	juli	July
18	18	18
denied	deni	denied
a	a	a
petition	petit	petition
by	by	by
green	green	green
groups	group	group
to	to	to
force	forc	force
the	the	the
agency	agenc	agency
to	to	to
reverse	revers	reverse
its	it	it
decision	decis	decision
and	and	and
enact	enact	enact
the	the	the
ban	ban	ban
.	.	.
The	the	The
bill	bill	bill
is	is	is
called	call	called
the	the	the
Protect	protect	Protect
Children	children	Children
,	,	,
Farmers	farmer	Farmers
and	and	and
Farmworkers	farmwork	Farmworkers
from	from	from
Nerve	nerv	Nerve
Agent	agent	Agent
Pesticides	pesticid	Pesticides
Act	act	Act
of	of	of
2017	2017	2017
.	.	.
Seven	seven	Seven
other	other	other
senators	senat	senator
are	are	are
co	co	co
-sponsoring	-sponsor	-sponsoring
it	it	it
Ben	ben	Ben
Cardin	cardin	Cardin
of	of	of
Maryland	maryland	Maryland
,	,	,
Kamala	kamala	Kamala
Harris	harri	Harris
of	of	of
California	california	California
,	,	,
Richard	richard	Richard
Blumenthal	blumenth	Blumenthal
of	of	of
Connecticut	connecticut	Connecticut
,	,	,
Cory	cori	Cory
Booker	booker	Booker
of	of	of
New	new	New
Jersey	jersey	Jersey
,	,	,
Kirsten	kirsten	Kirsten
Gillibrand	gillibrand	Gillibrand
of	of	of
New	new	New
York	york	York
,	,	,
Richard	richard	Richard
Durbin	durbin	Durbin
of	of	of
Illinois	illinoi	Illinois
and	and	and
Ed	ed	Ed
Markey	markey	Markey
of	of	of
Massachusetts	massachusett	Massachusetts
.	.	.
