MISSOULA	missoula	MISSOULA
,	,	,
Mont	mont	Mont
.	.	.
Reuters	reuter	Reuters
-	-	-
Montana	montana	Montana
Republican	republican	Republican
congressional	congression	congressional
candidate	candid	candidate
Greg	greg	Greg
Gianforte	gianfort	Gianforte
was	was	wa
cited	cite	cited
for	for	for
a	a	a
misdemeanor	misdemeanor	misdemeanor
on	on	on
Wednesday	wednesday	Wednesday
after	after	after
a	a	a
reporter	report	reporter
accused	accus	accused
him	him	him
of	of	of
physical	physic	physical
assault	assault	assault
on	on	on
the	the	the
eve	eve	eve
of	of	of
a	a	a
special	special	special
election	elect	election
to	to	to
fill	fill	fill
the	the	the
state	state	state
s	s	s
lone	lone	lone
seat	seat	seat
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
The	the	The
Gallatin	gallatin	Gallatin
County	counti	County
sheriff	sheriff	sheriff
s	s	s
office	offic	office
issued	issu	issued
the	the	the
citation	citat	citation
for	for	for
misdemeanor	misdemeanor	misdemeanor
assault	assault	assault
hours	hour	hour
after	after	after
Ben	ben	Ben
Jacobs	jacob	Jacobs
,	,	,
a	a	a
political	polit	political
correspondent	correspond	correspondent
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
edition	edit	edition
of	of	of
the	the	the
Guardian	guardian	Guardian
newspaper	newspap	newspaper
,	,	,
said	said	said
in	in	in
a	a	a
Twitter	twitter	Twitter
post	post	post
and	and	and
in	in	in
a	a	a
television	televis	television
interview	interview	interview
that	that	that
Gianforte	gianfort	Gianforte
body	bodi	body
slammed	slam	slammed
him	him	him
,	,	,
breaking	break	breaking
his	his	his
eyeglasses	eyeglass	eyeglass
.	.	.
The	the	The
incident	incid	incident
,	,	,
which	which	which
caps	cap	cap
a	a	a
campaign	campaign	campaign
seen	seen	seen
as	as	a
a	a	a
possible	possibl	possible
bellwether	bellweth	bellwether
for	for	for
next	next	next
year	year	year
s	s	s
mid	mid	mid
-term	-term	-term
congressional	congression	congressional
races	race	race
,	,	,
took	took	took
place	place	place
at	at	at
an	an	an
event	event	event
in	in	in
Bozeman	bozeman	Bozeman
,	,	,
where	where	where
Jacobs	jacob	Jacobs
sought	sought	sought
to	to	to
question	question	question
Gianforte	gianfort	Gianforte
about	about	about
healthcare	healthcar	healthcare
,	,	,
according	accord	according
to	to	to
an	an	an
audio	audio	audio
tape	tape	tape
captured	captur	captured
by	by	by
Jacobs	jacob	Jacobs
and	and	and
played	play	played
on	on	on
cable	cabl	cable
television	televis	television
networks	network	network
MSNBC	msnbc	MSNBC
and	and	and
CNN	cnn	CNN
.	.	.
Fox	fox	Fox
News	news	News
Channel	channel	Channel
reporter	report	reporter
Alicia	alicia	Alicia
Acuna	acuna	Acuna
,	,	,
who	who	who
said	said	said
she	she	she
and	and	and
her	her	her
crew	crew	crew
were	were	were
in	in	in
the	the	the
room	room	room
preparing	prepar	preparing
to	to	to
interview	interview	interview
Gianforte	gianfort	Gianforte
,	,	,
wrote	wrote	wrote
that	that	that
she	she	she
saw	saw	saw
Gianforte	gianfort	Gianforte
as	as	a
he	he	he
grabbed	grab	grabbed
Jacobs	jacob	Jacobs
by	by	by
the	the	the
neck	neck	neck
with	with	with
both	both	both
hands	hand	hand
and	and	and
slammed	slam	slammed
him	him	him
to	to	to
the	the	the
ground	ground	ground
.	.	.
Acuna	acuna	Acuna
,	,	,
her	her	her
field	field	field
producer	produc	producer
and	and	and
photographer	photograph	photographer
then	then	then
watched	watch	watched
in	in	in
disbelief	disbelief	disbelief
as	as	a
Gianforte	gianfort	Gianforte
began	began	began
punching	punch	punching
Jacobs	jacob	Jacobs
as	as	a
he	he	he
moved	move	moved
to	to	to
top	top	top
of	of	of
the	the	the
reporter	report	reporter
.	.	.
Gianforte	gianfort	Gianforte
s	s	s
campaign	campaign	campaign
did	did	did
