LAGOS	lago	LAGOS
Reuters	reuter	Reuters
-	-	-
Nigeria	nigeria	Nigeria
s	s	s
President	presid	President
Muhammadu	muhammadu	Muhammadu
Buhari	buhari	Buhari
told	told	told
members	member	member
of	of	of
his	his	his
party	parti	party
before	befor	before
he	he	he
was	was	wa
first	first	first
elected	elect	elected
that	that	that
he	he	he
would	would	would
only	onli	only
seek	seek	seek
one	one	one
term	term	term
,	,	,
implying	impli	implying
he	he	he
did	did	did
not	not	not
intend	intend	intend
at	at	at
that	that	that
time	time	time
to	to	to
run	run	run
in	in	in
2019	2019	2019
,	,	,
the	the	the
minister	minist	minister
of	of	of
women	women	woman
s	s	s
affairs	affair	affair
told	told	told
Reuters	reuter	Reuters
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
comments	comment	comment
by	by	by
Aisha	aisha	Aisha
Alhassan	alhassan	Alhassan
could	could	could
heighten	heighten	heighten
uncertainty	uncertainti	uncertainty
over	over	over
whether	whether	whether
Buhari	buhari	Buhari
plans	plan	plan
to	to	to
contest	contest	contest
the	the	the
next	next	next
election	elect	election
.	.	.
Buhari	buhari	Buhari
took	took	took
power	power	power
in	in	in
2015	2015	2015
but	but	but
has	has	ha
been	been	been
absent	absent	absent
for	for	for
much	much	much
of	of	of
this	this	this
year	year	year
due	due	due
to	to	to
illness	ill	illness
.	.	.
He	he	He
is	is	is
yet	yet	yet
to	to	to
say	say	say
if	if	if
he	he	he
will	will	will
seek	seek	seek
a	a	a
second	second	second
term	term	term
.	.	.
In	in	In
2014	2014	2014
2015	2015	2015
he	he	he
said	said	said
he	he	he
was	was	wa
going	go	going
to	to	to
run	run	run
for	for	for
only	onli	only
one	one	one
time	time	time
to	to	to
clean	clean	clean
up	up	up
the	the	the
mess	mess	mess
that	that	that
the	the	the
previous	previous	previous
PDP	pdp	PDP
government	govern	government
did	did	did
in	in	in
Nigeria	nigeria	Nigeria
.	.	.
And	and	And
I	i	I
took	took	took
him	him	him
for	for	for
his	his	his
word	word	word
that	that	that
he	he	he
is	is	is
not	not	not
contesting	contest	contesting
in	in	in
2019	2019	2019
,	,	,
Minister	minist	Minister
of	of	of
Women	women	Women
Affairs	affair	Affairs
Alhassan	alhassan	Alhassan
said	said	said
.	.	.
Alhassan	alhassan	Alhassan
said	said	said
in	in	in
the	the	the
interview	interview	interview
she	she	she
would	would	would
resign	resign	resign
if	if	if
Buhari	buhari	Buhari
seeks	seek	seek
re	re	re
-election	-elect	-election
and	and	and
would	would	would
support	support	support
former	former	former
vice	vice	vice
president	presid	president
Atiku	atiku	Atiku
Abubakar	abubakar	Abubakar
if	if	if
he	he	he
decides	decid	decides
to	to	to
run	run	run
.	.	.
Alhassan	alhassan	Alhassan
s	s	s
portfolio	portfolio	portfolio
ranks	rank	rank
relatively	relat	relatively
low	low	low
down	down	down
in	in	in
Nigeria	nigeria	Nigeria
s	s	s
cabinet	cabinet	cabinet
.	.	.
Abubakar	abubakar	Abubakar
was	was	wa
vice	vice	vice
president	presid	president
from	from	from
1999	1999	1999
to	to	to
2007	2007	2007
as	as	a
part	part	part
of	of	of
the	the	the
People	peopl	People
s	s	s
Democratic	democrat	Democratic
Party	parti	Party
PDP	pdp	PDP
.	.	.
He	he	He
joined	join	joined
the	the	the
All	all	All
Progressives	progress	Progressives
Congress	congress	Congress
APC	apc	APC
,	,	,
Buhari	buhari	Buhari
s	s	s
party	parti	party
,	,	,
in	in	in
2014	2014	2014
.	.	.
She	she	She
said	said	said
Buhari	buhari	Buhari
made	made	made
the	the	the
comments	comment	comment
in	in	in
2015	2015	2015
to	to	to
APC	apc	APC
members	member	member
but	but	but
gave	gave	gave
no	no	no
further	further	further
details	detail	detail
.	.	.
The	the	The
president	presid	president
s	s	s
two	two	two
spokesmen	spokesmen	spokesman
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
minister	minist	minister
s	s	s
remarks	remark	remark
.	.	.
Buhari	buhari	Buhari
,	,	,
74	74	74
,	,	,
returned	return	returned
on	on	on
Aug	aug	Aug
.	.	.
19	19	19
from	from	from
three	three	three
months	month	month
of	of	of
medical	medic	medical
leave	leav	leave
in	in	in
Britain	britain	Britain
for	for	for
an	an	an
unspecified	unspecifi	unspecified
ailment	ailment	ailment
.	.	.
It	it	It
was	was	wa
his	his	his
second	second	second
stint	stint	stint
of	of	of
sick	sick	sick
leave	leav	leave
this	this	this
year	year	year
following	follow	following
a	a	a
break	break	break
between	between	between
January	januari	January
and	and	and
March	march	March
.	.	.
Many	mani	Many
people	peopl	people
say	say	say
they	they	they
doubt	doubt	doubt
whether	whether	whether
Buhari	buhari	Buhari
is	is	is
well	well	well
enough	enough	enough
to	to	to
serve	serv	serve
another	anoth	another
term	term	term
in	in	in
Nigeria	nigeria	Nigeria
,	,	,
which	which	which
is	is	is
Africa	africa	Africa
s	s	s
most	most	most
populous	popul	populous
country	countri	country
and	and	and
has	has	ha
the	the	the
continent	contin	continent
s	s	s
biggest	biggest	biggest
economy	economi	economy
.	.	.
If	if	If
today	today	today
Mr	mr	Mr
.	.	.
President	presid	President
says	say	say
he	he	he
is	is	is
running	run	running
in	in	in
2019	2019	2019
I	i	I
will	will	will
go	go	go
to	to	to
him	him	him
respectfully	respect	respectfully
and	and	and
thank	thank	thank
him	him	him
for	for	for
giving	give	giving
me	me	me
an	an	an
opportunity	opportun	opportunity
to	to	to
serve	serv	serve
and	and	and
then	then	then
tell	tell	tell
him	him	him
that	that	that
I	i	I
have	have	have
to	to	to
resign	resign	resign
because	becaus	because
my	my	my
political	polit	political
father	father	father
may	may	may
be	be	be
running	run	running
,	,	,
said	said	said
Alhassan	alhassan	Alhassan
.	.	.
