GLEN	glen	GLEN
JEAN	jean	JEAN
,	,	,
West	west	West
Virginia	virginia	Virginia
Reuters	reuter	Reuters
-	-	-
After	after	After
another	anoth	another
challenging	challeng	challenging
day	day	day
in	in	in
Washington	washington	Washington
,	,	,
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
flew	flew	flew
to	to	to
West	west	West
Virginia	virginia	Virginia
to	to	to
a	a	a
field	field	field
full	full	full
of	of	of
40	40	40
,	,	,
000	000	000
chanting	chant	chanting
and	and	and
cheering	cheer	cheering
Boy	boy	Boy
Scouts	scout	Scouts
,	,	,
telling	tell	telling
them	them	them
he	he	he
was	was	wa
happy	happi	happy
to	to	to
leave	leav	leave
Washington	washington	Washington
behind	behind	behind
.	.	.
Who	who	Who
the	the	the
hell	hell	hell
wants	want	want
to	to	to
speak	speak	speak
about	about	about
politics	polit	politics
?	?	?
Trump	trump	Trump
boomed	boom	boomed
,	,	,
telling	tell	telling
the	the	the
boys	boy	boy
he	he	he
wanted	want	wanted
to	to	to
talk	talk	talk
about	about	about
how	how	how
to	to	to
achieve	achiev	achieve
their	their	their
dreams	dream	dream
.	.	.
But	but	But
politics	polit	politics
proved	prove	proved
too	too	too
hard	hard	hard
for	for	for
Trump	trump	Trump
to	to	to
resist	resist	resist
on	on	on
a	a	a
day	day	day
he	he	he
spent	spent	spent
pleading	plead	pleading
for	for	for
Republican	republican	Republican
senators	senat	senator
to	to	to
vote	vote	vote
to	to	to
advance	advanc	advance
his	his	his
long	long	long
-promised	-promis	-promised
health	health	health
care	care	care
overhaul	overhaul	overhaul
and	and	and
watching	watch	watching
his	his	his
son	son	son
-in-law	-in-law	-in-law
Jared	jare	Jared
Kushner	kushner	Kushner
being	be	being
grilled	grill	grilled
on	on	on
Capitol	capitol	Capitol
Hill	hill	Hill
about	about	about
contacts	contact	contact
with	with	with
Russia	russia	Russia
.	.	.
It	it	It
did	did	did
not	not	not
take	take	take
long	long	long
for	for	for
Trump	trump	Trump
to	to	to
veer	veer	veer
from	from	from
inspiration	inspir	inspiration
to	to	to
denigration	denigr	denigration
.	.	.
The	the	The
teenaged	teenag	teenaged
boys	boy	boy
loved	love	loved
it	it	it
,	,	,
cheering	cheer	cheering
wildly	wild	wildly
at	at	at
each	each	each
sick	sick	sick
burn	burn	burn
,	,	,
hooting	hoot	hooting
and	and	and
hollering	holler	hollering
like	like	like
they	they	they
were	were	were
at	at	at
a	a	a
wrestling	wrestl	wrestling
match	match	match
.	.	.
Tonight	tonight	Tonight
we	we	we
put	put	put
aside	asid	aside
all	all	all
of	of	of
the	the	the
policy	polici	policy
fights	fight	fight
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
you	you	you
ve	ve	ve
been	been	been
hearing	hear	hearing
about	about	about
with	with	with
the	the	the
fake	fake	fake
news	news	news
and	and	and
all	all	all
of	of	of
that	that	that
,	,	,
he	he	he
told	told	told
the	the	the
teenaged	teenag	teenaged
boys	boy	boy
,	,	,
sitting	sit	sitting
state	state	state
by	by	by
state	state	state
in	in	in
brightly	bright	brightly
colored	color	colored
t	t	t
-shirts	-shirt	-shirts
.	.	.
You	you	You
know	know	know
,	,	,
I	i	I
go	go	go
to	to	to
Washington	washington	Washington
and	and	and
I	i	I
see	see	see
all	all	all
these	these	these
politicians	politician	politician
and	and	and
I	i	I
see	see	see
the	the	the
swamp	swamp	swamp
and	and	and
it	it	it
s	s	s
not	not	not
a	a	a
good	good	good
place	place	place
,	,	,
said	said	said
Trump	trump	Trump
.	.	.
In	in	In
fact	fact	fact
,	,	,
today	today	today
I	i	I
said	said	said
we	we	we
ought	ought	ought
to	to	to
change	chang	change
it	it	it
from	from	from
the	the	the
word	word	word
swamp	swamp	swamp
to	to	to
the	the	the
word	word	word
cesspool	cesspool	cesspool
or	or	or
perhaps	perhap	perhaps
to	to	to
the	the	the
word	word	word
sewer	sewer	sewer
.	.	.
It	it	It
s	s	s
not	not	not
good	good	good
.	.	.
I	i	I
see	see	see
what	what	what
s	s	s
going	go	going
on	on	on
and	and	and
believe	believ	believe
me	me	me
,	,	,
I	i	I
d	d	d
much	much	much
