BRASILIA	brasilia	BRASILIA
Reuters	reuter	Reuters
-	-	-
The	the	The
Trump	trump	Trump
Organization	organ	Organization
Inc	inc	Inc
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
it	it	it
has	has	ha
pulled	pull	pulled
out	out	out
of	of	of
a	a	a
hotel	hotel	hotel
venture	ventur	venture
in	in	in
Rio	rio	Rio
de	de	de
Janeiro	janeiro	Janeiro
that	that	that
is	is	is
part	part	part
of	of	of
a	a	a
criminal	crimin	criminal
investigation	investig	investigation
in	in	in
Brazil	brazil	Brazil
,	,	,
with	with	with
a	a	a
Trump	trump	Trump
Hotels	hotel	Hotels
spokeswoman	spokeswoman	spokeswoman
citing	cite	citing
construction	construct	construction
delays	delay	delay
and	and	and
differences	differ	difference
in	in	in
vision	vision	vision
.	.	.

The	the	The
Trump	trump	Trump
Hotel	hotel	Hotel
Rio	rio	Rio
de	de	de
Janeiro	janeiro	Janeiro
,	,	,
a	a	a
beachfront	beachfront	beachfront
property	properti	property
with	with	with
170	170	170
rooms	room	room
near	near	near
where	where	where
the	the	the
Olympic	olymp	Olympic
Park	park	Park
was	was	wa
located	locat	located
,	,	,
was	was	wa
managed	manag	managed
by	by	by
the	the	the
real	real	real
estate	estat	estate
company	compani	company
of	of	of
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
,	,	,
although	although	although
no	no	no
money	money	money
from	from	from
the	the	the
Trump	trump	Trump
Organization	organ	Organization
was	was	wa
invested	invest	invested
in	in	in
the	the	the
project	project	project
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
the	the	the
developers	develop	developer
of	of	of
the	the	the
Rio	rio	Rio
de	de	de
Janeiro	janeiro	Janeiro
hotel	hotel	hotel
are	are	are
significantly	signific	significantly
behind	behind	behind
on	on	on
the	the	the
completion	complet	completion
of	of	of
the	the	the
property	properti	property
,	,	,
and	and	and
their	their	their
vision	vision	vision
for	for	for
the	the	the
hotel	hotel	hotel
no	no	no
longer	longer	longer
aligns	align	aligns
with	with	with
the	the	the
Trump	trump	Trump
Hotels	hotel	Hotels
brand	brand	brand
,	,	,
Jennifer	jennif	Jennifer
Rodstrom	rodstrom	Rodstrom
,	,	,
a	a	a
spokesperson	spokesperson	spokesperson
for	for	for
Trump	trump	Trump
Hotels	hotel	Hotels
,	,	,
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Reuters	reuter	Reuters
reported	report	reported
in	in	in
November	novemb	November
that	that	that
federal	feder	federal
prosecutor	prosecutor	prosecutor
Anselmo	anselmo	Anselmo
Lopes	lope	Lopes
had	had	had
opened	open	opened
a	a	a
criminal	crimin	criminal
investigation	investig	investigation
into	into	into
investments	invest	investment
made	made	made
by	by	by
two	two	two
small	small	small
state	state	state
pension	pension	pension
funds	fund	fund
in	in	in
the	the	the
hotel	hotel	hotel
.	.	.

Trump	trump	Trump
Hotels	hotel	Hotels
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
whether	whether	whether
the	the	the
decision	decis	decision
to	to	to
pull	pull	pull
out	out	out
of	of	of
the	the	the
Rio	rio	Rio
hotel	hotel	hotel
had	had	had
anything	anyth	anything
to	to	to
do	do	do
with	with	with
the	the	the
investigation	investig	investigation
.	.	.

When	when	When
opening	open	opening
the	the	the
investigation	investig	investigation
,	,	,
Prosecutor	prosecutor	Prosecutor
Lopes	lope	Lopes
said	said	said
the	the	the
size	size	size
,	,	,
structure	structur	structure
and	and	and
risk	risk	risk
of	of	of
the	the	the
investments	invest	investment
in	in	in
the	the	the
hotel	hotel	hotel
,	,	,
owned	own	owned
and	and	and
developed	develop	developed
by	by	by
Brazil	brazil	Brazil
s	s	s
LSH	lsh	LSH
Barra	barra	Barra
Empreendimentos	empreendimento	Empreendimentos
Imobiliários	imobiliário	Imobiliários
SA	sa	SA
,	,	,
was	was	wa
suspicious	suspici	suspicious
.	.	.

It	it	It
is	is	is
necessary	necessari	necessary
to	to	to
verify	verifi	verify
if	if	if
the	the	the
favoritism	favorit	favoritism
shown	shown	shown
by	by	by
the	the	the
pension	pension	pension
funds	fund	fund
towards	toward	towards
LSH	lsh	LSH
Barra	barra	Barra
Empreendimentos	empreendimento	Empreendimentos
Imobiliários	imobiliário	Imobiliários
SA	sa	SA
and	and	and
The	the	The
Trump	trump	Trump
Organization	organ	Organization
was	was	wa
due	due	due
to	to	to
illicit	illicit	illicit
payments	payment	payment
and	and	and
bribes	bribe	bribe
,	,	,
Lopes	lope	Lopes
said	said	said
at	at	at
the	the	the
time	time	time
.	.	.

The	the	The
Trump	trump	Trump
Organization	organ	Organization
and	and	and
LSH	lsh	LSH
deny	deni	deny
any	ani	any
wrongdoing	wrongdo	wrongdoing
.	.	.

Plans	plan	Plans
to	to	to
build	build	build
the	the	the
hotel	hotel	hotel
were	were	were
announced	announc	announced
in	in	in
2014	2014	2014
,	,	,
and	and	and
it	it	it
was	was	wa
meant	meant	meant
to	to	to
be	be	be
ready	readi	ready
in	in	in
time	time	time
for	for	for
the	the	the
Olympics	olymp	Olympics
held	held	held
in	in	in
August	august	August
.	.	.

Delays	delay	Delays
meant	meant	meant
the	the	the
hotel	hotel	hotel
was	was	wa
only	onli	only
partially	partial	partially
open	open	open
during	dure	during
the	the	the
Games	game	Games
,	,	,
however	howev	however
,	,	,
with	with	with
less	less	le
than	than	than
half	half	half
of	of	of
its	it	it
rooms	room	room
available	avail	available
.	.	.

