VIENNA	vienna	VIENNA
Reuters	reuter	Reuters
-	-	-
The	the	The
OSCE	osc	OSCE
s	s	s
media	media	medium
watchdog	watchdog	watchdog
said	said	said
on	on	on
Thursday	thursday	Thursday
moves	move	move
by	by	by
the	the	the
United	unit	United
States	state	States
and	and	and
Russia	russia	Russia
to	to	to
force	forc	force
some	some	some
foreign	foreign	foreign
media	media	medium
to	to	to
register	regist	register
as	as	a
foreign	foreign	foreign
agents	agent	agent
were	were	were
unacceptable	unaccept	unacceptable
and	and	and
dangerous	danger	dangerous
.	.	.

Russia	russia	Russia
s	s	s
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
this	this	this
week	week	week
approved	approv	approved
a	a	a
law	law	law
allowing	allow	allowing
Moscow	moscow	Moscow
to	to	to
force	forc	force
foreign	foreign	foreign
media	media	medium
to	to	to
describe	describ	describe
news	news	news
they	they	they
provide	provid	provide
to	to	to
Russians	russian	Russians
as	as	a
the	the	the
work	work	work
of	of	of
foreign	foreign	foreign
agents	agent	agent
and	and	and
to	to	to
disclose	disclos	disclose
their	their	their
funding	fund	funding
sources	sourc	source
.	.	.

Earlier	earlier	Earlier
on	on	on
Thursday	thursday	Thursday
Russia	russia	Russia
named	name	named
nine	nine	nine
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
-sponsored	-sponsor	-sponsored
news	news	news
outlets	outlet	outlet
likely	like	likely
to	to	to
be	be	be
labeled	label	labeled
foreign	foreign	foreign
agents	agent	agent
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
officials	offici	official
accuse	accus	accuse
the	the	the
Kremlin	kremlin	Kremlin
of	of	of
using	use	using
Russian	russian	Russian
media	media	medium
organizations	organ	organization
it	it	it
finances	financ	finance
to	to	to
influence	influenc	influence
U	u	U
.	.	.
S	s	S
.	.	.
voters	voter	voter
.	.	.

Washington	washington	Washington
has	has	ha
required	requir	required
Russian	russian	Russian
state	state	state
broadcaster	broadcast	broadcaster
RT	rt	RT
to	to	to
register	regist	register
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-based	-base	-based
affiliate	affili	affiliate
company	compani	company
as	as	a
a	a	a
foreign	foreign	foreign
agent	agent	agent
.	.	.

Branding	brand	Branding
media	media	medium
entities	entiti	entity
as	as	a
foreign	foreign	foreign
agents	agent	agent
is	is	is
a	a	a
dangerous	danger	dangerous
practice	practic	practice
,	,	,
as	as	a
it	it	it
can	can	can
narrow	narrow	narrow
the	the	the
space	space	space
for	for	for
freedom	freedom	freedom
of	of	of
the	the	the
media	media	medium
,	,	,
said	said	said
Harlem	harlem	Harlem
Desir	desir	Desir
,	,	,
media	media	medium
freedom	freedom	freedom
chief	chief	chief
of	of	of
the	the	the
Organization	organ	Organization
for	for	for
Security	secur	Security
and	and	and
Cooperation	cooper	Cooperation
in	in	in
Europe	europ	Europe
OSCE	osc	OSCE
.	.	.

The	the	The
OSCE	osc	OSCE
,	,	,
which	which	which
also	also	also
oversees	overse	oversees
election	elect	election
monitoring	monitor	monitoring
,	,	,
is	is	is
one	one	one
of	of	of
the	the	the
few	few	few
security	secur	security
forums	forum	forum
which	which	which
brings	bring	brings
Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
to	to	to
the	the	the
same	same	same
table	tabl	table
.	.	.

It	it	It
has	has	ha
a	a	a
700	700	700
-strong	-strong	-strong
observer	observ	observer
mission	mission	mission
monitoring	monitor	monitoring
the	the	the
conflict	conflict	conflict
in	in	in
Ukraine	ukrain	Ukraine
.	.	.

I	i	I
call	call	call
on	on	on
both	both	both
the	the	the
Unites	unit	Unites
States	state	States
and	and	and
the	the	the
Russian	russian	Russian
Federation	feder	Federation
to	to	to
reconsider	reconsid	reconsider
and	and	and
refrain	refrain	refrain
from	from	from
requiring	requir	requiring
media	media	medium
entities	entiti	entity
to	to	to
register	regist	register
as	as	a
foreign	foreign	foreign
agents	agent	agent
,	,	,
Desir	desir	Desir
said	said	said
in	in	in
a	a	a
statement	statement	statement
,	,	,
labeling	label	labeling
both	both	both
countries	countri	country
moves	move	move
as	as	a
not	not	not
acceptable	accept	acceptable
.	.	.

The	the	The
Kremlin	kremlin	Kremlin
denies	deni	denies
meddling	meddl	meddling
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
and	and	and
has	has	ha
said	said	said
the	the	the
restrictions	restrict	restriction
on	on	on
Russian	russian	Russian
broadcasters	broadcast	broadcaster
in	in	in
the	the	the
United	unit	United
States	state	States
amount	amount	amount
to	to	to
an	an	an
attack	attack	attack
on	on	on
free	free	free
speech	speech	speech
.	.	.

The	the	The
new	new	new
media	media	medium
law	law	law
in	in	in
Russia	russia	Russia
is	is	is
retaliation	retali	retaliation
,	,	,
it	it	it
says	say	say
.	.	.

