STRASBOURG	strasbourg	STRASBOURG
,	,	,
France	franc	France
Reuters	reuter	Reuters
-	-	-
EU	eu	EU
lawmakers	lawmak	lawmaker
urged	urg	urged
the	the	the
European	european	European
Commission	commiss	Commission
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
investigate	investig	investigate
Malta	malta	Malta
s	s	s
adherence	adher	adherence
to	to	to
the	the	the
rule	rule	rule
of	of	of
law	law	law
,	,	,
in	in	in
a	a	a
move	move	move
that	that	that
could	could	could
lead	lead	lead
to	to	to
sanctions	sanction	sanction
following	follow	following
the	the	the
murder	murder	murder
of	of	of
a	a	a
campaigning	campaign	campaigning
journalist	journalist	journalist
that	that	that
has	has	ha
rocked	rock	rocked
the	the	the
tiny	tini	tiny
Mediterranean	mediterranean	Mediterranean
island	island	island
.	.	.
The	the	The
European	european	European
Parliament	parliament	Parliament
s	s	s
non	non	non
-binding	-bind	-binding
resolution	resolut	resolution
,	,	,
backed	back	backed
by	by	by
an	an	an
overwhelming	overwhelm	overwhelming
majority	major	majority
of	of	of
deputies	deputi	deputy
but	but	but
criticised	criticis	criticised
by	by	by
the	the	the
Maltese	maltes	Maltese
government	govern	government
,	,	,
also	also	also
voiced	voic	voiced
serious	serious	serious
concerns	concern	concern
about	about	about
police	polic	police
independence	independ	independence
and	and	and
international	intern	international
money	money	money
-laundering	-launder	-laundering
on	on	on
the	the	the
island	island	island
.	.	.
The	the	The
move	move	move
follows	follow	follows
the	the	the
murder	murder	murder
on	on	on
Oct	oct	Oct
.	.	.
16	16	16
of	of	of
Daphne	daphn	Daphne
Caruana	caruana	Caruana
Galizia	galizia	Galizia
,	,	,
a	a	a
Maltese	maltes	Maltese
investigative	investig	investigative
journalist	journalist	journalist
who	who	who
had	had	had
accused	accus	accused
senior	senior	senior
figures	figur	figure
in	in	in
both	both	both
the	the	the
government	govern	government
and	and	and
opposition	opposit	opposition
of	of	of
corruption	corrupt	corruption
and	and	and
involvement	involv	involvement
in	in	in
international	intern	international
money	money	money
-laundering	-launder	-laundering
.	.	.
Prime	prime	Prime
Minister	minist	Minister
Joseph	joseph	Joseph
Muscat	muscat	Muscat
,	,	,
leader	leader	leader
of	of	of
the	the	the
ruling	rule	ruling
Labour	labour	Labour
Party	parti	Party
,	,	,
denies	deni	denies
the	the	the
allegations	alleg	allegation
of	of	of
corruption	corrupt	corruption
and	and	and
says	say	say
everything	everyth	everything
will	will	will
be	be	be
done	done	done
to	to	to
find	find	find
the	the	the
journalist	journalist	journalist
s	s	s
killers	killer	killer
.	.	.
The	the	The
European	european	European
Parliament	parliament	Parliament
calls	call	call
on	on	on
the	the	the
Commission	commiss	Commission
to	to	to
establish	establish	establish
a	a	a
dialogue	dialogu	dialogue
with	with	with
the	the	the
Maltese	maltes	Maltese
Government	govern	Government
regarding	regard	regarding
the	the	the
functioning	function	functioning
of	of	of
the	the	the
rule	rule	rule
of	of	of
law	law	law
in	in	in
Malta	malta	Malta
and	and	and
to	to	to
ensure	ensur	ensure
respect	respect	respect
for	for	for
European	european	European
values	valu	value
,	,	,
the	the	the
text	text	text
of	of	of
the	the	the
resolution	resolut	resolution
said	said	said
.	.	.
This	this	This
would	would	would
be	be	be
