MELBOURNE	melbourn	MELBOURNE
Reuters	reuter	Reuters
-	-	-
A	a	A
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
court	court	court
has	has	ha
given	given	given
hundreds	hundr	hundred
of	of	of
asylum	asylum	asylum
-seekers	-seeker	-seekers
who	who	who
were	were	were
held	held	held
for	for	for
years	year	year
in	in	in
a	a	a
controversial	controversi	controversial
Australian	australian	Australian
detention	detent	detention
center	center	center
the	the	the
right	right	right
to	to	to
sue	sue	sue
the	the	the
PNG	png	PNG
government	govern	government
for	for	for
compensation	compens	compensation
,	,	,
Australian	australian	Australian
media	media	medium
reported	report	reported
on	on	on
Saturday	saturday	Saturday
.	.	.

Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
s	s	s
Supreme	suprem	Supreme
Court	court	Court
rejected	reject	rejected
an	an	an
attempt	attempt	attempt
by	by	by
the	the	the
PNG	png	PNG
government	govern	government
to	to	to
stop	stop	stop
the	the	the
asylum	asylum	asylum
-seekers	-seeker	-seekers
seeking	seek	seeking
compensation	compens	compensation
on	on	on
Friday	friday	Friday
,	,	,
the	the	the
Australian	australian	Australian
Broadcasting	broadcast	Broadcasting
Corporation	corpor	Corporation
reported	report	reported
.	.	.

The	the	The
government	govern	government
had	had	had
tried	tri	tried
to	to	to
argue	argu	argue
that	that	that
the	the	the
time	time	time
frame	frame	frame
for	for	for
such	such	such
attempts	attempt	attempt
to	to	to
sue	sue	sue
for	for	for
compensation	compens	compensation
had	had	had
passed	pass	passed
but	but	but
the	the	the
court	court	court
rejected	reject	rejected
its	it	it
application	applic	application
.	.	.

The	the	The
finding	find	finding
opens	open	open
the	the	the
way	way	way
to	to	to
a	a	a
major	major	major
compensation	compens	compensation
and	and	and
also	also	also
for	for	for
consequential	consequenti	consequential
orders	order	order
against	against	against
both	both	both
the	the	the
PNG	png	PNG
and	and	and
Australian	australian	Australian
governments	govern	government
,	,	,
Refugee	refuge	Refugee
Action	action	Action
Coalition	coalit	Coalition
spokesman	spokesman	spokesman
Ian	ian	Ian
Rintoul	rintoul	Rintoul
told	told	told
Australian	australian	Australian
Associated	associ	Associated
Press	press	Press
.	.	.

The	the	The
decision	decis	decision
comes	come	come
two	two	two
months	month	month
after	after	after
the	the	the
PNG	png	PNG
government	govern	government
closed	close	closed
the	the	the
detention	detent	detention
center	center	center
on	on	on
remote	remot	remote
Manus	manus	Manus
Island	island	Island
,	,	,
which	which	which
had	had	had
housed	hous	housed
about	about	about
400	400	400
male	male	male
asylum	asylum	asylum
-seekers	-seeker	-seekers
.	.	.

Conditions	condit	Conditions
in	in	in
the	the	the
camp	camp	camp
,	,	,
and	and	and
another	anoth	another
on	on	on
the	the	the
tiny	tini	tiny
Pacific	pacif	Pacific
island	island	island
of	of	of
Nauru	nauru	Nauru
,	,	,
have	have	have
been	been	been
widely	wide	widely
criticized	critic	criticized
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
human	human	human
rights	right	right
groups	group	group
.	.	.

The	the	The
two	two	two
camps	camp	camp
have	have	have
been	been	been
cornerstones	cornerston	cornerstone
of	of	of
Australia	australia	Australia
s	s	s
contentious	contenti	contentious
immigration	immigr	immigration
policy	polici	policy
,	,	,
under	under	under
which	which	which
it	it	it
refuses	refus	refuse
to	to	to
allow	allow	allow
asylum	asylum	asylum
-seekers	-seeker	-seekers
arriving	arriv	arriving
by	by	by
boat	boat	boat
to	to	to
reach	reach	reach
its	it	it
shores	shore	shore
.	.	.

The	the	The
policy	polici	policy
,	,	,
aimed	aim	aimed
at	at	at
deterring	deter	deterring
people	peopl	people
from	from	from
making	make	making
a	a	a
perilous	peril	perilous
sea	sea	sea
voyage	voyag	voyage
to	to	to
Australia	australia	Australia
,	,	,
has	has	ha
bipartisan	bipartisan	bipartisan
political	polit	political
support	support	support
.	.	.

The	the	The
closure	closur	closure
of	of	of
the	the	the
Manus	manus	Manus
island	island	island
camp	camp	camp
,	,	,
criticized	critic	criticized
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
as	as	a
shocking	shock	shocking
,	,	,
caused	caus	caused
chaos	chao	chaos
,	,	,
with	with	with
the	the	the
men	men	men
refusing	refus	refusing
to	to	to
leave	leav	leave
the	the	the
compound	compound	compound
for	for	for
fear	fear	fear
of	of	of
being	be	being
attacked	attack	attacked
by	by	by
Manus	manus	Manus
island	island	island
residents	resid	resident
.	.	.

Staff	staff	Staff
left	left	left
the	the	the
closed	close	closed
compound	compound	compound
and	and	and
the	the	the
men	men	men
were	were	were
left	left	left
without	without	without
food	food	food
,	,	,
water	water	water
,	,	,
power	power	power
or	or	or
medical	medic	medical
support	support	support
before	befor	before
they	they	they
were	were	were
expelled	expel	expelled
and	and	and
moved	move	moved
to	to	to
a	a	a
transit	transit	transit
camp	camp	camp
.	.	.

Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
s	s	s
Supreme	suprem	Supreme
Court	court	Court
declared	declar	declared
in	in	in
2016	2016	2016
that	that	that
the	the	the
detention	detent	detention
of	of	of
asylum	asylum	asylum
-seekers	-seeker	-seekers
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
Australian	australian	Australian
government	govern	government
was	was	wa
illegal	illeg	illegal
and	and	and
that	that	that
it	it	it
breached	breach	breached
asylum	asylum	asylum
-seekers	-seeker	-seekers
fundamental	fundament	fundamental
human	human	human
rights	right	right
.	.	.

The	the	The
asylum	asylum	asylum
-seekers	-seeker	-seekers
will	will	will
now	now	now
go	go	go
back	back	back
to	to	to
court	court	court
in	in	in
February	februari	February
to	to	to
seek	seek	seek
orders	order	order
from	from	from
Australia	australia	Australia
and	and	and
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
for	for	for
them	them	them
to	to	to
be	be	be
settled	settl	settled
in	in	in
a	a	a
safe	safe	safe
third	third	third
country	countri	country
.	.	.

The	the	The
United	unit	United
States	state	States
announced	announc	announced
on	on	on
Friday	friday	Friday
that	that	that
it	it	it
had	had	had
agreed	agre	agreed
to	to	to
accept	accept	accept
about	about	about
200	200	200
more	more	more
refugees	refuge	refugee
from	from	from
Manus	manus	Manus
island	island	island
and	and	and
Nauru	nauru	Nauru
under	under	under
a	a	a
deal	deal	deal
struck	struck	struck
between	between	between
Australian	australian	Australian
Prime	prime	Prime
Minister	minist	Minister
Malcolm	malcolm	Malcolm
Turnbull	turnbul	Turnbull
and	and	and
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.

Another	anoth	Another
50	50	50
refugees	refuge	refugee
had	had	had
already	alreadi	already
been	been	been
accepted	accept	accepted
as	as	a
part	part	part
of	of	of
the	the	the
deal	deal	deal
,	,	,
under	under	under
which	which	which
Australia	australia	Australia
agreed	agre	agreed
to	to	to
accept	accept	accept
refugees	refuge	refugee
from	from	from
Central	central	Central
America	america	America
.	.	.

U	u	U
.	.	.
S	s	S
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
called	call	called
the	the	the
deal	deal	deal
dumb	dumb	dumb
.	.	.

