KUALA	kuala	KUALA
LUMPUR	lumpur	LUMPUR
Reuters	reuter	Reuters
-	-	-
Lawyers	lawyer	Lawyers
for	for	for
two	two	two
women	women	woman
accused	accus	accused
of	of	of
murdering	murder	murdering
the	the	the
estranged	estrang	estranged
half	half	half
-brother	-brother	-brother
of	of	of
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
low	low	low
enzyme	enzym	enzyme
levels	level	level
in	in	in
his	his	his
blood	blood	blood
may	may	may
have	have	have
been	been	been
caused	caus	caused
by	by	by
liver	liver	liver
disease	diseas	disease
or	or	or
hormone	hormon	hormone
pills	pill	pill
rather	rather	rather
than	than	than
a	a	a
lethal	lethal	lethal
nerve	nerv	nerve
agent	agent	agent
.	.	.
Indonesian	indonesian	Indonesian
Siti	siti	Siti
Aisyah	aisyah	Aisyah
,	,	,
25	25	25
,	,	,
and	and	and
Doan	doan	Doan
Thi	thi	Thi
Huong	huong	Huong
,	,	,
28	28	28
,	,	,
a	a	a
Vietnamese	vietnames	Vietnamese
,	,	,
are	are	are
charged	charg	charged
with	with	with
murdering	murder	murdering
Kim	kim	Kim
Jong	jong	Jong
Nam	nam	Nam
by	by	by
smearing	smear	smearing
his	his	his
face	face	face
with	with	with
VX	vx	VX
,	,	,
a	a	a
chemical	chemic	chemical
poison	poison	poison
banned	ban	banned
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
at	at	at
Kuala	kuala	Kuala
Lumpur	lumpur	Lumpur
airport	airport	airport
on	on	on
Feb	feb	Feb
.	.	.
13	13	13
.	.	.
The	the	The
women	women	woman
have	have	have
pleaded	plead	pleaded
not	not	not
guilty	guilti	guilty
,	,	,
saying	say	saying
they	they	they
thought	thought	thought
they	they	they
were	were	were
involved	involv	involved
in	in	in
some	some	some
sort	sort	sort
of	of	of
prank	prank	prank
for	for	for
a	a	a
reality	realiti	reality
TV	tv	TV
show	show	show
.	.	.
They	they	They
face	face	face
the	the	the
death	death	death
penalty	penalti	penalty
if	if	if
convicted	convict	convicted
.	.	.
Nor	nor	Nor
ashikin	ashikin	ashikin
Othman	othman	Othman
,	,	,
a	a	a
chemical	chemic	chemical
pathologist	pathologist	pathologist
with	with	with
Kuala	kuala	Kuala
Lumpur	lumpur	Lumpur
Hospital	hospit	Hospital
,	,	,
told	told	told
the	the	the
court	court	court
outside	outsid	outside
Kuala	kuala	Kuala
Lumpur	lumpur	Lumpur
blood	blood	blood
samples	sampl	sample
taken	taken	taken
from	from	from
the	the	the
victim	victim	victim
showed	show	showed
low	low	low
levels	level	level
of	of	of
cholinesterase	cholinesteras	cholinesterase
-	-	-
an	an	an
enzyme	enzym	enzyme
needed	need	needed
in	in	in
muscle	muscl	muscle
control	control	control
-	-	-
which	which	which
could	could	could
be	be	be
caused	caus	caused
by	by	by
exposure	exposur	exposure
to	to	to
poison	poison	poison
such	such	such
as	as	a
insecticide	insecticid	insecticide
or	or	or
a	a	a
nerve	nerv	nerve
agent	agent	agent
such	such	such
as	as	a
VX	vx	VX
or	or	or
Sarin	sarin	Sarin
.	.	.
But	but	But
she	she	she
agreed	agre	agreed
with	with	with
the	the	the
defense	defens	defense
that	that	that
low	low	low
enzyme	enzym	enzyme
levels	level	level
could	could	could
also	also	also
have	have	have
been	been	been
due	due	due
to	to	to
other	other	other
causes	caus	cause
such	such	such
as	as	a
liver	liver	liver
disease	diseas	disease
or	or	or
the	the	the
taking	take	taking
of	of	of
female	femal	female
hormones	hormon	hormone
by	by	by
a	a	a
man	man	man
.	.	.
Yes	yes	Yes
,	,	,
the	the	the
enzyme	enzym	enzyme
levels	level	level
could	could	could
be	be	be
slightly	slight	slightly
lower	lower	lower
by	by	by
the	the	the
taking	take	taking
of	of	of
hormone	hormon	hormone
pills	pill	pill
by	by	by
a	a	a
man	man	man
,	,	,
she	she	she
said	said	said
.	.	.
In	in	In
response	respons	response
to	to	to
a	a	a
question	question	question
,	,	,
Nor	nor	Nor
ashikin	ashikin	ashikin
also	also	also
said	said	said
it	it	it
was	was	wa
possible	possibl	possible
the	the	the
accused	accus	accused
had	had	had
had	had	had
no	no	no
contact	contact	contact
with	with	with
VX	vx	VX
whatsoever	whatsoev	whatsoever
as	as	a
their	their	their
blood	blood	blood
samples	sampl	sample
yielded	yield	yielded
normal	normal	normal
levels	level	level
of	of	of
cholinesterase	cholinesteras	cholinesterase
.	.	.
But	but	But
they	they	they
could	could	could
have	have	have
also	also	also
been	been	been
exposed	expos	exposed
to	to	to
a	a	a
low	low	low
dose	dose	dose
of	of	of
the	the	the
poison	poison	poison
,	,	,
washed	wash	washed
their	their	their
hands	hand	hand
with	with	with
soap	soap	soap
and	and	and
water	water	water
or	or	or
ingested	ingest	ingested
an	an	an
antidote	antidot	antidote
,	,	,
she	she	she
said	said	said
.	.	.
Siti	siti	Siti
and	and	and
Huong	huong	Huong
are	are	are
accused	accus	accused
of	of	of
smearing	smear	smearing
the	the	the
deadly	dead	deadly
nerve	nerv	nerve
agent	agent	agent
on	on	on
the	the	the
victim	victim	victim
s	s	s
face	face	face
and	and	and
eyes	eye	eye
.	.	.
The	the	The
trial	trial	trial
has	has	ha
so	so	so
far	far	far
referred	refer	referred
to	to	to
the	the	the
victim	victim	victim
as	as	a
Kim	kim	Kim
Chol	chol	Chol
,	,	,
the	the	the
name	name	name
on	on	on
