SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
Footage	footag	Footage
released	releas	released
last	last	last
week	week	week
by	by	by
North	north	North
Korea	korea	Korea
purporting	purport	purporting
to	to	to
show	show	show
the	the	the
firing	fire	firing
of	of	of
a	a	a
submarine	submarin	submarine
-launched	-launch	-launched
ballistic	ballist	ballistic
missile	missil	missile
SLBM	slbm	SLBM
appears	appear	appears
to	to	to
be	be	be
fake	fake	fake
,	,	,
according	accord	according
to	to	to
studies	studi	study
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
experts	expert	expert
.	.	.

In	in	In
defiance	defianc	defiance
of	of	of
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
ban	ban	ban
,	,	,
North	north	North
Korea	korea	Korea
has	has	ha
said	said	said
it	it	it
has	has	ha
ballistic	ballist	ballistic
missile	missil	missile
technology	technolog	technology
which	which	which
would	would	would
allow	allow	allow
it	it	it
to	to	to
launch	launch	launch
a	a	a
nuclear	nuclear	nuclear
warhead	warhead	warhead
from	from	from
a	a	a
submarine	submarin	submarine
,	,	,
though	though	though
analysis	analysi	analysis
of	of	of
North	north	North
Korean	korean	Korean
state	state	state
media	media	medium
images	imag	image
casts	cast	cast
doubt	doubt	doubt
on	on	on
the	the	the
claim	claim	claim
.	.	.

North	north	North
Korea	korea	Korea
released	releas	released
the	the	the
submarine	submarin	submarine
launch	launch	launch
footage	footag	footage
after	after	after
it	it	it
separately	separ	separately
conducted	conduct	conducted
a	a	a
fourth	fourth	fourth
nuclear	nuclear	nuclear
weapons	weapon	weapon
test	test	test
last	last	last
Wednesday	wednesday	Wednesday
.	.	.

North	north	North
Korean	korean	Korean
state	state	state
television	televis	television
aired	air	aired
footage	footag	footage
on	on	on
Friday	friday	Friday
of	of	of
the	the	the
submarine	submarin	submarine
test	test	test
said	said	said
to	to	to
have	have	have
taken	taken	taken
place	place	place
in	in	in
December	decemb	December
.	.	.

Unlike	unlik	Unlike
a	a	a
previous	previous	previous
SLBM	slbm	SLBM
test	test	test
in	in	in
May	may	May
,	,	,
it	it	it
was	was	wa
not	not	not
announced	announc	announced
at	at	at
the	the	the
time	time	time
.	.	.

South	south	South
Korea	korea	Korea
s	s	s
military	militari	military
said	said	said
on	on	on
Saturday	saturday	Saturday
North	north	North
Korea	korea	Korea
appeared	appear	appeared
to	to	to
have	have	have
modified	modifi	modified
the	the	the
video	video	video
and	and	and
edited	edit	edited
it	it	it
with	with	with
Scud	scud	Scud
missile	missil	missile
footage	footag	footage
from	from	from
2014	2014	2014
although	although	although
an	an	an
official	offici	official
told	told	told
Reuters	reuter	Reuters
the	the	the
ejection	eject	ejection
technology	technolog	technology
might	might	might
have	have	have
improved	improv	improved
since	sinc	since
the	the	the
May	may	May
test	test	test
.	.	.

An	an	An
analysis	analysi	analysis
by	by	by
the	the	the
California	california	California
-based	-base	-based
James	jame	James
Martin	martin	Martin
Center	center	Center
for	for	for
Nonproliferation	nonprolifer	Nonproliferation
Studies	studi	Studies
CNS	cns	CNS
shows	show	show
two	two	two
frames	frame	frame
of	of	of
video	video	video
from	from	from
state	state	state
media	media	medium
where	where	where
flames	flame	flame
engulf	engulf	engulf
the	the	the
missile	missil	missile
and	and	and
small	small	small
parts	part	part
of	of	of
its	it	it
body	bodi	body
break	break	break
away	away	away
.	.	.

The	the	The
rocket	rocket	rocket
ejected	eject	ejected
,	,	,
began	began	began
to	to	to
light	light	light
,	,	,
and	and	and
then	then	then
failed	fail	failed
catastrophically	catastroph	catastrophically
,	,	,
Melissa	melissa	Melissa
Hanham	hanham	Hanham
,	,	,
a	a	a
senior	senior	senior
research	research	research
associate	associ	associate
at	at	at
the	the	the
Middlebury	middleburi	Middlebury
Institute	institut	Institute
s	s	s
CNS	cns	CNS
,	,	,
said	said	said
in	in	in
an	an	an
email	email	email
.	.	.

North	north	North
Korea	korea	Korea
used	use	used
heavy	heavi	heavy
video	video	video
editing	edit	editing
to	to	to
cover	cover	cover
over	over	over
this	this	this
fact	fact	fact
.	.	.
Hanham	hanham	Hanham
said	said	said
North	north	North
Korea	korea	Korea
state	state	state
media	media	medium
used	use	used
different	differ	different
camera	camera	camera
angles	angl	angle
and	and	and
editing	edit	editing
to	to	to
make	make	make
it	it	it
appear	appear	appear
the	the	the
launch	launch	launch
was	was	wa
several	sever	several
continuous	continu	continuous
launches	launch	launch
,	,	,
when	when	when
in	in	in
fact	fact	fact
it	it	it
was	was	wa
a	a	a
single	singl	single
event	event	event
.	.	.

North	north	North
Korean	korean	Korean
propagandists	propagandist	propagandist
used	use	used
rudimentary	rudimentari	rudimentary
editing	edit	editing
techniques	techniqu	technique
to	to	to
crop	crop	crop
and	and	and
flip	flip	flip
old	old	old
video	video	video
footage	footag	footage
of	of	of
an	an	an
earlier	earlier	earlier
SLBM	slbm	SLBM
test	test	test
and	and	and
Scud	scud	Scud
missile	missil	missile
launch	launch	launch
,	,	,
the	the	the
CNS	cns	CNS
study	studi	study
showed	show	showed
.	.	.

In	in	In
an	an	an
analysis	analysi	analysis
on	on	on
the	the	the
38	38	38
North	north	North
monitoring	monitor	monitoring
website	websit	website
,	,	,
John	john	John
Schilling	schill	Schilling
,	,	,
an	an	an
aerospace	aerospac	aerospace
engineer	engin	engineer
who	who	who
is	is	is
a	a	a
specialist	specialist	specialist
in	in	in
satellite	satellit	satellite
and	and	and
launch	launch	launch
vehicle	vehicl	vehicle
propulsion	propuls	propulsion
systems	system	system
,	,	,
said	said	said
it	it	it
appeared	appear	appeared
from	from	from
the	the	the
video	video	video
that	that	that
the	the	the
launch	launch	launch
was	was	wa
conducted	conduct	conducted
from	from	from
a	a	a
submerged	submerg	submerged
barge	barg	barge
rather	rather	rather
than	than	than
a	a	a
submarine	submarin	submarine
.	.	.

The	the	The
failed	fail	failed
launch	launch	launch
,	,	,
combined	combin	combined
with	with	with
testing	test	testing
from	from	from
a	a	a
barge	barg	barge
shows	show	show
that	that	that
North	north	North
Korea	korea	Korea
still	still	still
has	has	ha
a	a	a
long	long	long
way	way	way
to	to	to
go	go	go
to	to	to
develop	develop	develop
this	this	this
system	system	system
,	,	,
he	he	he
said	said	said
.	.	.

An	an	An
initial	initi	initial
operational	oper	operational
capability	capabl	capability
of	of	of
a	a	a
North	north	North
Korean	korean	Korean
ballistic	ballist	ballistic
-missile	-missil	-missile
submarine	submarin	submarine
is	is	is
not	not	not
expected	expect	expected
before	befor	before
2020	2020	2020
.	.	.
North	north	North
Korea	korea	Korea
s	s	s
claim	claim	claim
that	that	that
its	it	it
most	most	most
recent	recent	recent
nuclear	nuclear	nuclear
test	test	test
was	was	wa
of	of	of
a	a	a
more	more	more
advanced	advanc	advanced
and	and	and
powerful	power	powerful
hydrogen	hydrogen	hydrogen
bomb	bomb	bomb
drew	drew	drew
skepticism	skeptic	skepticism
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
and	and	and
experts	expert	expert
.	.	.

It	it	It
remains	remain	remains
unclear	unclear	unclear
if	if	if
North	north	North
Korea	korea	Korea
has	has	ha
developed	develop	developed
a	a	a
nuclear	nuclear	nuclear
device	devic	device
small	small	small
enough	enough	enough
to	to	to
mount	mount	mount
on	on	on
a	a	a
missile	missil	missile
.	.	.

