BIRMINGHAM	birmingham	BIRMINGHAM
,	,	,
Ala	ala	Ala
.	.	.

Reuters	reuter	Reuters
-	-	-
Alabama	alabama	Alabama
Governor	governor	Governor
Robert	robert	Robert
Bentley	bentley	Bentley
resigned	resign	resigned
on	on	on
Monday	monday	Monday
after	after	after
pleading	plead	pleading
guilty	guilti	guilty
to	to	to
two	two	two
misdemeanors	misdemeanor	misdemeanor
related	relat	related
to	to	to
campaign	campaign	campaign
finance	financ	finance
violations	violat	violation
and	and	and
linked	link	linked
to	to	to
his	his	his
relationship	relationship	relationship
with	with	with
a	a	a
former	former	former
adviser	advis	adviser
,	,	,
ending	end	ending
a	a	a
year	year	year
-long	-long	-long
scandal	scandal	scandal
that	that	that
has	has	ha
enveloped	envelop	enveloped
the	the	the
state	state	state
s	s	s
government	govern	government
.	.	.

The	the	The
guilty	guilti	guilty
pleas	plea	plea
were	were	were
part	part	part
of	of	of
an	an	an
agreement	agreement	agreement
with	with	with
prosecutors	prosecutor	prosecutor
that	that	that
called	call	called
for	for	for
him	him	him
to	to	to
step	step	step
down	down	down
,	,	,
said	said	said
Ellen	ellen	Ellen
Brooks	brook	Brooks
,	,	,
special	special	special
prosecutor	prosecutor	prosecutor
appointed	appoint	appointed
by	by	by
the	the	the
state	state	state
Attorney	attorney	Attorney
General	general	General
Steve	steve	Steve
Marshall	marshal	Marshall
to	to	to
investigate	investig	investigate
Bentley	bentley	Bentley
.	.	.

I	i	I
have	have	have
decided	decid	decided
it	it	it
is	is	is
time	time	time
for	for	for
me	me	me
to	to	to
step	step	step
down	down	down
as	as	a
Alabama	alabama	Alabama
governor	governor	governor
,	,	,
said	said	said
Bentley	bentley	Bentley
at	at	at
a	a	a
news	news	news
conference	confer	conference
in	in	in
the	the	the
state	state	state
capital	capit	capital
of	of	of
Montgomery	montgomeri	Montgomery
,	,	,
adding	ad	adding
that	that	that
his	his	his
service	servic	service
was	was	wa
a	a	a
calling	call	calling
that	that	that
God	god	God
placed	place	placed
on	on	on
my	my	my
life	life	life
.	.	.
He	he	He
said	said	said
he	he	he
would	would	would
work	work	work
with	with	with
his	his	his
replacement	replac	replacement
,	,	,
Lieutenant	lieuten	Lieutenant
Governor	governor	Governor
Kay	kay	Kay
Ivey	ivey	Ivey
,	,	,
who	who	who
was	was	wa
sworn	sworn	sworn
in	in	in
as	as	a
governor	governor	governor
about	about	about
an	an	an
hour	hour	hour
after	after	after
his	his	his
resignation	resign	resignation
.	.	.

Ivey	ivey	Ivey
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
becomes	becom	becomes
the	the	the
second	second	second
woman	woman	woman
to	to	to
serve	serv	serve
as	as	a
Alabama	alabama	Alabama
s	s	s
governor	governor	governor
after	after	after
Lurleen	lurleen	Lurleen
Wallace	wallac	Wallace
,	,	,
wife	wife	wife
of	of	of
George	georg	George
Wallace	wallac	Wallace
,	,	,
who	who	who
served	serv	served
from	from	from
January	januari	January
1967	1967	1967
until	until	until
her	her	her
death	death	death
in	in	in
May	may	May
1968	1968	1968
.	.	.

The	the	The
Ivey	ivey	Ivey
administration	administr	administration
will	will	will
be	be	be
open	open	open
,	,	,
it	it	it
will	will	will
be	be	be
transparent	transpar	transparent
,	,	,
and	and	and
it	it	it
will	will	will
be	be	be
honest	honest	honest
,	,	,
Ivey	ivey	Ivey
said	said	said
during	dure	during
a	a	a
short	short	short
speech	speech	speech
after	after	after
her	her	her
swearing	swear	swearing
in	in	in
by	by	by
the	the	the
minister	minist	minister
at	at	at
her	her	her
Montgomery	montgomeri	Montgomery
Baptist	baptist	Baptist
church	church	church
.	.	.

What	what	What
we	we	we
have	have	have
done	done	done
today	today	today
is	is	is
to	to	to
put	put	put
an	an	an
end	end	end
to	to	to
this	this	this
administration	administr	administration
,	,	,
Brooks	brook	Brooks
told	told	told
reporters	report	reporter
.	.	.

It	it	It
states	state	state
to	to	to
all	all	all
of	of	of
us	us	u
that	that	that
no	no	no
one	one	one
is	is	is
above	abov	above
the	the	the
law	law	law
,	,	,
even	even	even
the	the	the
governor	governor	governor
.	.	.
The	the	The
Alabama	alabama	Alabama
Ethics	ethic	Ethics
Commission	commiss	Commission
last	last	last
week	week	week
found	found	found
Bentley	bentley	Bentley
probably	probabl	probably
violated	violat	violated
ethics	ethic	ethic
and	and	and
campaign	campaign	campaign
finance	financ	finance
laws	law	law
after	after	after
it	it	it
completed	complet	completed
an	an	an
investigation	investig	investigation
into	into	into
allegations	alleg	allegation
that	that	that
he	he	he
used	use	used
public	public	public
funds	fund	fund
to	to	to
conceal	conceal	conceal
his	his	his
relationship	relationship	relationship
with	with	with
Rebekah	rebekah	Rebekah
Mason	mason	Mason
,	,	,
a	a	a
senior	senior	senior
adviser	advis	adviser
who	who	who
later	later	later
resigned	resign	resigned
.	.	.

It	it	It
accused	accus	accused
Bentley	bentley	Bentley
of	of	of
ordering	order	ordering
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
to	to	to
track	track	track
down	down	down
recordings	record	recording
that	that	that
suggested	suggest	suggested
he	he	he
had	had	had
had	had	had
an	an	an
affair	affair	affair
with	with	with
Mason	mason	Mason
and	and	and
accused	accus	accused
him	him	him
of	of	of
retaliating	retali	retaliating
against	against	against
an	an	an
official	offici	official
who	who	who
discovered	discov	discovered
the	the	the
relationship	relationship	relationship
.	.	.

Bentley	bentley	Bentley
has	has	ha
denied	deni	denied
having	have	having
a	a	a
physical	physic	physical
relationship	relationship	relationship
with	with	with
Mason	mason	Mason
,	,	,
who	who	who
is	is	is
married	marri	married
,	,	,
and	and	and
had	had	had
repeatedly	repeat	repeatedly
vowed	vow	vowed
not	not	not
to	to	to
resign	resign	resign
,	,	,
saying	say	saying
he	he	he
had	had	had
done	done	done
nothing	noth	nothing
illegal	illeg	illegal
.	.	.

His	his	His
marriage	marriag	marriage
of	of	of
50	50	50
years	year	year
also	also	also
ended	end	ended
as	as	a
the	the	the
scandal	scandal	scandal
unfolded	unfold	unfolded
.	.	.

In	in	In
his	his	his
statement	statement	statement
on	on	on
Monday	monday	Monday
,	,	,
Bentley	bentley	Bentley
apologized	apolog	apologized
for	for	for
his	his	his
actions	action	action
,	,	,
but	but	but
did	did	did
not	not	not
mention	mention	mention
a	a	a
relationship	relationship	relationship
with	with	with
Mason	mason	Mason
.	.	.

He	he	He
was	was	wa
charged	charg	charged
with	with	with
misuse	misus	misuse
of	of	of
campaign	campaign	campaign
funds	fund	fund
and	and	and
failure	failur	failure
to	to	to
file	file	file
campaign	campaign	campaign
financial	financi	financial
reports	report	report
on	on	on
a	a	a
timely	time	timely
basis	basi	basis
.	.	.

After	after	After
his	his	his
guilty	guilti	guilty
pleas	plea	plea
,	,	,
an	an	an
Alabama	alabama	Alabama
judge	judg	judge
ordered	order	ordered
Bentley	bentley	Bentley
to	to	to
serve	serv	serve
one	one	one
year	year	year
of	of	of
unsupervised	unsupervis	unsupervised
probation	probat	probation
,	,	,
make	make	make
restitution	restitut	restitution
and	and	and
give	give	give
up	up	up
his	his	his
retirement	retir	retirement
benefits	benefit	benefit
from	from	from
the	the	the
state	state	state
.	.	.

He	he	He
also	also	also
agreed	agre	agreed
not	not	not
to	to	to
run	run	run
for	for	for
another	anoth	another
political	polit	political
office	offic	office
,	,	,
Brooks	brook	Brooks
said	said	said
.	.	.

After	after	After
Bentley	bentley	Bentley
agreed	agre	agreed
to	to	to
the	the	the
deal	deal	deal
,	,	,
the	the	the
Alabama	alabama	Alabama
House	hous	House
Judiciary	judiciari	Judiciary
Committee	committe	Committee
suspended	suspend	suspended
hearings	hear	hearing
which	which	which
began	began	began
on	on	on
Monday	monday	Monday
that	that	that
could	could	could
have	have	have
led	led	led
to	to	to
his	his	his
impeachment	impeach	impeachment
.	.	.

During	dure	During
the	the	the
hearing	hear	hearing
,	,	,
Bentley	bentley	Bentley
told	told	told
several	sever	several
top	top	top
aides	aid	aide
what	what	what
happens	happen	happens
in	in	in
the	the	the
governor	governor	governor
s	s	s
office	offic	office
stays	stay	stay
in	in	in
the	the	the
governor	governor	governor
s	s	s
office	offic	office
,	,	,
Jack	jack	Jack
Sharman	sharman	Sharman
,	,	,
the	the	the
committee	committe	committee
s	s	s
counsel	counsel	counsel
,	,	,
said	said	said
regarding	regard	regarding
allegations	alleg	allegation
regarding	regard	regarding
his	his	his
relationship	relationship	relationship
with	with	with
Mason	mason	Mason
.	.	.

