EDINBURGH	edinburgh	EDINBURGH
Reuters	reuter	Reuters
-	-	-
Scotland	scotland	Scotland
s	s	s
first	first	first
minister	minist	minister
Nicola	nicola	Nicola
Sturgeon	sturgeon	Sturgeon
has	has	ha
sought	sought	sought
confirmation	confirm	confirmation
from	from	from
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
that	that	that
Britain	britain	Britain
is	is	is
urgently	urgent	urgently
seeking	seek	seeking
a	a	a
transition	transit	transition
agreement	agreement	agreement
with	with	with
the	the	the
European	european	European
Union	union	Union
before	befor	before
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
.	.	.

Sturgeon	sturgeon	Sturgeon
,	,	,
who	who	who
heads	head	head
the	the	the
devolved	devolv	devolved
government	govern	government
,	,	,
said	said	said
in	in	in
a	a	a
letter	letter	letter
to	to	to
May	may	May
she	she	she
was	was	wa
increasingly	increas	increasingly
concerned	concern	concerned
that	that	that
Brexit	brexit	Brexit
talks	talk	talk
would	would	would
end	end	end
in	in	in
no	no	no
deal	deal	deal
and	and	and
see	see	see
Britain	britain	Britain
crash	crash	crash
out	out	out
,	,	,
following	follow	following
contradictory	contradictori	contradictory
indications	indic	indication
from	from	from
UK	uk	UK
government	govern	government
officials	offici	official
earlier	earlier	earlier
this	this	this
week	week	week
.	.	.

The	the	The
clarity	clariti	clarity
of	of	of
your	your	your
intentions	intent	intention
,	,	,
and	and	and
thus	thus	thus
the	the	the
confidence	confid	confidence
of	of	of
business	busi	business
that	that	that
there	there	there
will	will	will
be	be	be
a	a	a
sensible	sensibl	sensible
transition	transit	transition
period	period	period
agreed	agre	agreed
quickly	quick	quickly
,	,	,
has	has	ha
been	been	been
seriously	serious	seriously
undermined	undermin	undermined
,	,	,
she	she	she
wrote	wrote	wrote
.	.	.

This	this	This
relates	relat	relates
in	in	in
particular	particular	particular
to	to	to
your	your	your
comments	comment	comment
suggesting	suggest	suggesting
no	no	no
transition	transit	transition
can	can	can
be	be	be
agreed	agre	agreed
,	,	,
or	or	or
formalized	formal	formalized
,	,	,
until	until	until
there	there	there
is	is	is
agreement	agreement	agreement
on	on	on
the	the	the
future	futur	future
relationship	relationship	relationship
with	with	with
the	the	the
EU	eu	EU
.	.	.

The	the	The
UK	uk	UK
government	govern	government
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
it	it	it
wants	want	want
an	an	an
agreement	agreement	agreement
of	of	of
the	the	the
outline	outlin	outline
of	of	of
transitional	transit	transitional
arrangements	arrang	arrangement
in	in	in
early	earli	early
2018	2018	2018
,	,	,
and	and	and
that	that	that
it	it	it
expects	expect	expects
such	such	such
an	an	an
agreement	agreement	agreement
to	to	to
be	be	be
quickly	quick	quickly
and	and	and
easily	easili	easily
reached	reach	reached
.	.	.

Asked	ask	Asked
about	about	about
Sturgeon	sturgeon	Sturgeon
s	s	s
letter	letter	letter
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
May	may	May
said	said	said
We	we	We
will	will	will
respond	respond	respond
in	in	in
due	due	due
course	cours	course
.	.	.

Uncertainty	uncertainti	Uncertainty
around	around	around
formalizing	formal	formalizing
a	a	a
transition	transit	transition
period	period	period
ahead	ahead	ahead
of	of	of
agreement	agreement	agreement
on	on	on
Britain	britain	Britain
s	s	s
future	futur	future
relationship	relationship	relationship
with	with	with
the	the	the
EU	eu	EU
was	was	wa
causing	caus	causing
confusion	confus	confusion
and	and	and
damaging	damag	damaging
business	busi	business
confidence	confid	confidence
,	,	,
Sturgeon	sturgeon	Sturgeon
argued	argu	argued
.	.	.

She	she	She
said	said	said
she	she	she
was	was	wa
seeking	seek	seeking
confirmation	confirm	confirmation
that	that	that
the	the	the
prime	prime	prime
minister	minist	minister
was	was	wa
urgently	urgent	urgently
seeking	seek	seeking
agreement	agreement	agreement
on	on	on
a	a	a
transition	transit	transition
arrangement	arrang	arrangement
of	of	of
at	at	at
least	least	least
two	two	two
years	year	year
,	,	,
with	with	with
the	the	the
aim	aim	aim
of	of	of
securing	secur	securing
that	that	that
agreement	agreement	agreement
by	by	by
the	the	the
end	end	end
of	of	of
this	this	this
year	year	year
.	.	.

