BOSASO	bosaso	BOSASO
,	,	,
Somalia	somalia	Somalia
Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
said	said	said
on	on	on
Monday	monday	Monday
it	it	it
had	had	had
carried	carri	carried
out	out	out
an	an	an
air	air	air
strike	strike	strike
against	against	against
Islamic	islam	Islamic
State	state	State
militants	milit	militant
in	in	in
northeast	northeast	northeast
Somalia	somalia	Somalia
,	,	,
killing	kill	killing
one	one	one
person	person	person
.	.	.
Islamic	islam	Islamic
State	state	State
has	has	ha
been	been	been
gathering	gather	gathering
recruits	recruit	recruit
in	in	in
the	the	the
region	region	region
,	,	,
although	although	although
experts	expert	expert
say	say	say
the	the	the
scale	scale	scale
of	of	of
its	it	it
force	forc	force
is	is	is
unclear	unclear	unclear
and	and	and
it	it	it
remains	remain	remains
a	a	a
small	small	small
player	player	player
compared	compar	compared
to	to	to
the	the	the
al	al	al
Shabaab	shabaab	Shabaab
group	group	group
.	.	.
In	in	In
coordination	coordin	coordination
with	with	with
the	the	the
Federal	feder	Federal
Government	govern	Government
of	of	of
Somalia	somalia	Somalia
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
forces	forc	force
conducted	conduct	conducted
an	an	an
airstrike	airstrik	airstrike
against	against	against
ISIS	isi	ISIS
,	,	,
in	in	in
northeastern	northeastern	northeastern
Somalia	somalia	Somalia
on	on	on
Nov	nov	Nov
.	.	.
27	27	27
,	,	,
killing	kill	killing
one	one	one
terrorist	terrorist	terrorist
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Africa	africa	Africa
Command	command	Command
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Colonel	colonel	Colonel
Ali	ali	Ali
Abdi	abdi	Abdi
,	,	,
a	a	a
military	militari	military
officer	offic	officer
in	in	in
an	an	an
area	area	area
near	near	near
the	the	the
town	town	town
of	of	of
Qandala	qandala	Qandala
in	in	in
the	the	the
semi	semi	semi
-autonomous	-autonom	-autonomous
Puntland	puntland	Puntland
region	region	region
,	,	,
said	said	said
the	the	the
strike	strike	strike
took	took	took
place	place	place
in	in	in
hills	hill	hill
near	near	near
the	the	the
town	town	town
.	.	.
We	we	We
heard	heard	heard
a	a	a
huge	huge	huge
crash	crash	crash
of	of	of
air	air	air
strike	strike	strike
in	in	in
the	the	the
hilly	hilli	hilly
areas	area	area
of	of	of
Dasaan	dasaan	Dasaan
remote	remot	remote
area	area	area
behind	behind	behind
Qandala	qandala	Qandala
town	town	town
this	this	this
afternoon	afternoon	afternoon
Abdi	abdi	Abdi
told	told	told
Reuters	reuter	Reuters
from	from	from
Dasaan	dasaan	Dasaan
.	.	.
After	after	After
the	the	the
strike	strike	strike
the	the	the
IS	is	IS
militants	milit	militant
ran	ran	ran
away	away	away
from	from	from
there	there	there
.	.	.
We	we	We
went	went	went
to	to	to
the	the	the
scene	scene	scene
and	and	and
saw	saw	saw
pieces	piec	piece
of	of	of
a	a	a
dead	dead	dead
body	bodi	body
.	.	.
Last	last	Last
month	month	month
,	,	,
a	a	a
group	group	group
loyal	loyal	loyal
to	to	to
Islamic	islam	Islamic
State	state	State
seized	seiz	seized
a	a	a
small	small	small
port	port	port
town	town	town
in	in	in
Somalia	somalia	Somalia
s	s	s
semi	semi	semi
-autonomous	-autonom	-autonomous
Puntland	puntland	Puntland
region	region	region
,	,	,
the	the	the
first	first	first
town	town	town
it	it	it
has	has	ha
taken	taken	taken
since	sinc	since
emerging	emerg	emerging
a	a	a
year	year	year
ago	ago	ago
.	.	.
The	the	The
group	group	group
,	,	,
which	which	which
refers	refer	refers
to	to	to
itself	itself	itself
simply	simpli	simply
as	as	a
Islamic	islam	Islamic
State	state	State
,	,	,
is	is	is
a	a	a
rival	rival	rival
to	to	to
the	the	the
larger	larger	larger
al	al	al
Shabaab	shabaab	Shabaab
force	forc	force
,	,	,
which	which	which
is	is	is
linked	link	linked
to	to	to
Islamic	islam	Islamic
State	state	State
s	s	s
rival	rival	rival
al	al	al
Qaeda	qaeda	Qaeda
and	and	and
once	onc	once
controlled	control	controlled
much	much	much
of	of	of
Somalia	somalia	Somalia
.	.	.
Early	earli	Early
this	this	this
month	month	month
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
carried	carri	carried
out	out	out
its	it	it
first	first	first
air	air	air
strike	strike	strike
against	against	against
Islamic	islam	Islamic
State	state	State
militants	milit	militant
,	,	,
killing	kill	killing
several	sever	several
.	.	.
Last	last	Last
week	week	week
,	,	,
Somalia	somalia	Somalia
s	s	s
government	govern	government
said	said	said
it	it	it
had	had	had
requested	request	requested
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
air	air	air
strike	strike	strike
that	that	that
killed	kill	killed
scores	score	score
of	of	of
suspected	suspect	suspected
militants	milit	militant
to	to	to
help	help	help
pave	pave	pave
the	the	the
way	way	way
for	for	for
an	an	an
upcoming	upcom	upcoming
ground	ground	ground
offensive	offens	offensive
against	against	against
al	al	al
Shabaab	shabaab	Shabaab
.	.	.
Earlier	earlier	Earlier
this	this	this
year	year	year
,	,	,
the	the	the
White	white	White
House	hous	House
granted	grant	granted
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
broader	broader	broader
authority	author	authority
to	to	to
carry	carri	carry
out	out	out
strikes	strike	strike
in	in	in
Somalia	somalia	Somalia
against	against	against
al	al	al
Shabaab	shabaab	Shabaab
.	.	.
