FRANKFURT	frankfurt	FRANKFURT
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
federal	feder	federal
investigator	investig	investigator
probing	probe	probing
alleged	alleg	alleged
Russian	russian	Russian
interference	interfer	interference
in	in	in
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
asked	ask	asked
Deutsche	deutsch	Deutsche
Bank	bank	Bank
DBKGn	dbkgn	DBKGn
.	.	.
DE	de	DE
for	for	for
data	data	data
on	on	on
accounts	account	account
held	held	held
by	by	by
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
family	famili	family
,	,	,
a	a	a
person	person	person
close	close	close
to	to	to
the	the	the
matter	matter	matter
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
but	but	but
Trump	trump	Trump
s	s	s
lawyer	lawyer	lawyer
denied	deni	denied
any	ani	any
such	such	such
subpoena	subpoena	subpoena
had	had	had
been	been	been
issued	issu	issued
.	.	.

Germany	germani	Germany
s	s	s
largest	largest	largest
bank	bank	bank
received	receiv	received
a	a	a
subpoena	subpoena	subpoena
from	from	from
Special	special	Special
Counsel	counsel	Counsel
Robert	robert	Robert
Mueller	mueller	Mueller
several	sever	several
weeks	week	week
ago	ago	ago
to	to	to
provide	provid	provide
information	inform	information
on	on	on
certain	certain	certain
money	money	money
and	and	and
credit	credit	credit
transactions	transact	transaction
,	,	,
the	the	the
person	person	person
said	said	said
,	,	,
without	without	without
giving	give	giving
details	detail	detail
,	,	,
adding	ad	adding
that	that	that
key	key	key
documents	document	document
had	had	had
been	been	been
handed	hand	handed
over	over	over
in	in	in
the	the	the
meantime	meantim	meantime
.	.	.

Deutsche	deutsch	Deutsche
Bank	bank	Bank
has	has	ha
lent	lent	lent
the	the	the
Trump	trump	Trump
Organization	organ	Organization
hundreds	hundr	hundred
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
for	for	for
real	real	real
estate	estat	estate
ventures	ventur	venture
and	and	and
is	is	is
one	one	one
of	of	of
the	the	the
few	few	few
major	major	major
lenders	lender	lender
that	that	that
has	has	ha
given	given	given
large	larg	large
amounts	amount	amount
of	of	of
credit	credit	credit
to	to	to
Trump	trump	Trump
in	in	in
the	the	the
past	past	past
decade	decad	decade
.	.	.

A	a	A
string	string	string
of	of	of
bankruptcies	bankruptci	bankruptcy
at	at	at
his	his	his
hotel	hotel	hotel
and	and	and
casino	casino	casino
businesses	busi	business
during	dure	during
the	the	the
1990s	1990s	1990s
made	made	made
most	most	most
of	of	of
Wall	wall	Wall
Street	street	Street
wary	wari	wary
of	of	of
extending	extend	extending
him	him	him
credit	credit	credit
.	.	.

Mueller	mueller	Mueller
is	is	is
investigating	investig	investigating
alleged	alleg	alleged
Russian	russian	Russian
attempts	attempt	attempt
to	to	to
influence	influenc	influence
the	the	the
election	elect	election
,	,	,
and	and	and
potential	potenti	potential
collusion	collus	collusion
by	by	by
Trump	trump	Trump
aides	aid	aide
.	.	.

Russia	russia	Russia
has	has	ha
denied	deni	denied
U	u	U
.	.	.
S	s	S
.	.	.
