CAIRO	cairo	CAIRO
Reuters	reuter	Reuters
-	-	-
Islamic	islam	Islamic
State	state	State
released	releas	released
a	a	a
video	video	video
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
it	it	it
said	said	said
showed	show	showed
two	two	two
Russian	russian	Russian
soldiers	soldier	soldier
captured	captur	captured
by	by	by
its	it	it
fighters	fighter	fighter
in	in	in
the	the	the
Syrian	syrian	Syrian
city	citi	city
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
where	where	where
Russia	russia	Russia
has	has	ha
been	been	been
backing	back	backing
the	the	the
Syrian	syrian	Syrian
military	militari	military
against	against	against
militants	milit	militant
.	.	.

But	but	But
the	the	the
Russian	russian	Russian
Defence	defenc	Defence
Ministry	ministri	Ministry
denied	deni	denied
their	their	their
soldiers	soldier	soldier
had	had	had
been	been	been
captured	captur	captured
,	,	,
Interfax	interfax	Interfax
news	news	news
agency	agenc	agency
reported	report	reported
.	.	.

The	the	The
defense	defens	defense
ministry	ministri	ministry
,	,	,
and	and	and
the	the	the
foreign	foreign	foreign
ministry	ministri	ministry
,	,	,
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
submitted	submit	submitted
by	by	by
Reuters	reuter	Reuters
.	.	.

In	in	In
the	the	the
42	42	42
-second	-second	-second
video	video	video
,	,	,
released	releas	released
on	on	on
the	the	the
group	group	group
s	s	s
AMAQ	amaq	AMAQ
news	news	news
agency	agenc	agency
,	,	,
two	two	two
men	men	men
appeared	appear	appeared
briefly	briefli	briefly
in	in	in
a	a	a
room	room	room
wearing	wear	wearing
gray	gray	gray
tunics	tunic	tunic
.	.	.

One	one	One
,	,	,
with	with	with
a	a	a
beard	beard	beard
,	,	,
appeared	appear	appeared
to	to	to
be	be	be
in	in	in
handcuffs	handcuff	handcuff
.	.	.

The	the	The
other	other	other
seemed	seem	seemed
to	to	to
have	have	have
bruises	bruis	bruise
on	on	on
his	his	his
face	face	face
.	.	.

Reuters	reuter	Reuters
could	could	could
not	not	not
immediately	immedi	immediately
verify	verifi	verify
the	the	the
video	video	video
.	.	.

The	the	The
bearded	beard	bearded
man	man	man
spoke	spoke	spoke
in	in	in
Russian	russian	Russian
,	,	,
the	the	the
other	other	other
remained	remain	remained
silent	silent	silent
,	,	,
with	with	with
Arabic	arab	Arabic
subtitles	subtitl	subtitle
in	in	in
the	the	the
video	video	video
.	.	.

It	it	It
was	was	wa
dated	date	dated
Oct	oct	Oct
.	.	.

3	3	3
,	,	,
though	though	though
there	there	there
was	was	wa
no	no	no
other	other	other
evidence	evid	evidence
when	when	when
the	the	the
video	video	video
was	was	wa
made	made	made
.	.	.

The	the	The
bearded	beard	bearded
man	man	man
,	,	,
speaking	speak	speaking
to	to	to
the	the	the
camera	camera	camera
,	,	,
gave	gave	gave
his	his	his
name	name	name
,	,	,
his	his	his
date	date	date
of	of	of
birth	birth	birth
,	,	,
and	and	and
his	his	his
home	home	home
village	villag	village
in	in	in
southern	southern	southern
Russia	russia	Russia
.	.	.

He	he	He
then	then	then
said	said	said
I	i	I
was	was	wa
taken	taken	taken
prisoner	prison	prisoner
during	dure	during
a	a	a
counter	counter	counter
-offensive	-offens	-offensive
by	by	by
Islamic	islam	Islamic
State	state	State
.	.	.

He	he	He
said	said	said
he	he	he
was	was	wa
taken	taken	taken
prisoner	prison	prisoner
with	with	with
a	a	a
second	second	second
man	man	man
,	,	,
whose	whose	whose
name	name	name
,	,	,
date	date	date
of	of	of
birth	birth	birth
and	and	and
home	home	home
district	district	district
he	he	he
also	also	also
gave	gave	gave
.	.	.

Amaq	amaq	Amaq
said	said	said
late	late	late
last	last	last
month	month	month
the	the	the
militants	milit	militant
captured	captur	captured
two	two	two
Russians	russian	Russians
as	as	a
they	they	they
battled	battl	battled
in	in	in
towns	town	town
around	around	around
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
.	.	.

The	the	The
Russian	russian	Russian
defense	defens	defense
ministry	ministri	ministry
denied	deni	denied
then	then	then
that	that	that
any	ani	any
military	militari	military
personnel	personnel	personnel
were	were	were
taken	taken	taken
hostage	hostag	hostage
.	.	.

With	with	With
Russian	russian	Russian
air	air	air
power	power	power
and	and	and
Iran	iran	Iran
-backed	-back	-backed
militias	militia	militia
,	,	,
the	the	the
Syrian	syrian	Syrian
army	armi	army
reached	reach	reached
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
in	in	in
August	august	August
,	,	,
breaking	break	breaking
an	an	an
Islamic	islam	Islamic
State	state	State
siege	sieg	siege
of	of	of
an	an	an
enclave	enclav	enclave
there	there	there
that	that	that
had	had	had
lasted	last	lasted
three	three	three
years	year	year
as	as	a
the	the	the
jihadist	jihadist	jihadist
group	group	group
lost	lost	lost
ground	ground	ground
in	in	in
Iraq	iraq	Iraq
and	and	and
Syra	syra	Syra
.	.	.

With	with	With
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
jets	jet	jet
and	and	and
special	special	special
forces	forc	force
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
is	is	is
battling	battl	battling
Islamic	islam	Islamic
State	state	State
on	on	on
the	the	the
east	east	east
side	side	side
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
,	,	,
as	as	a
they	they	they
also	also	also
capture	captur	capture
swathes	swath	swathe
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
from	from	from
Islamic	islam	Islamic
State	state	State
.	.	.

