OTTAWA	ottawa	OTTAWA
Reuters	reuter	Reuters
-	-	-
Canadian	canadian	Canadian
Prime	prime	Prime
Minister	minist	Minister
Justin	justin	Justin
Trudeau	trudeau	Trudeau
broke	broke	broke
some	some	some
conflict	conflict	conflict
of	of	of
interest	interest	interest
rules	rule	rule
when	when	when
he	he	he
accepted	accept	accepted
a	a	a
vacation	vacat	vacation
last	last	last
year	year	year
on	on	on
the	the	the
Aga	aga	Aga
Khan	khan	Khan
s	s	s
private	privat	private
island	island	island
,	,	,
the	the	the
ethics	ethic	ethic
watchdog	watchdog	watchdog
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
first	first	first
time	time	time
a	a	a
prime	prime	prime
minister	minist	minister
has	has	ha
been	been	been
found	found	found
to	to	to
have	have	have
committed	commit	committed
such	such	such
a	a	a
transgression	transgress	transgression
.	.	.

While	while	While
the	the	the
finding	find	finding
could	could	could
tarnish	tarnish	tarnish
Trudeau	trudeau	Trudeau
s	s	s
popularity	popular	popularity
half	half	half
-way	-way	-way
into	into	into
his	his	his
mandate	mandat	mandate
,	,	,
he	he	he
does	doe	doe
not	not	not
face	face	face
any	ani	any
penalties	penalti	penalty
.	.	.

Conflict	conflict	Conflict
of	of	of
Interest	interest	Interest
and	and	and
Ethics	ethic	Ethics
Commissioner	commission	Commissioner
Mary	mari	Mary
Dawson	dawson	Dawson
said	said	said
Trudeau	trudeau	Trudeau
contravened	contraven	contravened
a	a	a
rule	rule	rule
on	on	on
gifts	gift	gift
when	when	when
he	he	he
accepted	accept	accepted
the	the	the
use	use	use
of	of	of
the	the	the
island	island	island
in	in	in
March	march	March
and	and	and
December	decemb	December
2016	2016	2016
,	,	,
while	while	while
there	there	there
were	were	were
ongoing	ongo	ongoing
official	offici	official
dealings	deal	dealing
with	with	with
the	the	the
Aga	aga	Aga
Khan	khan	Khan
and	and	and
the	the	the
Aga	aga	Aga
Khan	khan	Khan
Foundation	foundat	Foundation
Canada	canada	Canada
was	was	wa
registered	regist	registered
to	to	to
lobby	lobbi	lobby
Trudeau	trudeau	Trudeau
s	s	s
office	offic	office
.	.	.

The	the	The
vacations	vacat	vacation
accepted	accept	accepted
by	by	by
Mr	mr	Mr
.	.	.
Trudeau	trudeau	Trudeau
or	or	or
his	his	his
family	famili	family
could	could	could
reasonably	reason	reasonably
be	be	be
seen	seen	seen
to	to	to
have	have	have
been	been	been
given	given	given
to	to	to
influence	influenc	influence
Mr	mr	Mr
.	.	.
Trudeau	trudeau	Trudeau
in	in	in
his	his	his
capacity	capac	capacity
as	as	a
Prime	prime	Prime
Minister	minist	Minister
,	,	,
Dawson	dawson	Dawson
said	said	said
.	.	.

While	while	While
Trudeau	trudeau	Trudeau
says	say	say
the	the	the
Aga	aga	Aga
Khan	khan	Khan
is	is	is
a	a	a
family	famili	family
friend	friend	friend
,	,	,
Dawson	dawson	Dawson
found	found	found
the	the	the
exception	except	exception
for	for	for
gifts	gift	gift
from	from	from
friends	friend	friend
did	did	did
not	not	not
apply	appli	apply
.	.	.

Trudeau	trudeau	Trudeau
said	said	said
he	he	he
accepted	accept	accepted
her	her	her
report	report	report
and	and	and
would	would	would
clear	clear	clear
future	futur	future
vacations	vacat	vacation
with	with	with
the	the	the
watchdog	watchdog	watchdog
.	.	.

I	i	I
take	take	take
full	full	full
responsibility	respons	responsibility
for	for	for
it	it	it
.	.	.

We	we	We
need	need	need
to	to	to
make	make	make
sure	sure	sure
that	that	that
the	the	the
office	offic	office
of	of	of
the	the	the
prime	prime	prime
minister	minist	minister
is	is	is
without	without	without
reproach	reproach	reproach
,	,	,
Trudeau	trudeau	Trudeau
said	said	said
.	.	.

Trudeau	trudeau	Trudeau
and	and	and
his	his	his
family	famili	family
vacationed	vacat	vacationed
on	on	on
the	the	the
island	island	island
during	dure	during
the	the	the
holidays	holiday	holiday
in	in	in
late	late	late
December	decemb	December
2016	2016	2016
into	into	into
January	januari	January
this	this	this
year	year	year
.	.	.

Members	member	Members
of	of	of
his	his	his
family	famili	family
visited	visit	visited
in	in	in
March	march	March
2016	2016	2016
.	.	.

Trudeau	trudeau	Trudeau
has	has	ha
come	come	come
under	under	under
fire	fire	fire
from	from	from
the	the	the
opposition	opposit	opposition
,	,	,
who	who	who
have	have	have
said	said	said
the	the	the
luxury	luxuri	luxury
Bahamas	bahama	Bahamas
vacation	vacat	vacation
was	was	wa
inappropriate	inappropri	inappropriate
and	and	and
showed	show	showed
the	the	the
Liberal	liber	Liberal
government	govern	government
is	is	is
out	out	out
of	of	of
touch	touch	touch
with	with	with
average	averag	average
Canadians	canadian	Canadians
.	.	.

The	the	The
opposition	opposit	opposition
has	has	ha
also	also	also
accused	accus	accused
Finance	financ	Finance
Minister	minist	Minister
Bill	bill	Bill
Morneau	morneau	Morneau
of	of	of
being	be	being
in	in	in
a	a	a
conflict	conflict	conflict
of	of	of
interest	interest	interest
for	for	for
not	not	not
putting	put	putting
his	his	his
assets	asset	asset
in	in	in
a	a	a
blind	blind	blind
trust	trust	trust
.	.	.

He	he	He
has	has	ha
since	sinc	since
said	said	said
he	he	he
will	will	will
do	do	do
so	so	so
and	and	and
has	has	ha
divested	divest	divested
his	his	his
stock	stock	stock
in	in	in
his	his	his
family	famili	family
business	busi	business
.	.	.

Trudeau	trudeau	Trudeau
says	say	say
he	he	he
has	has	ha
known	known	known
the	the	the
Aga	aga	Aga
Khan	khan	Khan
,	,	,
Prince	princ	Prince
Shah	shah	Shah
Karim	karim	Karim
Al	al	Al
Husseini	husseini	Husseini
,	,	,
since	sinc	since
childhood	childhood	childhood
.	.	.

The	the	The
Aga	aga	Aga
Khan	khan	Khan
,	,	,
the	the	the
title	titl	title
held	held	held
by	by	by
the	the	the
leader	leader	leader
of	of	of
the	the	the
Ismaili	ismaili	Ismaili
branch	branch	branch
of	of	of
Shi	shi	Shi
ite	ite	ite
Islam	islam	Islam
,	,	,
was	was	wa
a	a	a
pallbearer	pallbear	pallbearer
at	at	at
the	the	the
funeral	funer	funeral
of	of	of
Justin	justin	Justin
s	s	s
father	father	father
,	,	,
former	former	former
Prime	prime	Prime
Minister	minist	Minister
Pierre	pierr	Pierre
Elliott	elliott	Elliott
Trudeau	trudeau	Trudeau
.	.	.

Trudeau	trudeau	Trudeau
also	also	also
contravened	contraven	contravened
the	the	the
rules	rule	rule
when	when	when
he	he	he
and	and	and
his	his	his
family	famili	family
traveled	travel	traveled
in	in	in
the	the	the
Aga	aga	Aga
Khan	khan	Khan
s	s	s
private	privat	private
helicopter	helicopt	helicopter
last	last	last
December	decemb	December
and	and	and
when	when	when
his	his	his
family	famili	family
traveled	travel	traveled
on	on	on
a	a	a
non	non	non
-commercial	-commerci	-commercial
aircraft	aircraft	aircraft
chartered	charter	chartered
by	by	by
the	the	the
Aga	aga	Aga
Khan	khan	Khan
in	in	in
March	march	March
2016	2016	2016
,	,	,
Dawson	dawson	Dawson
said	said	said
.	.	.

However	howev	However
,	,	,
she	she	she
found	found	found
no	no	no
evidence	evid	evidence
Trudeau	trudeau	Trudeau
discussed	discuss	discussed
any	ani	any
parliamentary	parliamentari	parliamentary
business	busi	business
with	with	with
the	the	the
Aga	aga	Aga
Khan	khan	Khan
or	or	or
his	his	his
representatives	repres	representative
,	,	,
or	or	or
participated	particip	participated
in	in	in
any	ani	any
related	relat	related
debates	debat	debate
or	or	or
votes	vote	vote
.	.	.

